建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
香波堡,台北市內湖區瑞光路126號之6,76.0,15,11,1.2501608274077225,0.7515200354424029,495.0
湖山村,台北市內湖區康寧路三段75巷186弄10號,42.7,37,12,0.4673761053571673,0.3564579024053386,414.0
歐香別墅,台北市內湖區民權東路六段423巷9弄37號,68.0,24,12,0.5813427287422764,0.0793104530980168,320.0
湖綠歐清泉,台北市內湖區民權東路六段248巷26號,62.0,21,11,1.0770986379845269,0.7093377743193425,193.0
墅琴,台北市內湖區民權東路六段191巷62弄10號,60.0,16,11,0.5976585278869546,0.3321494123620964,163.0
康橋別墅,台北市內湖區瑞光路112巷58弄1號,63.3,24,12,1.2579318932193506,0.6775122814149842,437.0
嘉新尊皇,台北市內湖區瑞光路120巷1號,65.8,21,11,1.2018737369595898,0.6854902018150877,473.0
麗景山莊,台北市內湖區金湖路363巷67弄25號,55.8,24,12,0.7746731469963346,0.1217215987460538,272.0
童顏別墅,台北市內湖區瑞光路122巷112號,62.5,17,12,1.3260844034632269,0.7640966930373007,459.0
極光別墅,台北市內湖區民權東路六段180巷55弄1號,59.1,21,9,0.5093025394487438,0.4722981574221625,156.0
城隱,台北市內湖區民權東路六段123巷21弄13號,55.3,17,10,0.2153409141843243,0.3345964717406268,168.0
溫莎別墅,台北市內湖區民權東路六段123巷43弄10號,65.1,24,11,0.1488892234144245,0.2555473114784216,199.0
長虹四季,台北市內湖區民權東路六段191巷143號,55.5,19,11,0.6990148778126782,0.3956759850968185,191.0
湖濱,台北市內湖區大湖街131巷37號,41.9,34,17,1.1097482085515848,0.1635752928642071,402.0
上善若水,台北市內湖區金湖路401巷37號,62.3,16,13,0.6356023814895038,0.1087227397965858,310.0
御湖,台北市內湖區麗山街99號,61.9,20,15,1.6762812943862777,0.0815707498917507,650.0
春之森青松Ａ區,台北市內湖區民權東路六段190巷21弄10號,58.5,24,9,0.4599296324723751,0.3928973370604163,131.0
大杰一院香,台北市內湖區民權東路六段245巷50號,62.2,14,11,0.9023381891043276,0.5768276719416443,198.0
麗湖園,台北市內湖區金湖路363巷25弄10號,59.0,24,12,0.8093710160584955,0.0594257957764678,260.0
皇家莊園,新北市三峽區白雞路38號之7,21.8,9,30,2.0916292131132845,0.1488903445586951,15.0
北大逸墅,新北市三峽區學成路216號,27.8,20,22,1.1873103896096098,0.2068732872643449,660.0
名人富邦集合住宅,新北市三峽區大學路67號,30.6,19,22,1.1438550899651738,0.0928812649434939,670.0
駿園御墅,新北市三峽區中正路二段299巷21號,23.6,3,29,2.4827833166672946,0.595095382481343,27.0
早安北大十七期,新北市三峽區國際一街70號,34.4,14,23,1.008464909452182,0.1018047948406565,620.0
加州陽光,新北市三峽區中正路二段540號,15.8,30,32,3.2521919306295466,0.4916784875192681,19.0
仁愛別墅,新北市三峽區介壽路一段276巷108弄52號,21.4,17,26,0.347405989827481,0.2470987759964569,73.0
富貴雲集,新北市三峽區文化路236號,29.7,17,22,0.4777846791751585,0.0280655870703348,277.0
綠原墅,新北市三峽區學成路228號,34.6,13,22,1.211425537792877,0.1273071940182986,672.0
早安北大十九期,新北市三峽區國學街2號,47.8,14,23,1.125741243560236,0.1177422513085359,656.0
富俋首富新天地,新北市三峽區和平街99號,30.2,12,22,0.7020528353413106,0.1572207059184243,354.0
天璽名門,新北市三峽區民族街28巷2號之5,27.8,14,23,0.930109135300236,0.3444795002269128,222.0
水木梧桐,新北市八里區文心街91號,31.5,9,34,5.93740316605555,0.8148941841952453,35.0
大利市,新北市八里區忠孝路8號,28.4,9,34,5.776381055012013,0.9751768472538592,34.0
左岸庭院,新北市八里區文心街138號,25.3,6,33,6.093753224717912,0.63857936237976,27.0
忘憂莊 南歐莊園,新北市八里區民治街51號,28.4,8,33,6.618277484058238,0.5925493817008498,34.0
台北雪梨2,新北市八里區埤頭二街96號,29.0,5,32,6.620105332170681,0.7338887816182842,32.0
鑫鈜之星,新北市八里區文化街127號,19.8,9,33,6.228266049195823,0.2849801005584479,32.0
家麗堡,新北市八里區賢一街61號,24.3,15,32,6.24311450054445,0.2970803626358381,31.0
左岸透天,新北市八里區忠孝路167號,22.7,16,32,6.183260386999357,0.4217841026171256,33.0
文心左岸,新北市八里區文心街119號,22.5,14,34,6.073815344934735,0.6469562714853279,29.0
左岸新天地,新北市八里區文化街15號,19.4,10,33,6.069681535409391,0.4839915926954226,28.0
左岸荷庭,新北市八里區忠孝路195號,22.4,16,32,6.267916466882968,0.2914306840798759,32.0
藝墅家,新北市八里區民治街32號,25.6,15,33,6.629926444680287,0.5831303892335544,34.0
水天闊,新北市八里區文化街91號,24.2,13,33,6.177516029374514,0.3404717926261522,32.0
左岸麗緻,新北市八里區中華路一段128號,22.1,16,31,6.209559594629389,0.3750618964243948,27.0
金色左岸,新北市八里區文心街37號,23.9,16,34,5.8576527168761885,0.9262671753130464,35.0
金色左岸忠孝,新北市八里區忠孝路100號,27.3,15,33,6.039111481291448,0.6387295146355063,29.0
左岸麗園,新北市八里區忠孝路49號,22.9,15,34,5.822174476561326,0.8910394374035209,35.0
伴山別墅一期微風區-透天,新北市新店區安祥路160號,27.6,4,34,2.8693473267964262,1.1273880899881832,18.0
大台北華城特區,新北市新店區華城二路5巷8號,44.2,40,30,3.0934738547463967,1.7212079136221108,3.0
吉美敦南花園別墅-別墅區,新北市新店區安興路95巷21號,40.5,10,19,1.501004916728508,0.7828058704986047,85.0
大地世紀,新北市新店區長春路9巷2號,31.0,34,35,2.798904641740842,0.3309294885991828,49.0
四季春,新北市新店區吉祥街1巷10號,23.7,35,23,0.7539577742593514,0.5496952540884359,56.0
彩虹山莊,新北市新店區安忠路102巷10號,54.7,42,20,0.7262396095005638,0.4784291261597069,136.0
晴山匯,新北市新店區青山路399巷10號,50.0,7,19,1.640726260182767,0.620448475321875,26.0
青山鎮二期明園區,新北市新店區青山路211巷10號,67.0,11,22,1.2567709048646702,0.038480430937284,30.0
青山鎮二期青擘特區,新北市新店區青山路69巷6號,71.4,9,22,1.3381753247654118,0.7201050196697125,4.0
工信-城堡山莊,新北市新店區華城路73巷1號,51.5,5,20,2.1489016129284657,0.9686367466659992,21.0
金璽,新北市新店區安忠路9號,46.2,16,17,0.3572411378951068,0.1371202545108455,145.0
青山鎮二期田園區,新北市新店區青山路101巷2號,67.5,15,21,1.160923379091899,0.413212100980812,7.0
名紘樺澄,新北市新店區直潭五街38號,39.4,7,26,3.368998516726704,0.4959808561572708,24.0
麗水山莊,新北市新店區新烏路一段87巷12號,26.0,27,25,4.031915270065041,1.4156786686495644,2.0
華城俠隱,新北市新店區禾豐二路7號,62.5,7,26,2.4974940586951395,2.0991409854401395,2.0
碧潭皇冠山莊,新北市新店區華潭街26巷1弄1號,32.0,22,19,2.14417844132969,0.9878481689055064,257.0
觀嵐,新北市新店區北宜路二段392巷9號,32.9,7,33,3.938231292706055,0.9825069844606676,6.0
璞石山匯,新北市林口區仁愛路一段211巷76號,27.1,11,31,3.3581205309638187,0.6187125546956168,131.0
京華御墅,新北市林口區南勢四街303號,30.4,15,27,1.8816902927011367,0.1865087209126033,84.0
九間堂,新北市林口區麗園二街38巷69號,25.9,13,31,1.4505543285468392,0.399997071552959,80.0
溫哥華玫瑰花園,新北市林口區中北三街138巷2號,34.9,16,34,2.9721299787005995,0.4027834906082346,257.0
群祥-朗悅,新北市林口區興林路152巷17號,37.7,5,34,2.318570796175444,0.3237999808674096,239.0
赫世堡公爵區,新北市林口區東湖路41巷26號,23.8,17,34,2.272099563223895,0.3885491976627656,283.0
