建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
信義大街,基隆市信義區東光路205巷10號,17.8,27,12,0.5989153751644538,0.2302270671530066,47.0
建國國宅,基隆市信義區信二路238號,23.0,39,7,0.2629539760903807,0.3065690313361894,302.0
力品園,基隆市信義區教忠街80巷61號,23.3,3,14,1.9067964553902783,0.3525644258362115,34.0
青山境,基隆市信義區深澳坑路232號,14.0,15,20,2.152239539714442,0.8360985753528902,16.0
義仁新城,基隆市信義區信二路24號,13.9,39,8,0.4237409201230884,0.162786698309477,101.0
復興國宅,基隆市信義區中興路13號,24.5,39,7,0.630653371018722,0.2576340430141479,182.0
信義世家,基隆市信義區信一路15號,18.2,34,7,0.5373751868987798,0.2092767454710469,117.0
五樓鑽,基隆市信義區深澳坑路228號,9.8,26,20,2.200485094757344,0.780218732443245,14.0
自強,基隆市信義區福民街69巷11號,12.3,37,13,1.5358871066021458,0.6149570575374723,37.0
建隆大廈,基隆市信義區信一路93號,16.9,39,6,0.3263510569192853,0.4190106858240171,298.0
台北大鎮,基隆市安樂區基金一路208巷138弄號,12.4,27,14,0.2619976684742331,0.8522137626757157,36.0
新天鵝堡,基隆市安樂區武隆街103巷57弄9號,15.9,16,18,1.915697447148365,0.4703171574784691,20.0
陽光青境,基隆市安樂區樂利三街263巷43號,13.5,30,13,0.964024758530416,0.5094703402486356,65.0
好家園,基隆市安樂區樂一路86號,11.9,22,5,0.5465229898809525,0.3647560361218573,289.0
天鵝堡,基隆市安樂區基金一路135巷270號,17.8,19,11,0.7842922213928628,0.4314925575370038,32.0
七賢,基隆市安樂區安和一街6巷8號,16.1,43,6,0.2155657595454443,0.329251466598029,69.0
立祥基金一路華廈,基隆市安樂區基金一路112巷38號之1,19.2,5,10,1.030444012738942,0.8009685162639554,32.0
幸福人生大樓,基隆市七堵區明德二路15號之11,23.3,27,3,0.9966061390977348,0.2266593658811869,47.0
山水京站大樓,基隆市七堵區百六街9號,16.6,10,8,0.3774423738095424,0.2140416867803715,110.0
龍冠天下,基隆市七堵區永富路8號,20.9,27,5,0.1363784518345777,0.4358676980800645,66.0
大地遊龍,基隆市七堵區工東街20號,16.2,27,3,0.8237529803576323,0.3486348970004847,72.0
公園京站大樓,基隆市七堵區百二街6號,28.6,7,7,0.7967961291552795,0.1561620926368989,103.0
和嘉苑,基隆市七堵區東新街82號之11,21.3,4,2,0.5978003336850133,0.2523814072224036,66.0
松鼎苑,基隆市七堵區光明路3號,36.7,9,2,0.0580577377126637,0.3979725372143796,67.0
詠幸福,基隆市七堵區崇孝街42巷47號,26.2,6,5,0.5445110151363712,0.3439239890649266,66.0
萬隆青田,基隆市七堵區福二街292號,36.0,6,8,0.2292257266676347,0.3677738906425926,111.0
大河戀,基隆市七堵區實踐路250號,35.9,4,8,0.271684164879069,0.3506079547169184,109.0
