建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
鉑樂,桃園市中壢區山東一路29號,25.8,1,23,4.740924991698237,0.1069815921969083,0.0
名格門第,桃園市中壢區志成路3號,10.9,34,9,0.129109772496927,0.3059827732831866,174.0
新生活家,桃園市中壢區星文二街29號,16.3,26,9,0.9189552330671134,0.2530612664803331,89.0
萬寶龍花園別莊,桃園市中壢區同慶路322號,15.1,24,14,1.3397171441672937,0.4625204970508721,66.0
逸墅達人二期,桃園市中壢區後寮一路316號,18.1,15,13,1.2047918541373817,0.7478107850575708,66.0
和風雅居,桃園市中壢區龍吉五街19號,19.1,7,14,1.4004944412086693,0.1464866364304502,32.0
麒麟至善園,桃園市中壢區中山東路一段318巷1號,14.2,17,5,0.6036058216896285,0.301073530582398,159.0
維多利亞(透天),桃園市中壢區永能路75號,28.3,11,19,0.7973158966473135,0.4372593935374656,87.0
國際高鐵新宿區,桃園市中壢區青埔四街197號,19.8,16,19,1.812811198431374,0.8163310670849296,81.0
陽光麗墅CD區,桃園市中壢區福嶺路二段206巷1號,19.6,17,20,3.597411317196644,0.4903905751344032,9.0
友禪新生,桃園市中壢區新生路三段397號,24.4,10,14,1.5239952819317903,1.4507659701757225,1.0
領袖中原,桃園市中壢區實踐路弄23號,21.2,18,8,0.8614417672320233,0.244889227514417,106.0
琉森園,桃園市中壢區福壽十一街2巷2號,18.7,12,8,0.7494574971114304,0.7771530516948565,88.0
龍之鄉二期大廈,桃園市中壢區嘉興二街15號,18.1,29,6,0.2938755409201211,0.3189624619406362,217.0
薇閣崗石別墅,桃園市中壢區徐州街100號,26.1,18,7,0.6730950641779615,0.3533540671992236,101.0
璞石一期,桃園市中壢區台貿三街83號,21.9,16,14,1.468672934694217,0.5041405054943578,72.0
龍威別墅,桃園市中壢區榮安八街36號,19.8,20,13,0.1503238538192719,0.3893504155581253,134.0
富麗,桃園市大園區自立二街5號,19.9,7,29,1.5945482921924476,0.8933196066637845,9.0
福興福星,桃園市大園區自立三街20號,22.2,4,30,1.538914669161636,0.9309404740762868,9.0
協祐大金,桃園市大園區自立一街50號,19.6,2,29,1.5216202688114284,0.8785096341581279,9.0
日勝淘寶3-套房,桃園市大園區自立四街36號之1,21.1,3,29,1.4113873234220733,0.9968516428421104,9.0
大園享耀6,桃園市大園區自立二街11號,21.1,2,29,1.5734631324139745,0.8993760604338347,9.0
臻愛甜心,桃園市大園區大興路28號,21.9,3,30,0.0838331005264633,0.3025372986995989,73.0
天青釉,桃園市大園區致維街42號,28.6,10,17,0.7346258330343641,0.3755452720135126,90.0
福興樂樂,桃園市大園區自立三街52號,23.7,2,29,1.463971279906069,0.9592559542894308,9.0
大園享耀5,桃園市大園區自立一街51號,21.0,2,29,1.5554792239432893,0.8680890468312573,9.0
捷揚市,桃園市大園區中山南路614號,17.0,24,25,1.4243330440863846,0.6936235023728513,18.0
吉富捷靜Ⅴ極富隱舍,桃園市大園區五福路137號,25.2,3,21,5.80541974898826,0.7005215098384513,33.0
大溪表參道,桃園市大溪區文化路123號,13.6,16,32,0.1855541942206521,0.0689872702521182,57.0
大溪三元六喜,桃園市大溪區三元一街109號之1,23.7,4,23,2.125226820906248,0.6549917677486826,24.0
緣溪行-公寓區,桃園市大溪區興昌路二段100號,18.7,1,18,3.1272207933678544,1.1772994916467738,6.0
達曜輕鬆GO,桃園市大溪區文化路121巷31號,18.3,3,32,0.1626791634546225,0.1045757867627551,54.0
京都城,桃園市大溪區三元一街67巷12號之1,21.7,6,22,2.336661758698797,0.4768587419381652,24.0
慈湖山莊,桃園市大溪區慈康路157號,6.4,31,34,1.3876075907812166,0.3303453546650294,6.0
乾隆鎮,桃園市大溪區員林路三段155巷19弄9號,8.4,29,23,2.748010294803226,0.4624965427072537,15.0
爵士堡NO3,桃園市大溪區仁忠街71巷2號,16.2,16,25,1.1317486971485389,0.5609584287306896,26.0
築美學,桃園市大溪區信義路102巷12號,12.9,7,30,0.3247690004382053,0.3877725439495103,61.0
金慈湖,桃園市大溪區復興路一段976號,5.2,28,37,4.004913094975061,0.5547100354368223,8.0
寶有,桃園市桃園區大有路493號,12.4,33,12,0.1735910886907854,0.4302011909229113,159.0
總統華廈,桃園市桃園區福山街32巷2弄1號,9.7,27,12,0.5546164685843354,0.3931964658037528,244.0
愛上藝文,桃園市桃園區新埔五街31號,34.4,7,13,0.3177431712259913,0.0870045846008831,431.0
桃名園,桃園市桃園區昆明路183號,16.9,37,4,0.1866851010251327,0.3555143248145088,346.0
市府官邸,桃園市桃園區壽星街90號,21.3,4,11,1.2608368738264546,0.1260665064069504,253.0
百福園,桃園市桃園區中興街118號,14.2,34,6,0.1271841716140154,0.2054150258897584,357.0
富貴花園,桃園市桃園區江南十街75巷9弄2號,19.0,22,13,1.9421596570099176,0.3841241884647709,176.0
名人世家,桃園市桃園區萬壽路三段131巷8號,12.8,29,3,0.4476650722279631,0.4927341470736655,325.0
藝術庭園,桃園市桃園區建國路244號,15.6,34,4,0.0067075844414227,0.4449264162911208,345.0
小富翁,桃園市楊梅區富民街143巷250弄180號,10.3,18,34,3.296642972495412,2.06448884645702,0.0
龍大莊,桃園市楊梅區民族路五段201巷75弄1號,14.6,22,19,3.136403881358642,0.5715778008256088,38.0
愛上湖,桃園市楊梅區上湖一路388號,12.6,5,30,5.649938658382072,1.7141767924717362,1.0
唐莊．亞太新市鎮,桃園市楊梅區新榮路167巷1號,11.2,25,21,4.394432533506666,1.380161820791409,36.0
三秀雅硯,桃園市楊梅區瑞溪路一段176巷2號,15.6,19,18,0.8869918769696058,0.2071702801019295,70.0
快樂小鎮,桃園市楊梅區快速路五段897號,15.2,15,18,3.745206771023673,1.545388718724373,12.0
湖庭逸墅,桃園市楊梅區員本路49號之13,15.5,12,29,4.060307743754354,1.3604327726132928,24.0
印象歐洲,桃園市楊梅區裕榮路323巷2號,16.3,21,21,4.270966763159178,1.28022455155834,39.0
百豐享生活,桃園市楊梅區高獅路365巷88號,20.7,2,19,1.375090250496677,0.9376890786032668,7.0
NEW CITY 新都,桃園市觀音區仁德街211號,15.9,4,38,4.556283057087823,0.3957641926084794,18.0
薪世紀5,桃園市觀音區莊敬路353號,27.9,3,33,3.217792053302752,0.4357635424913386,35.0
陽光大地,桃園市觀音區保障路258巷17號,18.9,6,34,1.8552881520029376,0.8268945298129889,19.0
幸福A+,桃園市觀音區仁德街132號,17.8,2,38,4.6243265540640754,0.4290619761786611,18.0
青年成家,桃園市觀音區仁德街52號,18.3,2,37,4.860174453629495,0.624019715508908,17.0
真澄2,桃園市觀音區莊敬路481號,16.6,5,33,2.995740713287043,0.4376056325461221,34.0
勝利組V7,桃園市觀音區福祥街57號,20.0,3,34,2.988832848735959,0.4904330128348146,34.0
RICH CITY富都,桃園市觀音區長春街30號,18.6,3,38,4.907446830036389,0.674205012962093,17.0
薪世紀6,桃園市觀音區莊敬路100號之3,22.9,2,33,3.578748279634656,0.6393495105504386,33.0
時尚美家2,桃園市觀音區吉祥街81巷51號旁,15.3,3,37,4.729163969512284,0.5003092306886663,17.0
夢想家第3期,桃園市觀音區永吉街133號,16.3,6,38,4.627529685026053,0.4008839489095471,18.0
易品居,桃園市觀音區民權路85號,16.8,5,37,4.739030889109935,0.504168872473987,17.0
桃園縣草漯新生,桃園市觀音區五福三街138號,20.1,15,30,2.9023977113177137,0.402829798217975,36.0
亞悅 3 期,桃園市觀音區福壽街163號,14.2,6,38,4.625893614678655,0.4840939660585107,18.0
觀音亞悅NO.6,桃園市觀音區民權路72號,14.8,4,37,4.785964379778269,0.547274460742029,17.0
i奇藝,桃園市觀音區福興街299號,22.0,4,33,3.519531603275704,0.541156633393022,35.0
美樂居,桃園市觀音區福祥街113號,20.5,2,34,3.1883755533586524,0.4734811605452081,35.0
煌都晶彩,桃園市觀音區富平街27號,16.2,2,33,2.922278123441937,0.3110614730885862,35.0
夢想家NO.10,桃園市觀音區永吉街251號,15.3,1,38,4.373539278594908,0.2529363846792399,18.0
易品居5期,桃園市觀音區吉祥街65巷66號,18.8,3,37,4.747856718869392,0.5127848324510685,17.0
薪世紀7,桃園市觀音區莊二街52號,26.7,2,19,0.5243100198864171,0.4006927656003959,349.0
觀音亞悅NO.10,桃園市觀音區永吉街193號,14.9,3,38,4.4659392196449765,0.2907710125769167,18.0
觀音亞悅NO.9,桃園市觀音區新村路二段17號,12.3,2,37,3.8170310721169134,0.0333889562473749,6.0
觀音亞悅NO.8,桃園市觀音區六合街263號,20.3,3,33,3.711764198043609,0.9438797612790226,14.0
青湖匯,桃園市觀音區十全路162號,17.7,1,33,3.703836291304381,1.020610797987791,12.0
觀臻,桃園市觀音區新村路二段73號,13.9,1,38,4.03657126771611,0.2164089025649081,8.0
觀音亞悅NO.13,桃園市觀音區福壽街157號,16.9,1,38,4.640805072556623,0.4890801922533364,18.0
誠茗NO.2,桃園市觀音區九如三街41號,20.2,2,31,3.2031183015740967,0.7815214075414249,19.0
觀音亞悅NO.11,桃園市觀音區福壽街366號,14.8,2,38,4.158444043545558,0.3833705541720164,18.0
盛綻,桃園市觀音區福德街269號,19.1,3,33,3.315536162291804,0.4090822874012587,36.0
鎰勝唯豐,桃園市觀音區富國街21號,18.4,2,33,2.868809401774369,0.3011499562613635,35.0
宏創新銀座-公寓,桃園市觀音區莊敬路432號,21.7,3,33,3.151636274868811,0.3921666076017476,35.0
君囍,桃園市觀音區建國路181號,16.0,3,37,4.548324085128358,0.322126149951137,18.0
薪家坡,桃園市觀音區文林路265巷51弄23號,16.5,3,30,5.536864288315045,0.7519676005410183,3.0
觀音亞悅NO.7,桃園市觀音區永吉街169號,13.5,4,38,4.519544029371837,0.3196639548295179,18.0
青年時代,桃園市觀音區莊一街15號,19.4,1,33,3.571940244742367,0.5902140362284043,33.0
寓幸福,桃園市觀音區福壽街142號,18.4,1,38,4.657086897358036,0.4880309669171253,18.0
勝利組V6,桃園市觀音區福壽街116號,18.2,3,38,4.716172716152239,0.5266033757446216,18.0
勝利組5期,桃園市觀音區福祥街37號,20.5,4,33,2.978972428754524,0.4938580994083548,34.0
