建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個),預售屋
天際Skyline,文山區景興路300號,83.2,3,,,,,
觀星台北,文山區木柵路二段109巷100弄98號,51.5,27,,,,,
沅利自慢藏,文山區汀州路四段281號,86.3,新成屋,,,,,
南方莊園,文山區辛亥路四段209巷22號,89.2,3,,,,,
象山主人,文山區木柵路三段49巷口,81.0,預售屋,,,,,
愛眉山莊,文山區辛亥路四段77巷92弄9號,61.2,20,,,,,
元利台大公館,文山區溪州街67號旁,63.6,中古社區,,,,,
巨星廣場,文山區景中街36號,50.1,27,,,,,
世界山莊,文山區和平東路四段66巷1號,53.1,26,,,,,
達觀淳境,文山區景華街128巷2弄7號,70.9,8,,,,,
綠意久康,文山區久康街、木柵路三段169巷口,82.0,預售屋,,,,,
閱讀春樹,文山區興隆路三段313號,62.1,7,,,,,
岳泰峰華,文山區景文街、車前路口,87.8,預售屋,,,,,
天賞大願,文山區保儀路56號,72.5,0,,,,,
和暘W,文山區景中街18號,96.2,預售屋,,,,,
景美聯山,文山區羅斯福路六段182號旁,85.1,預售屋,,,,,
力霸南京一期大廈,文山區羅斯福路六段142巷20弄10號,71.5,29,,,,,
文山敦品,文山區福興路106巷13號,59.1,13,,,,,
吉生廣場,文山區景後街95號,38.0,28,,,,,
王者鄉大廈,文山區仙岩路22巷11號,61.2,28,,,,,
