建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
師大愛樂,台北市中正區師大路212號,72.2,12,16,0.8361816893737645,0.2880593517487549,1182.0
花齊匯,台北市中正區和平西路一段17號,86.3,4,9,1.211616713850941,0.0612122517217758,1318.0
敦年博愛凱旋,台北市中正區博愛路47號,105.9,7,5,0.6042686420885012,0.1815789228624262,2345.0
中正大觀,台北市中正區南昌路一段119號,92.5,13,8,0.1407726143260311,0.2078652708001102,1051.0
御景天廈大樓,台北市中正區愛國西路15號,85.1,15,7,0.232738487239782,0.1654099375600859,1800.0
敦年凱旋大道,台北市中正區中華路一段93號,74.5,10,7,0.2612484893188312,0.1627579803709631,1792.0
大都市國際中心,台北市中正區羅斯福路二段102號,100.8,27,11,1.2983030752829745,0.143275306505352,1386.0
中正香榭,台北市中正區和平西路一段55巷6號,122.1,15,13,0.2142005389853307,0.1267166806208556,1089.0
戀戀台大大樓,台北市中正區羅斯福路四段76號,118.8,17,16,0.5402592564860456,0.0918380779713953,1417.0
冠德羅斯福,台北市中正區羅斯福路三段136號,134.5,2,14,0.4609240058496803,0.1431359902094827,1671.0
蘭亭苑,台北市中正區水源路37號,75.8,5,16,0.6511240801154542,0.2474555045175166,1389.0
PARK259,台北市中正區信義路二段259號,149.2,4,9,1.205890175783097,0.2867819119880288,1210.0
水源麗景,台北市中正區水源路49號,67.1,20,15,0.7305926367707194,0.2879886234311641,1304.0
一境,台北市中正區重慶南路三段63號,79.7,10,11,0.7254780077087581,0.2589475700761808,903.0
雲荷,台北市中正區水源路105號,56.6,16,14,0.9036392381031296,0.4309040104484629,756.0
森城大院,台北市中正區牯嶺街142號,80.0,2,14,0.9666131740528396,0.3994038138228646,820.0
正文仁愛,台北市中正區杭州南路一段77巷29號,135.0,7,7,0.360877090337764,0.5324387993021146,1386.0
師大君逸,台北市中正區羅斯福路三段58巷8號,101.4,10,12,0.7813752444821016,0.3288421852048045,1526.0
頤禾苑,台北市中正區詔安街88號,84.1,6,14,0.2930418315161415,0.1522063823570623,731.0
揚昇君臨,台北市中正區博愛路77號,76.1,9,5,0.558749943512086,0.2129364406206985,2322.0
君奕城中,台北市中正區衡陽路69號,94.3,4,7,0.5325152138560257,0.3061831857554253,2301.0
四方荷韻,台北市中正區重慶南路二段80號,120.7,2,11,0.8831990811849223,0.1333215972902732,1013.0
璞趣江南,台北市中正區羅斯福路一段83巷2號,138.7,13,8,0.2709408354607522,0.071067083331304,1301.0
謙邸,台北市中正區羅斯福路二段8巷5號,128.1,7,9,0.1417659139704103,0.2303888895926995,1334.0
中正水美館,台北市中正區寧波西街8巷1號,129.7,17,7,1.054429681515768,0.1578713384665966,1089.0
非非想,台北市中正區新生南路一段160巷10號,132.8,9,10,1.1819187172934185,0.3524178641712729,1183.0
大師大,台北市中正區師大路206號,75.6,10,15,0.807320341584645,0.2907281387088123,1255.0
廈之堡,台北市中正區廈門街129號,59.3,12,13,0.8024765923460851,0.3550182543600033,833.0
中正豪園,台北市中正區三元街270號,60.7,10,12,0.569435584563829,0.2430684339460281,883.0
泊樂,台北市中正區廈門街84號,80.0,6,12,0.7665575432918786,0.2764986263236119,904.0
忠孝幸福大樓,台北市中正區忠孝東路一段86號,53.6,21,5,0.4539149478221494,0.1312043261965118,2024.0
亞洲廣場大樓,台北市中正區忠孝西路一段50號,83.4,32,4,0.3828586117299617,0.0946753242143551,2531.0
鴻翔新鑽大樓,台北市中正區博愛路122號,72.7,34,6,0.5839605139623946,0.2542415834744754,2313.0
中華帝標,台北市中正區中華路一段9巷1號,91.7,7,4,0.4658194215711624,0.158537190033925,2352.0
奕品竹,台北市中正區廈門街137號,72.7,4,13,0.8149403195521249,0.4084272885933552,770.0
建中典藏家大廈,台北市中正區汀州路一段13號,68.6,25,9,0.3350955790986514,0.3181006383970288,1087.0
頂高時尚,台北市中正區林森北路1號,83.2,16,2,0.5689329091455421,0.1420720175413492,2174.0
上陽門第,台北市中正區南昌路二段215號,91.0,35,11,1.415584406454776,0.2104096644843532,1383.0
台大美學院,台北市中正區羅斯福路三段216號,117.7,17,14,0.28623490967276,0.2413290236967114,1742.0
新隆國宅,台北市中正區愛國東路104號,105.8,37,7,0.8150613699707822,0.1362080965753769,1354.0
松濤苑,台北市中正區博愛路221號,250.0,9,9,1.0405165566946284,0.2477644719841863,1201.0
及第大廈,台北市中正區和平西路一段50號,68.8,37,11,1.051503243270103,0.1093922844529107,1126.0
上京棧,台北市中正區衡陽路26號,101.9,7,7,0.4237491247704095,0.2832332169811159,2348.0
中正DC大樓,台北市中正區南昌路一段108號,87.2,14,8,0.1981431133303173,0.2428373603609213,1024.0
師大麗緻大廈,台北市中正區羅斯福路二段132號,94.6,16,11,1.3481159981931743,0.2143696908943017,1381.0
東門珍第大廈,台北市中正區金山南路一段139號,103.3,13,7,0.6422427212062444,0.1070958036574022,1339.0
千荷田大廈,台北市中正區汀州路一段68號,77.4,10,10,0.5137786308982301,0.143043057392089,976.0
古亭匯,台北市中正區南昌路二段128號,85.6,2,10,1.304117097647757,0.2081169338984566,1322.0
國都大樓,台北市中正區南昌路二段70號,77.8,40,10,1.1791286586904055,0.018695700520538,1261.0
中正秀品,台北市中正區廈門街71巷18號,54.0,5,13,0.9875222650245168,0.064365628892776,1090.0
水岫,台北市中正區重慶南路三段161號,66.5,11,12,0.7540884439888113,0.3938906971843323,791.0
古亭棧大廈,台北市中正區牯嶺街95巷2號,81.4,15,12,0.985681341712893,0.1205646492951235,1039.0
模範生,台北市中正區南昌路一段124號,133.2,15,9,0.1265227963099885,0.2293735173566586,1044.0
一品苑,台北市中正區愛國西路30號,158.0,12,10,0.3527937225642295,0.1143547208550684,1485.0
潤泰花園廣場大廈,台北市中正區汀州路三段49號,89.6,34,13,0.373469513673864,0.114636317621569,1579.0
The  House,台北市中正區仁愛路二段9號,44.8,15,6,0.27482786830065,0.4652324984404254,1380.0
衡陽八五大樓,台北市中正區衡陽路85號,60.5,28,6,0.6278730885176511,0.372880424258376,2240.0
TOP衡陽,台北市中正區衡陽路108號,75.0,15,6,0.5879829766709688,0.365045757746009,2183.0
御荷園,台北市中正區博愛路205號,91.2,16,9,1.0233551558610203,0.1940676341445516,1255.0
第一名廈,台北市中正區廈門街113巷1號,70.8,15,12,0.8118121465955348,0.275031701883768,893.0
中正晏京,台北市中正區廈門街49號,84.1,5,12,0.8103497795992815,0.2461749897838617,927.0
仁愛創世紀大廈,台北市中正區仁愛路二段88號,30.3,15,8,0.7188272767213493,0.4199724121217579,1377.0
中正華悅,台北市中正區杭州南路一段27號,83.5,31,5,0.3108864840012018,0.1941326396161207,1388.0
保固大樓,台北市中正區羅斯福路三段100號,72.4,46,13,0.615753710198058,0.23548374133681,1638.0
摩登站前,台北市中正區開封街一段48號,80.4,15,5,0.4606118339197285,0.1629432010366664,2549.0
南海學苑,台北市中正區重慶南路三段16巷11號,65.7,8,13,0.759115545927123,0.1934290358860751,955.0
頂禾園,台北市中正區臨沂街25號,175.0,7,7,0.6539552691852331,0.2122393614431154,1432.0
囍園,台北市中正區銅山街10號,43.2,16,6,0.2649305379144028,0.4015326361465868,1361.0
仁愛百禮大廈,台北市中正區林森南路97號,84.0,12,6,0.2365164699940453,0.1032083726894553,1427.0
中正金鑽大廈,台北市中正區南昌路二段112號,75.6,26,10,1.2601567993177945,0.1533244209638315,1295.0
中華第一大樓,台北市中正區中華路一段25號,55.1,39,4,0.5464229268720145,0.1172963079478867,2305.0
潤泰新雙子星,台北市中正區辛亥路一段2號,107.2,4,14,0.2678557503436363,0.2173441511671218,1600.0
廣一金門大廈,台北市中正區師大路180號,55.8,41,13,0.7240817061948907,0.2448055185326488,1489.0
舞春秋大樓,台北市中正區廈門街113巷6號,62.9,7,12,0.8241728103276899,0.2831542468471507,890.0
台大JIA,台北市中正區汀州路二段93號,84.0,9,12,0.8596364863735126,0.1914414435608956,938.0
將作城心,台北市中正區南昌路二段89號,105.4,4,9,1.1841333877055529,0.0543096852166384,1285.0
正隆天第,台北市中正區羅斯福路三段2號,92.0,6,13,0.6128941580433308,0.2329441624232344,1636.0
中正逸園,台北市中正區杭州南路一段89號,82.9,29,5,0.1840547263301822,0.4337162751985485,1349.0
台大寰宇堂,台北市中正區羅斯福路四段156號,92.1,8,15,0.7727490973307909,0.1747198697972703,1401.0
台大樸園B基地,台北市中正區汀州路三段60巷2弄9號,100.4,22,17,0.1147357810500784,0.0935375774392588,1443.0
植心園,台北市中正區和平西路二段128號,96.9,15,9,0.4039176352625357,0.2462274820034698,1074.0
喆苑,台北市中正區重慶南路三段3巷28號,90.7,3,8,0.9177747452684706,0.3332774072713762,968.0
南海苑,台北市中正區寧波西街108號,100.1,10,9,0.7113855487245965,0.0597623866177182,1001.0
博愛公元,台北市中正區漢口街一段85號,63.9,23,5,0.6503265609548198,0.2394938772678571,2336.0
臨沂帝國大樓,台北市中正區新生南路一段54巷10號,117.3,13,7,0.8109217120886245,0.2136493633150978,1400.0
中正文華,台北市中正區廈門街75號,81.5,4,12,0.7919776638673184,0.2470385475228565,915.0
力麒賦御,台北市中正區牯嶺街85號,101.0,6,9,0.20680400242098,0.2307105403478369,975.0
百達富麗大廈,台北市中正區和平西路一段61號,91.6,19,10,0.2248310796152756,0.1630228612980853,1022.0
元利群英,台北市中正區濟南路一段5號,115.9,17,5,0.2682447954199011,0.0955654265999347,1947.0
中山堂生活廣場大廈,台北市中正區延平南路83號,90.1,21,7,0.6214670092068478,0.2909840870147593,2298.0
力麒麒御,台北市中正區牯嶺街83號,92.3,9,9,0.188700332640014,0.2667695424956828,954.0
臻第大廈,台北市中正區重慶南路三段121號,71.5,14,11,0.7409247742145192,0.2996857596098229,891.0
城市之星 鼎佳,台北市中正區牯嶺街95巷9號,78.4,2,13,1.0400887309785267,0.1220902988180641,1124.0
巨聯財星大樓,台北市中正區和平西路一段3號,83.9,33,10,1.286491667395616,0.12879230057487,1415.0
旅行與閱讀大廈,台北市中正區仁愛路二段84號,124.4,14,8,0.6960459000372629,0.4428938995877784,1384.0
忠孝162 EAST,台北市中正區忠孝東路一段162號,113.9,3,6,0.4675643085265273,0.0542761128754686,1850.0
小官邸,台北市中正區南昌路一段7號之1,104.7,16,10,0.9550001479715566,0.35027430576884,981.0
大都市大廈,台北市中正區和平西路一段150號,54.0,41,13,0.667121047476842,0.2524137477651517,905.0
國家印象,台北市中正區羅斯福路三段86號,108.5,14,14,0.6830795799767136,0.2726459829185307,1610.0
邑安居大廈,台北市中正區羅斯福路二段18號,61.3,9,9,0.1679701291224656,0.2053515026839435,1371.0
中正風格,台北市中正區羅斯福路二段48巷3號,117.9,16,8,1.2344555584221146,0.12433369810896,1384.0
信義雙璽,台北市中正區信義路二段135號,129.1,16,10,0.7546820363918014,0.108569716951648,1330.0
新生報業廣場大樓,台北市中正區秀山街2號,38.0,42,7,0.4910466203378439,0.4345572220388754,2140.0
廈門街81巷華廈,台北市中正區廈門街81巷6號,64.3,25,14,0.8161337500644448,0.228647183392216,911.0
奧斯町,台北市中正區羅斯福路二段150號,87.6,19,11,1.3617551472097544,0.2542693410377752,1371.0
震大華玉大廈,台北市中正區忠孝東路一段43號,100.0,16,3,0.5128106800458726,0.0062070743892873,1916.0
仁愛新城己區,台北市中正區仁愛路一段51巷1號,124.2,24,6,0.1275910775504314,0.3974174607147372,1382.0
仁愛2樸樂,台北市中正區林森南路69號,79.5,6,5,0.0786863957766039,0.2130315649268923,1521.0
寶舖212,台北市中正區羅斯福路三段212號之1,118.8,12,14,0.2848119115264655,0.2422153470988363,1731.0
景上靜,台北市中正區同安街92巷8號,71.3,12,15,1.0674674506830637,0.3425782405338182,845.0
中正梅園,台北市中正區信義路二段1號,107.1,35,7,0.4880908614466862,0.0955666546434501,1437.0
達聯好好,台北市中正區金門街44巷6弄3號,72.8,4,15,1.0840615596177114,0.266710324947351,1007.0
富豊檀廂,台北市中正區南昌路一段83號,113.8,4,8,0.2237300637804342,0.2313767879960369,1028.0
中正麗園,台北市中正區南昌路二段11號,90.6,10,10,0.0754334154950201,0.2331530511170942,1064.0
國泰賦格,台北市中正區杭州北路18號,124.0,10,5,0.5570691996660141,0.0917020762500785,1730.0
一品金華大廈,台北市中正區金華街27號,107.6,15,7,0.9053688255645508,0.1960172998151183,1198.0
富比仕大樓,台北市中正區重慶南路一段57號,84.0,20,6,0.4465363084420377,0.0098419770265466,2439.0
植物林園,台北市中正區西藏路100號,54.5,33,10,0.5883167142100376,0.1274697328192262,980.0
台大樸園C基地,台北市中正區思源街12號,66.2,22,19,0.2547862876270243,0.1043422450320003,1438.0
展宜摘月,台北市中正區臨沂街57巷32弄8號,107.5,5,10,0.7722484796036326,0.3855999321104166,1358.0
國家音悅廳大廈,台北市中正區南昌路二段168號,86.1,15,11,1.3999522272789968,0.1881774263170198,1362.0
元大欽品,台北市中正區牯嶺街61號,109.3,18,8,0.2129753912694636,0.3468990257592369,986.0
中正寧波大廈,台北市中正區南昌路一段59巷13號,39.2,25,12,1.0438094096648871,0.2375175472951588,1031.0
鴻禧仁愛大廈,台北市中正區仁愛路二段61號,116.5,32,7,0.6309275760119352,0.5080007278944476,1402.0
臨沂馥玉,台北市中正區金山南路一段16號,95.7,8,6,0.5638082366312155,0.2542603804441686,1395.0
天成商業大樓,台北市中正區忠孝西路一段41號,73.5,43,1,0.4564885459475446,0.1164437786403563,2418.0
台大學人福邸,台北市中正區羅斯福路四段50號,96.8,37,16,0.4335098185183819,0.1982604827532523,1470.0
林森大廈,台北市中正區重慶南路二段92號,65.0,40,10,0.8477883969959096,0.1544787776818665,999.0
第一樂章,台北市中正區金華街34號,101.4,16,8,1.0132936668599295,0.0708384105056983,1466.0
方念拾山,台北市中正區新生南路一段172號,138.1,8,14,1.2654928954539155,0.3477317279557326,1209.0
仁愛翡翠,台北市中正區金山南路一段70號之2,94.3,20,7,0.4417763966287562,0.5322160379779631,1393.0
國庭大廈,台北市中正區忠孝東路二段24號,109.9,17,5,0.5123219933699763,0.1965195075000369,1529.0
一品居,台北市中正區南昌路二段188號,95.9,10,11,1.0548751487503114,0.1750149846979485,1342.0
中正名門大廈,台北市中正區南昌路一段76號,77.9,31,9,1.0817981500913565,0.2925343521138159,1000.0
中正大道,台北市中正區羅斯福路一段76號,63.7,20,9,0.1740440920371682,0.0580838756758085,1228.0
閱狷聲,台北市中正區仁愛路二段8巷10號,114.7,6,8,0.2846941752975081,0.3481088637218538,1451.0
瑞樓,台北市中正區徐州路6號,92.5,19,5,0.080715231194104,0.0786777768577493,1684.0
禾祥,台北市中正區齊東街26號,108.6,10,6,0.5580289623494048,0.2649675918804965,1379.0
華爾街,台北市中正區重慶南路一段43號,54.9,36,6,0.4683020684526014,0.0314135962932876,2461.0
力麒首御,台北市中正區和平西路一段101號,94.9,11,11,0.8721905382665224,0.3151064672563721,939.0
信義永康,台北市中正區信義路二段175號,143.2,14,10,0.8399456430077274,0.2432805543971701,1279.0
