建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
信義香榭,台北市信義區信義路五段127號,97.3,16,9,0.4808898203586495,0.257366673796248,733.0
EAT國際館,台北市信義區忠孝東路五段423巷4弄16號,129.3,17,7,1.3013244855532968,0.3934130810429768,1057.0
新川普,台北市信義區信義路五段115號,99.0,13,10,0.4514175967525337,0.2595329611411096,720.0
信義新世界,台北市信義區松勤街11號,135.9,15,12,0.5152456840449298,0.3851999232025005,737.0
時代廣場大樓,台北市信義區信義路五段109號,86.8,25,12,0.4225001246899235,0.276468689863398,712.0
逸仙雅仕,台北市信義區光復南路519巷2號,104.8,22,14,0.6109662145619167,0.3018067812287004,1317.0
忠駝國宅乙丙區,台北市信義區光復南路499號,83.9,29,11,0.5237874543338843,0.3805166368646718,1346.0
EAT時尚館,台北市信義區忠孝東路五段353號,135.4,17,7,1.268955380548677,0.5505866091136538,1141.0
信義國際,台北市信義區基隆路一段13號,86.9,9,4,1.1728982853855427,0.1708537371199738,974.0
W110璞石麗緻,台北市信義區基隆路二段88號,107.7,14,13,0.6336533121116338,0.1584456655488256,1270.0
都會名園,台北市信義區基隆路二段149號之49,78.2,33,12,0.7574596649462092,0.118228047567147,1249.0
信義ME,台北市信義區信義路五段91巷12弄1號,120.0,14,11,0.5379561723563898,0.2219888579730828,884.0
永春大樓,台北市信義區松山路240號,68.8,38,5,0.9011748842292532,0.179179761349298,1044.0
基泰帝景,台北市信義區吳興街600巷120號,69.4,13,18,1.0661517826666629,0.9274449571203334,67.0
世貿國際商旅,台北市信義區基隆路一段131號,124.6,16,5,1.1030107867240646,0.1480857864373383,1083.0
太子東宮一期,台北市信義區松山路482巷10號,76.1,37,7,1.0922876621487283,0.056703833510796,910.0
MOMA大樓,台北市信義區忠孝東路五段258號,129.8,18,7,1.239316502146812,0.1397469934459538,1194.0
松仁富邑,台北市信義區松仁路253巷4弄1號,84.9,17,14,0.6493087455121476,0.1399366183691772,332.0
國際名紳大廈,台北市信義區松德路118巷3號,103.5,28,8,0.8920006112933369,0.337886204728434,1054.0
太子101,台北市信義區永吉路6號,99.6,15,7,1.106179646131069,0.2829189076071297,992.0
維也納藝術廣場,台北市信義區松高路92號,146.0,25,8,1.064325951088141,0.1182344439446297,1166.0
亞歷山大藝術廣場,台北市信義區松平路133號,118.5,31,12,0.5824185828891056,0.235847843282353,757.0
冠德領袖,台北市信義區松勇路53巷66號,126.1,17,10,0.4979573663500188,0.2010064852802784,790.0
金帝大廈,台北市信義區忠孝東路五段17號,82.7,41,7,1.2225957766316573,0.0086690546477916,1136.0
敦南法拉麗,台北市信義區和平東路三段167號,92.5,15,14,1.0538619007644998,0.2547129996414879,1069.0
永順大廈,台北市信義區松信路87號,67.3,41,4,1.5368728462555148,0.2366888774660356,1129.0
信義之冠,台北市信義區松信路50巷5號,100.4,9,5,1.4075200024198364,0.1485773420867637,1028.0
冠德遠見,台北市信義區信義路五段101號,147.6,15,12,0.4485351772080672,0.2742817797677045,775.0
達麗信義,台北市信義區忠孝東路五段743巷21弄21號,109.7,7,5,0.6777158739935241,0.0959453116472902,958.0
101高第,台北市信義區永吉路47號,87.6,15,5,1.2187304406948822,0.144332332663101,1062.0
達麗101,台北市信義區忠孝東路五段743巷31弄15號,116.3,4,5,0.6559166482486508,0.1154474639465501,965.0
世紀威秀,台北市信義區松隆路9巷33號,91.5,34,5,1.1208285513389995,0.2375251829535132,1042.0
台北信義,台北市信義區松勇路69巷10號,185.8,10,12,0.6091698272799265,0.3041830413495006,910.0
基泰國際,台北市信義區基隆路二段173號,96.3,12,13,0.9641547724699646,0.1115597658249632,1170.0
元大101,台北市信義區忠孝東路五段238號,130.3,17,7,1.249044506387564,0.1028066415366023,1226.0
信義帝圖,台北市信義區永吉路65號,95.3,22,6,1.264304205807383,0.1094098829523156,1060.0
築青庭,台北市信義區永吉路225巷27號,114.9,13,4,1.85533121740757,0.1306499114237721,939.0
信義川普,台北市信義區松隆路298號,97.5,8,3,0.9767721969174604,0.200958261652915,826.0
YES世貿,台北市信義區松勤街1號,99.4,24,12,0.6086504631202373,0.272184098314471,1289.0
世貿IC大廈,台北市信義區忠孝東路五段492巷2號,70.4,30,7,1.0313702475304232,0.1959243889636729,978.0
帛詩華,台北市信義區基隆路二段149號,99.7,8,12,0.7574596649462092,0.118228047567147,1249.0
新紐約,台北市信義區信義路五段150巷330號,88.1,14,14,0.5627575247971675,0.2056763023223931,430.0
首善鑽石大廈,台北市信義區基隆路二段199號,66.2,40,13,1.0411812946720873,0.2035766049307827,1117.0
寶徠花園廣場,台北市信義區信義路五段91巷2號,172.3,15,11,0.491164340786305,0.2615940384694151,817.0
哥德堡,台北市信義區吳興街600巷40號,55.3,29,16,0.902645681940353,0.5695127265667793,193.0
忠孝101,台北市信義區忠孝東路五段101號,150.4,8,8,1.3648720277909667,0.0897859693495395,1031.0
敦和新象,台北市信義區和平東路三段207巷2號,92.2,10,15,1.0095834179998733,0.2918791076401337,947.0
雲頂大樓,台北市信義區信義路五段150巷10號,93.4,25,13,0.4180659440154051,0.3247415309969959,541.0
惠安信義廣場,台北市信義區基隆路二段22號,82.0,43,14,0.6366621754418839,0.2986309037393952,1317.0
和暘信邑,台北市信義區永吉路225巷8號,92.2,5,5,1.8769975688283664,0.2105486014078566,1001.0
忠孝天廈,台北市信義區忠孝東路五段398號,84.1,26,6,1.2249553854595556,0.5433470264730353,1114.0
信義錄,台北市信義區松德路196號,116.2,23,10,0.5756922258730987,0.22028957473994,820.0
皇家名宮,台北市信義區基隆路二段107號之1,73.7,37,11,0.6125256178155029,0.1199676112735997,1224.0
東騰信義,台北市信義區吳興街600巷76弄1號,85.9,5,17,0.9451493990849268,0.8034712832931158,122.0
棉花田,台北市信義區信義路五段150巷號,62.9,26,14,0.5877320531123585,0.2137473038008144,323.0
太陽磁場大廈,台北市信義區信義路六段15巷12弄3號,83.4,28,9,0.5190705519019615,0.3167512539558434,717.0
國美信義商隱大樓,台北市信義區永吉路30巷101弄1號,143.5,10,7,1.3399552175901994,0.3470783000320944,1138.0
樂芙,台北市信義區虎林街46巷47號,92.6,7,4,1.886702105529328,0.1427106667698052,924.0
國泰名人廣場大樓,台北市信義區永吉路344號,90.1,36,4,1.0060870942293134,0.3586633330421981,970.0
皇翔御琚,台北市信義區忠孝東路五段236巷58號,265.0,12,8,0.8614073522384801,0.0952639098262115,1078.0
忠泰繹,台北市信義區市民大道六段312號,90.5,8,2,0.0087310921700218,0.0674494907949444,770.0
信義之星,台北市信義區松智路18號,132.9,20,12,0.3392654167284701,0.1740392163092042,997.0
信義香禔,台北市信義區吳興街600巷100弄20號,68.0,9,18,1.0181741928136625,1.0083547966292945,55.0
永馨大廈,台北市信義區光復南路427號,88.6,41,10,0.3109295308721116,0.4729481999512601,1650.0
名人居,台北市信義區富陽街57號,68.0,12,14,0.8300238653821386,0.5057960474652903,705.0
新寶信義大樓,台北市信義區基隆路一段139號,83.0,17,6,1.1246182155661035,0.0661230558392625,1163.0
綠光101,台北市信義區吳興街284巷59弄11號,76.7,15,16,0.4970227349056185,0.4521783340544168,435.0
國美信義花園,台北市信義區忠孝東路五段236巷21號,78.6,16,8,1.0270292003718542,0.1249277067592959,1151.0
比佛利花園廣場大廈,台北市信義區光復南路547號,91.3,33,12,0.6146816910147211,0.282107926495511,1310.0
冠德信義,台北市信義區松德路200巷55號,193.0,5,10,0.5841160224944062,0.1162985704579364,915.0
國家美術館,台北市信義區松德路135號,138.0,12,8,0.8057477881447195,0.3064141722934926,963.0
來福大樓,台北市信義區永吉路181號,62.2,40,4,1.5094992339491904,0.2107958986471349,1136.0
