建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
紐約上城,台北市內湖區民權東路六段146號,74.3,15,10,0.4418544480842496,0.0866770626114122,188.0
VICTOR嘉醴,台北市內湖區金莊路100號,39.7,11,9,0.9946196996167244,0.532399554467456,218.0
碧湖君品,台北市內湖區內湖路二段265號,91.2,6,14,0.0328645735852782,0.1629346429786916,850.0
國賓官邸,台北市內湖區成功路二段317巷1號,76.3,7,10,0.2542933932487594,0.2710383838875834,203.0
元大君品,台北市內湖區新富街58號,90.7,7,7,1.463404043681667,0.1509307512149454,216.0
何必館,台北市內湖區成功路四段30巷46號,93.4,5,14,0.2115294879777011,0.0282256179098099,840.0
遠雄藝朗,台北市內湖區石潭路27號,63.7,13,8,1.1623126081153965,0.6081798455331704,223.0
大湖優境,台北市內湖區星雲街150巷36號,81.0,24,15,0.6774929491883307,0.2043882203704403,765.0
悦成功,台北市內湖區成功路二段452號,71.7,2,11,0.0702508917170495,0.4069813551816515,423.0
東湖捷運我的家,台北市內湖區民權東路六段280巷155弄209號,69.3,25,9,0.8185910918443737,0.1916661770255011,453.0
宏泰巨星,台北市內湖區成功路四段30巷1號,61.0,33,15,0.0880298754468064,0.1164933656239037,844.0
璞園偕樂,台北市內湖區金龍路47巷13弄11號,85.6,8,16,0.4999127200425097,0.2914747295479096,819.0
冠德美麗大湖,台北市內湖區金湖路45號,81.6,19,16,0.5949095485024517,0.2905493956205048,794.0
遠雄新都四季妍,台北市內湖區新富街57號,78.4,13,8,1.4203063411584076,0.2479812951813452,224.0
雲立方,台北市內湖區成功路四段63號,79.2,9,16,0.1916255642958912,0.002176348205352,845.0
湖山妍,台北市內湖區內湖路三段238號,69.3,9,19,0.7891686575650609,0.5052945263060893,599.0
遠雄奧斯卡,台北市內湖區新富街131號,75.8,9,9,1.393358348650272,0.463805936151762,239.0
大湖富邦,台北市內湖區東湖路113巷49弄86號,68.0,30,12,0.8569040729762634,0.2020397187826674,452.0
西湖寧境,台北市內湖區內湖路一段387巷3弄4號,80.4,29,14,1.426483369846387,0.1821701459417141,622.0
聯勤三喜,台北市內湖區民權東路六段180巷88號,80.0,7,8,0.6657458739311962,0.5154000303916924,167.0
閱讀歐洲,台北市內湖區成功路五段460號,81.5,22,14,0.3459841040940178,0.4356584257215021,369.0
城品大廈,台北市內湖區金湖路401巷20號,87.6,23,13,0.6239913072106329,0.0834693620504249,297.0
楓頌大直,台北市內湖區內湖路一段91巷55號,68.7,19,18,1.1599011369135537,0.3615693120972768,304.0
內湖寓水大廈,台北市內湖區民權東路六段222號,71.9,15,9,0.8338066547701594,0.6235596406861984,128.0
華固碧連天,台北市內湖區文德路53號,85.4,14,14,0.9926043584165024,0.1504565119720226,661.0
明湖雅築,台北市內湖區康寧路三段189巷91號,59.1,25,11,0.4714989198676156,0.2255423042449998,473.0
昇陽之道大廈,台北市內湖區成功路四段167巷1號,86.3,17,16,0.4133178367439593,0.2141023380204989,817.0
遠雄三名園,台北市內湖區新富街66號,85.0,8,8,1.4886211259716489,0.252207773310557,226.0
峰哲,台北市內湖區行善路417巷22號,53.7,11,8,0.9828523655035992,0.4951216782237932,220.0
維瓦第花園,台北市內湖區民權東路六段417號,64.8,22,11,0.7403663084827542,0.3469657798307377,316.0
山妍四季藍鵲行館,台北市內湖區內湖路二段253巷28號,81.0,14,15,0.2126615262207012,0.2209422851285829,851.0
碧山森之林,台北市內湖區內湖路三段72巷61號,67.1,28,17,0.7342509782669878,0.3958399248149258,697.0
双湖滙,台北市內湖區成功路四段178號,90.3,5,14,0.3562796218963615,0.1636155420991733,819.0
瓏山林國際館藝術館,台北市內湖區民權東路六段148巷1號,74.4,14,10,0.4073708840771332,0.1324944943386872,187.0
力霸國鼎大廈,台北市內湖區星雲街168巷29號,76.9,26,15,0.6811703362539112,0.2172149742590728,772.0
大湖富邦濱湖特區,台北市內湖區成功路五段420巷2號,93.0,22,13,0.1193339857855898,0.2345500810442262,338.0
富貴莊園,台北市內湖區康樂街136巷29弄10號,71.4,3,12,0.9579730195532852,0.2838085967339338,403.0
昇陽大地,台北市內湖區金龍路222巷10號,67.5,29,18,0.8057276202366824,0.6088577689056278,588.0
榮耀世紀,台北市內湖區金湖路65巷68號,96.7,18,15,0.6280030578347932,0.2740111346292516,787.0
行善大廈,台北市內湖區行善路25巷1弄11號,59.2,25,7,1.9200589579410687,0.5883837075030042,368.0
派樂地,台北市內湖區成功路二段115巷20號,47.6,7,8,0.7034842734487071,0.5384414094631977,168.0
文心日日,台北市內湖區民權東路六段180巷42弄11號,88.0,4,9,0.4390309563367315,0.3676606510791663,160.0
西湖園大廈,台北市內湖區內湖路二段103巷119弄1號,55.3,40,16,1.0034174439316412,0.3326946929350066,548.0
遠雄米蘭苑,台北市內湖區新富街156號,85.2,10,8,1.4058412551839825,0.4206570024329982,245.0
夢想部落格,台北市內湖區民權東路六段123巷34弄23號,70.3,15,10,0.1295675684567122,0.3733933099659062,224.0
大湖仙境,台北市內湖區星雲街163號,87.5,23,14,0.6152580518974261,0.2063825567167612,785.0
上林苑,台北市內湖區環山路一段26號,101.5,13,14,1.0346673764604144,0.1034819241423784,495.0
華固名人道,台北市內湖區民權東路六段425號,88.2,14,11,0.6834155169942702,0.3516871138314861,329.0
國泰沐善,台北市內湖區行善路291號,92.4,4,8,1.3371504561538674,0.4224329671551324,247.0
濱湖皇家大廈,台北市內湖區內湖路二段103巷50號,69.0,40,15,0.9807115514253129,0.2337090711185928,665.0
