建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
雲天,台北市北投區溫泉路37巷30號,54.4,17,28,0.352950800303611,0.1639561974638241,542.0
凌霄大樓,台北市北投區中山路47號,27.3,39,31,0.219615005886358,0.2806479445549327,129.0
御品行館,台北市北投區光明路195號,71.4,5,28,0.1671410648580144,0.1638730039449175,498.0
御之泉,台北市北投區中和街20巷2號,67.2,16,28,0.0402676950161662,0.100445670295637,465.0
十泉十美溫泉會館,台北市北投區光明路240號,55.1,13,32,0.4260404804867266,0.2074978923448042,350.0
泉之鄉,台北市北投區溫泉路139號之1,30.1,45,33,0.2326629173666742,0.3551897545761218,108.0
麗池花園大廈,台北市北投區裕民六路2號,75.5,27,25,0.3361696904965521,0.4469322194994345,476.0
玄泰富御大廈,台北市北投區東華街二段22號,87.7,9,25,0.2700850218884995,0.1237186432024843,440.0
草山水美大廈,台北市北投區幽雅路7號,42.0,14,34,0.4637181059358082,0.4633289734188124,87.0
昇陽明大廈,台北市北投區光明路185號,77.4,12,28,0.2039744272764733,0.1745694668331742,503.0
四季溫泉大廈,台北市北投區中山路28號之1,35.3,41,31,0.2718393452070146,0.1532050827018732,220.0
大華陽明泉源別墅,台北市北投區泉源路36號之22,33.5,33,29,0.3469765383840654,0.2183503634039933,295.0
宏盛天母公園B區,台北市北投區中山北路七段219巷3弄279號,55.5,15,29,1.720953376017133,0.9263443720498922,69.0
鹿鳴館水硯區,台北市北投區石牌路二段315巷34弄1號,75.3,7,27,0.4197564765087914,0.5872660897718447,420.0
軟橋裕花園,台北市北投區文林北路75巷51號,55.9,5,21,0.9134429275505336,0.0635189478145347,602.0
克拉美地,台北市北投區中正街62號,74.0,15,27,0.2401738411559952,0.1478200186677697,512.0
高湯屋,台北市北投區中和街32號,55.4,22,28,0.091620595867503,0.0979726912995479,462.0
暉騰裸心．聽澗,台北市北投區三合街一段38號,81.9,5,26,1.408904182698002,0.1691605094253007,422.0
Ihome-1家1,台北市北投區石牌路一段38號,82.8,9,21,0.3684842026721186,0.2581670239856013,348.0
天母玫瑰,台北市北投區公館路406號,61.3,24,24,1.4729149828453398,0.420759707959938,282.0
水美學,台北市北投區大興街26號,60.8,10,24,0.1626602311384483,0.1729010903474507,455.0
陽明山廈,台北市北投區中和街366號,42.0,24,28,0.2854028579893962,0.288892822202984,335.0
源之鄉溫泉大廈,台北市北投區泉源路39號之37,33.5,38,30,0.2260477306668546,0.1134273542903793,213.0
昇陽麗石大廈,台北市北投區裕民二路61號,94.1,9,24,0.2577960334657845,0.3400363075461847,433.0
築尚,台北市北投區知行路255號,61.5,11,26,0.1247497014910575,0.1383555595578247,158.0
櫻花,台北市北投區光明路220號,48.1,45,29,0.1721539597416828,0.1456535946039557,489.0
百齡庭園,台北市北投區公館路423巷11號,61.2,30,23,1.2864961417307943,0.2143152974965487,253.0
新天鵝堡,台北市北投區崗山路8巷3號,41.8,15,29,1.457583771855613,0.2557598024318097,86.0
明德敦品,台北市北投區文林北路12號,65.2,9,22,0.8791360034963289,0.2674678708877583,699.0
和峰,台北市北投區磺港路130號,67.9,8,26,1.1573562932270556,0.3723054032211876,472.0
北方之星,台北市北投區大度路三段270巷61號,59.5,11,27,0.4617804556722941,0.2008787792286087,175.0
天寬,台北市北投區石牌路一段15號,62.0,9,21,0.438580416505421,0.3128575061667761,330.0
遠雄御之邸,台北市北投區文林北路86號,69.7,10,21,0.928217899643671,0.2021565910520815,615.0
阿曼之旅,台北市北投區稻香路161巷7號,42.2,19,29,1.2733956922716327,0.5115215304933416,104.0
京倫吾悠大廈,台北市北投區光明路151巷6號,74.6,8,28,0.3347056353119041,0.1473519307764092,542.0
康莊,台北市北投區中央北路二段350巷60號,54.4,7,28,1.2871296550615592,0.3985471733248639,115.0
遠東瑞市大廈,台北市北投區文林北路218巷1號,19.9,27,22,0.6331214321213764,0.2794309649195805,437.0
璽硯大樓,台北市北投區中央北路一段191號,57.5,20,26,0.5714857601814208,0.1639243119860365,479.0
田園交嚮曲,台北市北投區石牌路二段371巷15號,61.1,27,26,0.6785417888692046,0.4559575480162295,404.0
天慕,台北市北投區溫泉路73巷6號,52.0,13,30,0.3020938262007221,0.1438528113509601,484.0
北投公園大廈,台北市北投區中山路1號之6,52.9,45,29,0.1038318643432263,0.1511149381390001,463.0
開璽和碧,台北市北投區西安街二段277號,88.6,13,26,1.0030053112384412,0.1966854061373346,322.0
月光花園大廈,台北市北投區大同街230號,53.4,18,28,0.1568542918339554,0.2914414738405949,426.0
天月大廈,台北市北投區中山路3號,63.3,20,29,0.1769240594408529,0.1273997606709089,447.0
湯布院,台北市北投區新民路53號之1,56.3,15,30,0.0990558820271263,0.2384532353559456,146.0
極上之湯大廈,台北市北投區光明路200號,61.4,18,28,0.1850200911643211,0.1460085894236943,500.0
景上苑,台北市北投區西安街一段229號,73.3,10,22,0.5213029075378249,0.361957845024867,629.0
成德王后花園,台北市北投區致遠二路111號,62.4,22,24,0.3476655596532143,0.1529895544266386,376.0
中南海大廈,台北市北投區承德路七段388號,63.5,27,23,1.3361720791730458,0.3013477034064885,199.0
泉緣大樓,台北市北投區溫泉路81號,52.7,28,32,0.3093442551570429,0.1408610975144444,488.0
薇閣曼陀林大廈,台北市北投區大業路719號,64.3,23,28,0.1800586496630262,0.1067224714211252,484.0
北歐客廳A區,台北市北投區關渡路52號,44.6,29,26,0.2827073375442728,0.190287028151788,154.0
捷運可樂,台北市北投區光明路217號,48.8,26,29,0.1370752721354648,0.1671004911530354,487.0
天母MIHO,台北市北投區同德街2號,83.9,17,26,0.8512879799534141,0.5542411015347963,366.0
東騰越,台北市北投區泉源路42號,61.8,7,30,0.2306795132261192,0.1168493103362573,214.0
台北畫境,台北市北投區關渡路52號,50.4,29,26,0.2827073375442728,0.190287028151788,154.0
安家時代,台北市北投區中央北路二段402號,56.3,17,28,1.3799073808711977,0.3373605436414347,93.0
奇岩可居,台北市北投區公館路237號,50.0,7,26,1.2906117704440478,0.0974452074747255,350.0
THE ONE,台北市北投區致遠一路一段75號,68.6,7,23,0.6009571462471832,0.343446912257762,535.0
大可山石,台北市北投區磺港路140號,67.0,3,26,1.1891329637009391,0.3721575280172594,470.0
奧林匹克花園大廈,台北市北投區大業路456號,73.6,26,24,0.1814313908436787,0.1630313482349919,454.0
台北陽明,台北市北投區關渡路46號,64.9,10,25,0.3116528827974362,0.2247616140904623,154.0
天母生活大廈,台北市北投區文林北路244巷2號,62.4,24,22,0.5811031025799295,0.3432816287735291,393.0
潤泰奇岩,台北市北投區三合街一段82巷50弄31號,65.9,5,26,1.28083841438351,0.2701764559670125,463.0
金雕御廷大廈,台北市北投區承德路七段108號,43.7,26,23,0.4444217144272926,0.3585574561623085,334.0
鄉林大境,台北市北投區行義路170巷27弄5號,58.5,9,29,1.5912249615398006,0.991918434638495,74.0
宏普鉑玉,台北市北投區石牌路二段315巷37號,59.6,9,27,0.4303332901062324,0.5423739425599909,404.0
中租御景,台北市北投區石牌路一段39巷146號,82.2,1,25,0.5742507665253481,0.3703238717633044,371.0
天母御堡,台北市北投區天母西路120巷18號,80.1,19,24,0.2703213205485478,0.1545415372952983,608.0
帕拉迪奧大廈,台北市北投區明德路161號,66.7,27,22,0.5295421556345791,0.1062733731275558,902.0
文化富星,台北市北投區文化三路166號,52.8,4,28,0.2442463230873692,0.3420288574813941,429.0
山河大地,台北市北投區大度路三段205號,44.5,32,25,0.3198292796697623,0.3303348839129792,164.0
藍田陞玉,台北市北投區文林北路132號,78.7,6,21,0.9038569505144756,0.1974536930741252,617.0
明德A+,台北市北投區自強街68號,70.9,6,22,0.4111944865643931,0.5007428247240588,394.0
天母好逑,台北市北投區石牌路二段315巷34弄18號,73.3,4,27,0.4178744472516236,0.5330494772185765,443.0
大邑詠天母,台北市北投區石牌路二段343巷11號,76.7,7,26,0.4667276338472881,0.4895143572623864,438.0
昇陽麗緹大廈,台北市北投區裕民六路1號,88.0,14,25,0.3124943555178973,0.4271853967550258,460.0
關渡水京,台北市北投區知行路293巷18號,56.0,13,27,0.1020662424947749,0.1854486150438906,162.0
文林大樓前棟,台北市北投區文林北路94巷5弄1號,47.7,42,23,0.9510615691209048,0.2364398086219667,622.0
木蘭居B座,台北市北投區天母西路117巷32弄5號,96.1,7,25,0.1249352941862766,0.2821381598285816,537.0
明德傑堡,台北市北投區東華街一段370號,84.5,7,22,0.6888807645331911,0.2353333690841842,749.0
星墅,台北市北投區珠海路113巷23號,32.0,7,30,0.3722404278688254,0.1463079969168484,289.0
將捷朗闊,台北市北投區文林北路302號,83.4,8,20,0.4700205337399906,0.5134422257494219,313.0
遠雄山綺,台北市北投區三合街一段36巷19號,71.4,7,27,1.3445186872432786,0.190940003931857,427.0
天母研,台北市北投區石牌路二段315巷33號,60.4,7,27,0.1917018056835487,0.5455985452270118,419.0
實住吉,台北市北投區裕民六路121號,95.8,8,26,0.4007657861467479,0.4118934788212678,554.0
陽明上隱,台北市北投區立農街一段203號,72.3,11,23,1.1574595056657582,0.0873574013564496,292.0
北投福林國典,台北市北投區中央北路一段113號,68.7,11,26,0.5777883987676674,0.0432295443978878,527.0
富田,台北市北投區中央北路三段40巷34弄16號,59.3,10,30,1.5440152664875182,0.1413176519518951,73.0
悅園,台北市北投區泉源路16號,47.5,19,29,0.1973666054631672,0.0375779185433621,404.0
臻品大廈,台北市北投區明德路9號,73.9,23,21,0.8719722945555346,0.228798114739768,634.0
中租雙星大樓,台北市北投區北投路二段35號,71.9,26,25,0.0633351794520245,0.2176806707729938,467.0
吾上琚,台北市北投區裕民六路111號,93.8,5,25,0.3610449423630537,0.3978229721180304,497.0
凱安植璞,台北市北投區石牌路一段39巷142號,56.4,9,24,0.6172906938995519,0.4033724439826899,358.0
正隆麗池大廈,台北市北投區中正街69號,62.7,15,27,0.207621998509837,0.1451747101122816,507.0
薇閣園地,台北市北投區永興路二段36號,50.9,9,28,0.1234512908485282,0.2011313256446406,397.0
大業邸,台北市北投區大業路600號,55.9,5,27,0.5265028099523359,0.1356517420463146,478.0
明德文林,台北市北投區明德路8號,68.8,5,21,0.8946571641270838,0.2236616670970569,637.0
冠德山水,台北市北投區大度路三段187號,36.6,21,25,0.378826095275874,0.3600202048639064,161.0
鹿鳴館山嵐區,台北市北投區石牌路二段315巷28弄18號,62.3,7,26,0.4104563268106961,0.5697732533493625,427.0
木蘭居C座,台北市北投區天母西路117巷32弄6號,88.8,5,24,0.0693742857012155,0.3366014130283608,509.0
愛登堡,台北市北投區東華街二段36號,73.5,14,25,0.3026405097696076,0.1337897334296667,438.0
北投大漢,台北市北投區光明路2巷9號,69.2,16,26,0.1423117056366218,0.0735197168417667,495.0
悅揚,台北市北投區中央北路三段67號,61.9,17,29,1.6881587209760067,0.2165743284478962,65.0
捷運布拉格,台北市北投區大度路三段295號,58.3,14,25,0.2771768544119115,0.3373964917942273,165.0
天墅大廈,台北市北投區天母西路120巷37號,91.8,16,24,0.2294862031575266,0.1601950553925309,624.0
葛萊美大廈,台北市北投區三合街二段426號,69.1,24,25,1.4448831602725911,0.5093592045277678,392.0
首善,台北市北投區承德路七段162號,72.2,9,22,0.5098413341417788,0.3510390219505666,320.0
璞園上誠,台北市北投區東華街一段500號,85.9,17,24,0.3458653700947815,0.4787635277977231,475.0
圓頂藝術廳,台北市北投區中央南路一段25巷1號,63.5,13,27,0.792802016461361,0.2282849689775804,521.0
力麒太和,台北市北投區文林北路94巷31號,78.9,12,22,0.9652144768868468,0.1852712208341605,643.0
金龍尊邸,台北市北投區尊賢街232號,58.9,3,23,0.6699091733689281,0.4422794918854109,338.0
遠雄山晴,台北市北投區三合街一段79巷16號,75.0,6,25,1.4889916508745242,0.2710313156605671,375.0
富久藏,台北市北投區中央北路一段159號,64.0,8,26,0.5541664455575821,0.0826323760460722,494.0
十和田大廈,台北市北投區北投路一段77號,73.7,15,26,1.4840448806269224,0.1969625530894065,398.0
嵐韻,台北市北投區溫泉路68巷6弄12號,53.4,8,30,0.7325157085835864,0.0610209920367416,530.0
昇陽麗緻大廈,台北市北投區裕民六路100號,76.4,20,25,0.3580753068366437,0.4437290909170768,514.0
啟宏馥玉大樓,台北市北投區大業路540號,55.2,12,26,0.6751262949013932,0.2095194791325411,480.0
大將首馥,台北市北投區中央北路四段18巷46弄12號,47.4,11,31,2.1763563615199386,0.240274938073248,67.0
哲學之道,台北市北投區石牌路二段325巷1號,66.1,18,25,0.155977539948284,0.4470648481392802,496.0
凡賽斯一期,台北市北投區中央北路二段414號,48.0,21,28,1.4137014939014796,0.3075489306864285,83.0
捷運HITO,台北市北投區中央北路三段40巷19弄9號,52.3,14,30,1.6471571148648998,0.1165809130626097,67.0
