建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
南港國宅,台北市南港區福德街373巷35號,53.2,24,10,0.996590153690762,0.5047619991866591,238.0
森之丘,台北市南港區東新街122號,76.8,13,7,0.2385093571171055,0.161745992299845,517.0
四季LULUR,台北市南港區忠孝東路六段132號,112.1,12,6,0.1774501844610563,0.1742978412411786,719.0
謙御,台北市南港區重陽路547號,62.1,11,6,2.315927735870197,0.4944856583301588,498.0
萬象廣場綜合大樓,台北市南港區八德路四段869號,62.0,27,1,0.7582255299041885,0.138559617297157,668.0
名豐時藝,台北市南港區經貿二路231號,78.8,8,6,2.542067049093585,0.5525835869709111,472.0
忠孝無極,台北市南港區忠孝東路六段100號,90.7,8,4,0.1865371522018983,0.2473885920650347,754.0
納美,台北市南港區東新街118巷29號,84.3,11,8,0.2546149629289627,0.1239105657773549,513.0
翔譽之心,台北市南港區興中路28巷10號,83.2,10,3,2.310222128314248,0.1044598736331938,432.0
巴黎春天,台北市南港區南深路31號,31.9,23,10,4.762618648824718,0.3001451000504728,134.0
聯勤四季紅,台北市南港區園區街36號,98.6,12,6,2.4110815567192474,0.2408536607406135,473.0
都泊林C區,台北市南港區東新街180巷11號,66.3,20,7,0.8125059158871744,0.4412226565457025,229.0
日升月恆,台北市南港區經貿二路235巷23號,109.6,8,7,2.613234624879416,0.6600501879615971,469.0
東煒富寓,台北市南港區研究院路二段151號,51.5,9,10,4.487692923011974,0.3044629885141909,158.0
華固天匯,台北市南港區經貿二路157巷48號,91.0,10,7,2.776375557525363,0.7523778643680424,425.0
双美舘,台北市南港區興中路56巷3號,84.2,5,3,2.204482003720849,0.0538542210543149,396.0
東方大地,台北市南港區南港路二段20巷5號,71.5,33,1,2.144988439814857,0.2652627185213176,359.0
正隆晶鑽,台北市南港區三重路41巷20號,86.6,9,5,2.393979587061154,0.2940213508683471,473.0
