建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
至善天下,台北市士林區至善路二段150號,81.5,26,21,3.2388806622580737,0.3803929778789233,82.0
天母懷德,台北市士林區忠誠路一段171巷12弄1號,88.4,13,22,0.1292910561841805,0.1772072832109484,727.0
新光仰仁名廈,台北市士林區忠誠路二段48號,82.8,35,21,0.6071989786016468,0.1418925646381663,758.0
川普至善Villa,台北市士林區至善路二段90號,75.6,7,19,2.82464054236334,0.4229807815197255,86.0
黃金藝術賞,台北市士林區克強路15巷5號,91.5,20,21,0.8095171496666694,0.1345249711034934,934.0
隱士林,台北市士林區士商路149號,89.0,16,17,0.3267047128181307,0.1597994663455781,1018.0
知鈺,台北市士林區芝玉路二段86號,83.7,2,24,0.8456753366049116,0.2316355197766698,516.0
士林官隱,台北市士林區福林路251巷8號,95.7,8,18,0.7875540981537711,0.1782803222830856,344.0
太子天母,台北市士林區芝玉路一段196號,75.7,27,23,0.3510089564161572,0.3505684095614119,561.0
天母紘琚,台北市士林區中山北路七段81巷28弄6號,115.3,11,26,1.010424149509601,0.3974914750391733,432.0
天星花園,台北市士林區中正路715號,54.4,19,16,1.4243735462277711,0.213501414495397,194.0
圓山1號院,台北市士林區基河路15號,69.1,7,15,0.5057667202836149,0.1578460000632901,1311.0
天母蘭桂坊,台北市士林區天玉街38巷12號,88.0,26,25,0.803952453384358,0.223819465121467,517.0
陽明新城,台北市士林區忠誠路一段100巷15弄1號,93.4,34,19,0.3828760873181736,0.236121990488767,902.0
新光仰賢華廈,台北市士林區忠誠路二段1號,79.9,36,20,0.4376297648484938,0.2485879693886815,692.0
寶殿大廈,台北市士林區文林路一段767號,49.4,42,17,0.4739940444679398,0.1956071295994925,1334.0
宏盛北美館,台北市士林區基河路30號,92.7,23,13,0.7222977829549478,0.3947244466267786,978.0
士科京璽,台北市士林區重慶北路四段222號,67.4,6,16,0.9128261926148288,0.5042461665848333,351.0
士林御花園大廈,台北市士林區忠誠路一段27號,74.6,34,20,0.4754349679177691,0.3164013749436488,1031.0
圓山巴黎,台北市士林區後港街160號,61.1,25,15,0.1727037033933978,0.2118162441288215,1259.0
環翠名宮,台北市士林區天母東路38號,65.2,36,25,0.9966752327528992,0.2900586071058199,561.0
官峰大樓,台北市士林區福志路116號,96.9,9,18,0.8074470729240597,0.2113943979974542,1113.0
奧之細道,台北市士林區天玉街58號,95.7,20,25,0.9756103964723964,0.3931555433043994,458.0
天母鬱金香大廈,台北市士林區忠誠路二段102號,75.4,36,22,0.8891733727940704,0.295663334392299,790.0
囍堂,台北市士林區文林路500號,85.7,10,19,0.1012983498236897,0.3716243651422002,1339.0
筑丰天母,台北市士林區中山北路六段35巷10號,105.3,6,18,0.7347539127544854,0.5331122364074895,1068.0
藏峰大廈,台北市士林區承德路四段85號,85.2,20,14,0.7247314990077295,0.3848265798035246,962.0
中正陽明花園,台北市士林區中正路426號,71.8,23,16,0.3690481596583305,0.2215162273849736,1253.0
國泰天母,台北市士林區中山北路七段87號,119.4,8,25,1.0454295509578155,0.4577847419333826,415.0
