建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
華亭天廈,台北市大同區天水路45號,68.0,14,5,0.4079037409898771,0.3918555556801142,2330.0
廣宇首善,台北市大同區錦西街53巷20號,83.5,12,7,0.2268366435715661,0.0789400746310539,1719.0
民生禮御,台北市大同區民生西路227號,84.9,5,5,0.9386399520959264,0.0942622704441187,2068.0
中山文華-文華滙,台北市大同區承德路二段65號,97.3,5,5,1.0328589705638185,0.1910438443007303,2313.0
華富大廈,台北市大同區延平北路一段51號,62.1,42,3,0.2741382814193435,0.3961634722262795,2557.0
斯文首善,台北市大同區大龍街91巷22號,78.6,1,8,0.3701357651718354,0.2349332859519624,997.0
大同世界大樓,台北市大同區民權西路136號,61.7,33,6,0.0341405576191493,0.1948173975836454,1491.0
樓中堡大廈,台北市大同區南京西路103號,81.3,28,4,0.7294604419040753,0.0758932562777194,2432.0
超·站 S,台北市大同區延平北路三段17巷6號,79.1,3,10,0.3220993951553985,0.0560436216152042,888.0
長安香檳大廈,台北市大同區長安西路205號,57.1,41,4,0.3532109928337364,0.4588623573049771,2419.0
富貴大樓,台北市大同區天水路12號,44.0,45,5,0.4504628681321083,0.34912635190636,2358.0
泰華重慶大廈,台北市大同區重慶北路二段157號,48.0,42,8,0.5010776970406609,0.9110237939185826,1682.0
時尚之星,台北市大同區五原路15號,63.0,13,4,1.014856662180799,0.0544564882556788,2253.0
常殷峰澤,台北市大同區延平北路一段108號,85.4,2,4,0.3053149934553359,0.4003334536252889,2104.0
大福將綜合大樓,台北市大同區寧夏路11號,60.0,26,6,0.6914225123129917,0.1502238769009118,2229.0
常殷君天廈,台北市大同區延平北路一段41號,78.9,10,3,0.2752286125511433,0.3777809792088737,2607.0
幸鴻大廈,台北市大同區民權西路144巷4號,50.9,36,6,0.0494537706760676,0.172763564408476,1535.0
美麗圓山,台北市大同區承德路三段158號,68.5,16,8,0.5066955980462373,0.1882535632889566,901.0
大稻上埕,台北市大同區延平北路二段82號,76.5,13,8,0.5336660721737153,0.4595923279824929,1351.0
