建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
成功國宅中央區西區,台北市大安區四維路198巷20弄2號,80.3,37,17,1.1496887559970863,0.2866344423857977,1440.0
首泰信義,台北市大安區信義路四段257號,208.6,1,12,0.3475675238171384,0.3312584519223779,1557.0
大安國宅乙區,台北市大安區信義路三段134巷74號,89.7,36,14,1.0481902944385468,0.417330619065125,1420.0
大安傳家,台北市大安區金山南路二段188號,153.8,3,10,1.3811385879085605,0.2486746240433404,1566.0
和平賞,台北市大安區和平東路三段212巷2號,97.9,22,15,1.033521866969256,0.3917952236622213,848.0
明日博-住宅,台北市大安區市民大道三段180號,125.2,7,9,0.8761527469669803,0.2904268189476504,1821.0
至德大廈,台北市大安區忠孝東路三段84號,79.8,28,9,1.074794905440191,0.070274773791477,1448.0
儒林天廈大樓,台北市大安區和平東路一段55巷1弄2號,90.3,33,9,1.4353112837463218,0.2665087164766918,1557.0
璞園信義,台北市大安區信義路二段202號,156.6,5,15,0.9651276601008656,0.1923067627601839,1241.0
力霸凱悅大廈,台北市大安區光復南路680號,79.3,27,13,0.6531637222469098,0.1603647585225291,1257.0
逸仙名邸,台北市大安區光復南路98號之1,31.8,35,8,0.1301741843029399,0.4322853852934956,1529.0
朝代金站大樓,台北市大安區復興南路二段25號,108.8,27,14,0.5702717579421076,0.078733643452176,1304.0
忠泰鳳磐,台北市大安區大安路二段3巷51號,110.5,5,15,0.6520142476654097,0.1288683374486409,1522.0
TRUMP PARK,台北市大安區建國南路一段308號,128.2,5,11,0.8207763284020994,0.1796599021644124,1385.0
百吉大廈,台北市大安區仁愛路四段357號,124.9,36,12,0.1696970660510306,0.345713249911523,1711.0
榮耀敦南,台北市大安區樂業街8號,88.4,19,15,1.1414732528217777,0.4668729159971281,1284.0
建成皇宮,台北市大安區忠孝東路四段248巷27號,105.3,35,12,0.3148167131504005,0.3970551040464812,1746.0
八十里,台北市大安區和平東路一段185號,130.3,15,15,1.161866873614216,0.2488098667799904,1677.0
大安薈館,台北市大安區大安路二段62號,115.6,13,14,0.5498385964584357,0.0036431943448119,1472.0
萬祥大廈,台北市大安區忠孝東路四段319號,122.5,13,11,0.1801023670971041,0.2588590892263973,1584.0
康和御花園,台北市大安區安居街9巷15號,59.9,37,15,0.9596256597056364,0.5799091910195655,613.0
中聯忠孝大樓,台北市大安區忠孝東路四段231號,96.1,40,10,0.4001082617861672,0.0973208599965907,1639.0
正義新城,台北市大安區忠孝東路三段216巷3弄1號,88.2,35,11,0.6724785625055778,0.1327308778015134,1693.0
和平大苑,台北市大安區和平東路一段99號,136.2,8,10,1.2307831625629218,0.1074024890156223,1588.0
昇陽GRAND,台北市大安區光復南路660號,113.8,14,13,0.6532605153951216,0.2479872529937506,1284.0
尊爵大廈,台北市大安區復興南路一段79巷4弄2號,92.2,26,10,0.4084829730271161,0.2801073507180319,1732.0
九昱信義翡麗大廈,台北市大安區信義路三段156號,116.9,14,14,0.6196829805951231,0.049621800779708,1215.0
