建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
名人世界,台北市松山區民生東路五段137巷4弄8號,77.0,41,12,0.735540263180002,0.2504656096174592,573.0
翔譽101大樓,台北市松山區八德路四段636號,94.3,9,2,1.789445398600069,0.1773723070181462,754.0
海華廣場大廈,台北市松山區民生東路五段165號,73.7,40,11,0.8530950423146528,0.2666384762758655,532.0
誠一,台北市松山區健康路327號,62.2,23,9,0.9857850272193264,0.1430756336260185,718.0
揚昇君苑,台北市松山區饒河街209號,98.4,2,6,1.0900352028691276,0.1090722976950648,620.0
劍橋世貿吉星,台北市松山區南京東路五段330號,59.9,33,5,1.1306787790990331,0.4349180957460912,791.0
中工常翠,台北市松山區健康路325巷24弄2號,99.3,7,8,0.9979035431758596,0.153125145269702,670.0
阿曼生活,台北市松山區八德路三段186號,134.9,17,8,0.2779611231211905,0.2604511343056511,1436.0
延壽國宅H區,台北市松山區三民路80巷8號,84.8,30,9,0.7396240463664768,0.1898182320479113,741.0
健安新城G區,台北市松山區三民路80巷3號,84.6,18,8,0.6573227547785702,0.1288884950016195,781.0
國美新美館,台北市松山區健康路406號,112.1,11,7,0.8741612920572487,0.148100518561704,763.0
敦化雅極大樓,台北市松山區八德路二段391號,130.6,16,12,0.1239325326434182,0.2036268404394522,1959.0
敦北翠苑,台北市松山區敦化北路199巷8號,88.8,28,15,0.086770706080532,0.1981027243986381,1289.0
敦北傑座大廈,台北市松山區八德路三段95號,87.7,19,9,0.4640762996186018,0.0703922483310428,1616.0
福之鄉大廈,台北市松山區八德路三段71巷1號,75.5,35,10,0.508937502625618,0.022668204054528,1685.0
建築賞,台北市松山區八德路四段455號,48.0,20,4,1.2060824901565352,0.2380425411919007,891.0
壽園國宅/民福大廈,台北市松山區民權東路三段103巷1號,66.9,38,16,0.683631815985924,0.2088688067642092,837.0
太子敦園大廈,台北市松山區光復北路26巷11號,58.5,18,10,0.0743489892768169,0.2738335270396523,1236.0
藏富,台北市松山區三民路3巷11號,107.6,48,8,0.6138830023179882,0.1008626626070405,947.0
建業大廈,台北市松山區南京東路四段168號,76.2,40,9,0.1772067265379463,0.1827109153222171,1203.0
久石讓,台北市松山區寧安街68巷1號,111.0,12,10,0.3691337039231135,0.1293244235987492,1303.0
阿曼精品,台北市松山區八德路三段177號,88.9,15,8,0.2730193817884518,0.2186666419964184,1435.0
民生社區,台北市松山區民生東路五段98號,72.0,53,11,0.5238774824456901,0.2401472438576629,738.0
信義星池,台北市松山區八德路四段443號,79.7,15,3,1.2770713318763989,0.305852960834454,815.0
建成花園廣場,台北市松山區民生東路五段196號,78.6,33,11,0.8263728694701135,0.2605062615575946,595.0
楓韻晴川,台北市松山區南京東路五段415號,85.6,5,7,1.3205929849741305,0.4928566984270913,688.0
華固名鑄,台北市松山區敦化北路8號,189.9,50,13,0.3031594940423836,0.1504071863210154,1834.0
松山新城第二區,台北市松山區健康路35巷1號,81.8,25,11,0.3273802631410972,0.1858679843890655,1179.0
松贊花園廣場大廈,台北市松山區八德路四段650號,115.9,16,2,1.796852518823986,0.1698196586745633,756.0
敦煌社區,台北市松山區光復北路181號,85.1,36,12,0.5272910187387979,0.2213739762578843,795.0
勤耕延吉,台北市松山區光復南路46巷36號,141.1,2,11,0.3704757409681636,0.3489334259642719,1582.0
敦北圓頂,台北市松山區復興北路427巷25號,89.9,14,17,0.7777689975548413,0.3255804539221872,603.0
愛琴海大廈,台北市松山區南京東路五段42號,84.8,33,9,0.2205651351417364,0.0986342921349736,1067.0
東京現代居,台北市松山區寶清街21號,62.4,33,6,1.1385931953875952,0.3315234866772329,847.0
華固敦品,台北市松山區敦化南路一段3號,187.7,2,11,0.1978649822377113,0.2062633938466324,1973.0
南京華廈,台北市松山區南京東路五段123巷1弄22號,70.7,37,9,0.3127826374038285,0.0466628513607748,1048.0
崇偉南京大樓,台北市松山區南京東路五段230號,73.6,40,6,0.8181942717461548,0.3454887060939894,922.0
南京尊爵,台北市松山區南京東路五段23巷6弄8號,85.1,27,9,0.2522892059102136,0.1874190076095479,1098.0
