建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
台北晶麒,台北市萬華區康定路103號,68.4,7,9,0.2991435185177229,0.2289741900435652,1433.0
青年新城國宅,台北市萬華區中華路二段416巷1號,60.0,35,12,0.5733813276126496,0.2267798031299601,738.0
有富正旺,台北市萬華區成都路137號,59.7,7,8,0.1683439727596456,0.0463134403179934,1415.0
輕鬆築大廈,台北市萬華區康定路20號,69.8,21,7,0.2183040531599571,0.2466438130065428,1243.0
崇仁花園大廈,台北市萬華區青年路152巷10號,61.1,15,15,0.8335063190994139,0.2351878338000122,516.0
One@台北,台北市萬華區成都路102號,62.0,6,9,0.153267276828148,0.1353348891238566,1339.0
阿曼TiT,台北市萬華區西寧南路125號,73.6,11,9,0.1923900293005528,0.3388852486475464,1811.0
新碩鼎和,台北市萬華區貴陽街二段121號,63.1,4,9,0.2200276691330463,0.3387299721905911,1397.0
天鑽大廈,台北市萬華區中華路一段160號,89.5,10,9,0.4105316791814134,0.3912358650914918,2016.0
西武大樓,台北市萬華區西寧南路42號,54.8,40,9,0.1669051859969095,0.3308368699360929,1750.0
宏普W HOUSE,台北市萬華區漢口街二段53巷1號,69.7,10,7,0.2577838395821724,0.2604575466268401,1751.0
岳泰豐鼎,台北市萬華區漢口街二段88號,73.3,5,7,0.2018735432842372,0.3946616246246505,1428.0
皇家極品大廈,台北市萬華區成都路96號,61.4,24,8,0.1462021829206278,0.0639055074918267,1576.0
國光社區,台北市萬華區中華路二段498巷1號,62.3,44,12,0.3151272252992713,0.3568695754009022,669.0
中正新城,台北市萬華區青年路號,57.6,41,14,0.7211388704913363,0.1043673260268567,604.0
花漾大樓,台北市萬華區峨眉街100號,93.1,17,9,0.1317835815360802,0.1280318469993882,1387.0
臺北市國輝花園,台北市萬華區中華路二段484巷10號,58.5,32,11,0.4109708917794195,0.331682693935845,673.0
東京凱悅,台北市萬華區昆明街109號,50.7,20,9,0.1303765249620131,0.097780917225585,1689.0
千曜學,台北市萬華區西園路二段81巷9號,66.2,2,11,0.4033939933391631,0.1148976524422619,883.0
西門FANCY 1,台北市萬華區西寧南路307號,72.8,6,8,0.2958750538727735,0.26481024006601,1784.0
真愛密碼,台北市萬華區成都路155號,62.4,15,7,0.1727958341541166,0.077962364563233,1366.0
全坤雲峰,台北市萬華區環河南路一段101號,53.3,8,7,0.2332326427657162,0.2767069803766157,1228.0
日新大廈,台北市萬華區和平西路三段384號,41.7,41,10,0.6949108409136167,0.1378338596968792,426.0
樂群花園新城,台北市萬華區中華路二段364巷11號,96.3,9,11,0.7152465226409439,0.2472586257610252,887.0
都美艷,台北市萬華區桂林路107號,70.7,3,10,0.3453648458561801,0.214897049342099,1319.0
萬喆,台北市萬華區民和街150號,56.7,6,14,0.3636984526281872,0.269396599185388,542.0
華強大廈,台北市萬華區大理街170巷52號,55.5,43,12,0.6611602006356937,0.1940027134903154,595.0
臺北市國興,台北市萬華區水源路195號,37.3,40,14,0.1034751595428573,0.2476667622710825,509.0
天澤,台北市萬華區環河南路三段133號,58.7,7,10,0.5425761990572683,0.4398708445937698,394.0
華宴,台北市萬華區柳州街67號,75.0,8,8,0.26962400761902,0.1739697654053456,1662.0
麗植園大廈,台北市萬華區萬大路71巷8號,70.8,15,10,0.755972924319061,0.2613069825858657,1093.0
華泰西門大廈,台北市萬華區長沙街二段11號,59.4,42,6,0.3558049393872784,0.3571455699497745,1885.0
國賓大理,台北市萬華區艋舺大道275巷18號,29.9,4,12,0.3746378333221019,0.2710099689709131,893.0
