建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
吉林豪祥華廈,台北市中山區中原街10號,55.5,36,10,0.6395854441726042,0.1927929110622493,2453.0
華山里美,台北市中山區長安東路一段56巷7弄26號,108.2,6,9,0.9506532678077894,0.3057589669047822,2066.0
華園,台北市中山區長安東路一段56巷7弄20號,75.0,4,9,0.9555905527941264,0.2928719498300562,2083.0
昇陽夏朵大廈,台北市中山區合江街55巷11號,80.0,14,13,0.5650505249539648,0.0646238619056223,2113.0
摩登生活家,台北市中山區建國北路三段22巷23號,44.9,30,11,0.4652153900622418,0.6777196413259093,909.0
大直永安公寓,台北市中山區北安路578巷8弄1號,61.3,41,16,0.8146001120354947,0.2234540622650895,390.0
大直紅舍,台北市中山區大直街112號,72.5,39,17,1.0073256580627532,0.1969105842817836,358.0
太子大直新城,台北市中山區大直街84巷1號,55.4,39,18,1.1188389988025762,0.0808999872385482,326.0
廣揚貴族大樓,台北市中山區中山北路一段83巷18號,52.6,28,7,1.0433270389722935,0.5213373436140912,2442.0
長安雅仕,台北市中山區長安東路一段30巷3弄23號,52.5,28,6,0.9055397325316498,0.3573716605573028,2249.0
