建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
富台國宅公寓,台北市信義區忠孝東路五段423巷4弄1號,55.1,34,7,1.3137292668191936,0.441396775342654,1085.0
太平洋蒔景,台北市信義區崇德街161號,71.7,4,14,0.7012752899802268,0.4042485418927073,950.0
信義龍門,台北市信義區福德街137巷10弄1號,63.4,40,10,1.1332756940212516,0.2458455051432194,638.0
儒林園,台北市信義區吳興街600巷132號,44.2,34,18,1.0743927912129678,0.9260576499244196,70.0
信義之森,台北市信義區信安街103巷8號,97.6,1,14,0.5204774531939443,0.3239017383094109,986.0
市府捷運大廈,台北市信義區忠孝東路五段33號,82.6,40,7,1.2582649281021836,0.0316191098576479,1118.0
崇德,台北市信義區崇德街31巷8號,63.5,36,14,0.9407035124125632,0.1342685413166307,1150.0
克勤新城,台北市信義區吳興街220巷59弄1號,50.9,33,14,0.1570511456325527,0.0503304997297943,983.0
永吉興雅,台北市信義區永吉路127巷26號,52.3,37,6,1.3373674066634171,0.0438515344374611,1044.0
雅祥富台,台北市信義區忠孝東路五段275巷3號,64.6,34,8,1.329466000220216,0.5539216847575802,1226.0
雅築一品大廈,台北市信義區永吉路278巷27弄2號,77.4,25,6,1.6401594993785968,0.430094535237345,1139.0
