建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
山丘小墅,台北市內湖區環山路二段30號,82.5,4,17,1.7560084735910602,0.2775826832926449,493.0
大湖園,台北市內湖區成功路四段324巷2弄19號,48.9,37,16,0.8141487173869872,0.4050610508315715,737.0
文德好境,台北市內湖區陽光街161巷12號之1,83.1,3,14,0.7636235394420682,0.4086845176217845,668.0
書香畫境,台北市內湖區康寧路三段245巷10號,53.4,38,9,1.0558215024913364,0.1061033977719791,457.0
綠大地,台北市內湖區成功路四段294巷21弄1號,48.9,36,16,0.8104860402328642,0.4044760643050355,745.0
富御苑,台北市內湖區康樂街201巷12號,49.3,5,15,1.3273871677367703,0.3771322651975147,164.0
世界新城,台北市內湖區內湖路一段285巷65弄30號,57.3,40,16,1.3118751887327742,0.2798654003379849,486.0
龍之鄉,台北市內湖區東湖路113巷111弄1號,44.0,35,12,0.7205697260085845,0.4295611428109409,450.0
萊茵皇家,台北市內湖區瑞光路112巷56弄31號,69.0,25,12,1.2994836596573816,0.7074750647431752,431.0
至善別墅,台北市內湖區民權東路六段191巷101號,59.1,23,10,0.6523096383485958,0.3844631282932182,173.0
唐苑,台北市內湖區康寧路三段189巷157弄1號,40.6,34,12,0.3613142818692323,0.2512742599678252,465.0
山沺藏,台北市內湖區民權東路六段289巷21號,67.2,1,11,0.8793566681199395,0.41335307973879,205.0
康樂,台北市內湖區康樂街151巷13號,49.8,38,14,1.213639569052395,0.0847406906022597,349.0
新明華廈,台北市內湖區新明路371號,49.9,19,7,1.065596051616083,0.4230528437030655,343.0
聖湖園,台北市內湖區文德路207巷5弄1號,46.1,38,14,0.5174398817972903,0.1348628116534814,930.0
文心十二品,台北市內湖區金龍路13巷26號,72.0,6,16,0.5952791572690191,0.4508995829645167,811.0
碧湖新境,台北市內湖區環山路三段30巷6號,44.0,32,16,1.2044958016189449,0.1623122079947369,438.0
元隆江南,台北市內湖區江南街96巷9號,83.4,6,12,1.551550837332949,0.2431176960432354,641.0
金石名園,台北市內湖區星雲街33巷10號,47.5,35,13,0.3529733766607262,0.1866375762932793,827.0
金華樓南湖,台北市內湖區康寧路三段70巷101號,50.0,33,9,0.9449579751963196,0.1465937887088679,462.0
大直歐洲三期,台北市內湖區文湖街21巷82弄41號,55.8,19,17,1.1936041368432424,0.3883568688570789,241.0
培林花園城,台北市內湖區內湖路一段629巷101弄13號,53.5,38,14,1.3920253210974414,0.1269213319375955,649.0
大湖雙堡,台北市內湖區康寧路三段245巷2號,45.1,27,10,1.0286747955097992,0.0897626221293877,469.0
春之森綠榕區,台北市內湖區金湖路363巷133弄1號,65.5,24,11,0.6090287434848151,0.252587072334114,257.0
三民,台北市內湖區民權東路六段47巷22號,47.4,34,12,0.5505799655837652,0.170329997873405,297.0
三陽柳中園二期,台北市內湖區文德路171巷3弄10號,47.2,35,16,0.6662302743269126,0.2088774727946616,921.0
北大湖,台北市內湖區成功路四段324巷1弄1號,41.7,39,16,0.8864286369124313,0.3563217070652371,705.0
聰明,台北市內湖區潭美街551號,25.4,17,9,1.430599817858014,0.5600109758228428,176.0
國家別墅,台北市內湖區金湖路357號,50.2,23,13,0.7117665158178662,0.1205385656576233,255.0
紅樓,台北市內湖區康寧路三段56巷160號,36.8,33,10,0.9818129414543072,0.2359472003118587,438.0
港墘新城,台北市內湖區港墘路111號,44.4,42,13,1.5084753965022104,0.1676965765691463,652.0
文湖家園,台北市內湖區內湖路一段91巷35弄34號,68.3,39,16,0.9723544177152266,0.1762260460697175,361.0
寶獅湖山園,台北市內湖區麗山街67號,50.3,34,15,1.0605608006870573,0.1651303172418336,589.0
環山狀元城,台北市內湖區環山路二段109巷3弄號,46.4,38,16,1.5543959161796348,0.2103127022224722,624.0
大湖莊園,台北市內湖區大湖山莊街157號,41.9,35,17,1.2335549833972028,0.0644837527874855,264.0
麗山名園,台北市內湖區環山路二段141號,44.1,35,15,1.3764418031281491,0.167915505525253,590.0
宏泰爵座疊翠特區,台北市內湖區瑞光路132巷73號,60.5,26,12,1.4149264692616057,0.8422371009195685,447.0
福祿,台北市內湖區安泰街38巷10號,32.7,35,12,0.9230026408203542,0.2654753474910582,395.0
心園,台北市內湖區民權東路六段193號,44.8,22,10,0.6625637638914054,0.4571115735542719,126.0
皇家,台北市內湖區內湖路三段5巷1號,43.7,35,16,0.326122460217712,0.1288661078195139,829.0
港墘瑞光公寓,台北市內湖區瑞光路315號,29.6,39,11,1.6804209447678438,0.3316751644809747,622.0
翡翠,台北市內湖區內湖路三段329巷10弄1號,24.8,38,19,0.9236083563582738,0.7233967436263311,406.0
清白新城甲區,台北市內湖區康寧路一段195巷3弄13號,54.1,28,15,0.7674690263770367,0.2917984589985047,742.0
柳中園C,台北市內湖區文德路171巷1弄1號,47.8,38,17,0.6359931053378973,0.1780954474277913,932.0
長春美屋,台北市內湖區內湖路三段239號,36.0,39,19,0.7568033112446497,0.4788973869875541,635.0
江南晴園,台北市內湖區江南街71巷16弄5號,37.7,39,13,1.4253818038484192,0.4341096440186679,614.0
賓士名園公寓,台北市內湖區東湖路147號,39.1,35,11,1.194786412597936,0.1460157911548704,395.0
江南名園A棟,台北市內湖區江南街115號,50.3,39,12,1.6048187249115458,0.3464357255646207,632.0
清白新城(丙區),台北市內湖區康寧路一段195巷4弄1號,53.5,28,15,0.6882675850648963,0.2109706609978262,749.0
三陽家園之星,台北市內湖區金湖路16號,47.6,41,15,0.5469943184518185,0.3781070411726928,797.0
權盛時代科技大樓,台北市內湖區民權東路六段11巷43號,35.4,15,11,1.6272682056638814,0.9719836785140644,269.0
江南名園,台北市內湖區江南街117巷8弄4號,46.8,39,13,1.5954809433510708,0.3674186141691349,630.0
