建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
千禾漾,台北市北投區復興三路58號,61.5,5,30,0.5974022588681468,0.1806948221900682,204.0
陽明山河,台北市北投區公館路311號之2,36.6,33,25,1.371727289681662,0.3395773544310448,357.0
東初和風別莊,台北市北投區光明路260號,35.7,37,31,0.3324385921399779,0.1423004850845314,264.0
采邑花園,台北市北投區復興四路7號,67.3,14,29,0.2994714592086312,0.2771695405748942,322.0
有德花園新城,台北市北投區中央北路四段316巷1弄1號,37.1,37,28,0.3169552643882936,0.3118967022098871,101.0
吉利新城,台北市北投區吉利街314巷1號,42.2,25,25,0.4874393459360991,0.2913017759113055,387.0
歐洲花城乙區,台北市北投區中央北路三段148巷2弄10號,24.3,37,31,1.8273180748627047,0.2664716842343571,63.0
翠嶺山莊,台北市北投區文林北路234號,31.6,39,22,0.6073385019582738,0.3123558706416235,406.0
三發景悦,台北市北投區奇岩路237號,58.1,7,28,1.2863462596683677,0.2748306983776419,325.0
翠宜華廈,台北市北投區翠宜路3號,39.4,27,31,0.5311604614008927,0.3124167886123087,236.0
力行新村,台北市北投區自強街61巷10號,46.0,31,22,0.3356516107243658,0.4685943615536181,346.0
陽明庭園,台北市北投區崗山路5巷1號,35.1,33,29,1.458531031983564,0.2338581083160515,86.0
關渡黃金城,台北市北投區知行路293巷12弄2號,14.5,36,26,0.2028665015165203,0.2601082655250653,163.0
天母福村三期,台北市北投區懷德街75巷11號,49.6,35,24,0.4716626225643714,0.2992015981206896,646.0
貴族山莊,台北市北投區聖景路119號,37.8,24,27,0.2068674405133668,0.3103615326732988,151.0
孟承園,台北市北投區致遠二路61巷10號,45.0,38,23,0.2884794429346006,0.0641902374692769,366.0
艦岩B棟,台北市北投區石牌路二段315巷20號,103.5,43,26,0.1109390124232754,0.4825966668663881,431.0
