建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
天母藝術家天地,台北市士林區中山北路七段14巷78號,45.4,35,27,1.3527695036724716,0.5207290556248383,335.0
圓山藏富,台北市士林區文林路144巷10號,87.8,1,16,0.6934383112921254,0.3082786508838381,1324.0
菩方田,台北市士林區菁山路72巷16號,58.2,13,35,3.7712099284699376,1.0266355422185105,117.0
天母芝園五期,台北市士林區德行東路338巷1號,48.3,35,26,0.8476561832891799,0.1628835624913424,297.0
芝山名園,台北市士林區中山北路六段2巷23弄10號,62.6,38,21,0.4907547858551144,0.3371370746351237,1049.0
滿園春,台北市士林區天母東路81巷20弄1號,46.4,38,26,1.3022524919822618,0.2803090877888984,417.0
天母名園A棟,台北市士林區天母東路50巷10弄2號,57.5,37,25,1.0465711337148078,0.2247996166850468,542.0
天母榕榕園,台北市士林區天母東路105巷9弄6號,23.7,41,26,1.3646626556117831,0.2468645426537205,371.0
天母融園三富,台北市士林區天母東路105巷9弄1號,38.8,41,26,1.4019970620267124,0.1971715530737359,320.0
士林頌,台北市士林區福德路79巷1號,54.4,23,17,0.4480807866579658,0.1664868070064978,1329.0
天母碧園,台北市士林區中山北路七段124巷1號,41.7,39,27,1.1843511146845924,0.5982470665772422,377.0
天母融園二祥,台北市士林區天母東路105巷35號,44.4,41,27,1.2655374272691062,0.3781668580979035,426.0
士東香格里拉公寓,台北市士林區士東路320巷2號,45.2,17,26,1.1464575839851936,0.3277962715625006,201.0
天母融園一和,台北市士林區天母東路91巷9號,42.4,41,26,1.3776938428523555,0.2018235609522984,357.0
臨溪福邸,台北市士林區至善路二段117號,50.4,36,20,2.958777054396887,0.5219778278842072,85.0
