建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
城心美學,台北市中山區雙城街49巷18號,65.3,8,12,0.3653848426134075,0.2033322193825999,883.0
菁典館,台北市中山區敬業一路128巷47號,87.7,14,16,0.5242433048359757,0.6789351053696814,445.0
中山麗緻,台北市中山區林森北路557巷3號,80.0,12,12,0.0429873438818806,0.0914715596347438,1368.0
松江桂冠,台北市中山區松江路226巷1號,88.4,10,12,0.3250511643004704,0.38811322379857,1908.0
亞都頂客大廈,台北市中山區吉林路411號,48.4,26,12,0.5486286891910075,0.5115475786071839,909.0
蘭庭華廈,台北市中山區北安路458巷47弄10號,77.3,40,15,2.553557631963536,0.2062778131991748,307.0
晶華2000,台北市中山區林森北路107巷81號,59.9,39,8,1.0765509517225365,0.2437365064741298,2433.0
翡冷翠花園大廈,台北市中山區民生東路二段77號,57.3,43,9,0.3863094029073068,0.3864128691301582,2111.0
春邸華廈,台北市中山區新生北路二段62巷40號,48.9,25,9,0.8293391435345782,0.4120009701068523,2427.0
明皇大廈,台北市中山區中山北路二段93巷21號,57.6,43,9,0.2617303012087329,0.3249066014502994,2066.0
福壽大樓,台北市中山區林森北路107巷30號,52.5,40,11,1.114822439656957,0.3545561236053853,2650.0
大華儷園大廈,台北市中山區復興北路488巷1弄1號,58.5,39,16,1.0067662170789675,0.2051028636090585,513.0
正章大廈,台北市中山區林森北路353巷20號,75.3,45,10,0.4368370242411023,0.421473507067967,2439.0
力行新城信義,台北市中山區通北街118巷1號,60.4,23,16,1.861852312136712,0.786963622041376,159.0
德惠大青大樓,台北市中山區德惠街37號,60.3,43,11,0.2603836090639739,0.3105430455759747,1003.0
新添成大廈,台北市中山區新生北路三段57號,59.6,46,11,0.2665491930838865,0.0959506150128128,1105.0
如意大樓(吉林路),台北市中山區吉林路365號,65.1,43,12,0.4004355977160365,0.4311896759109615,1076.0
梅園,台北市中山區長安東路一段53巷16號,53.6,35,7,1.0946295610739796,0.3280131677827972,2602.0
六本木一番館,台北市中山區中山北路一段121巷27號,53.7,16,7,1.1794948879825065,0.4547997836292348,2461.0
三陽蘭園,台北市中山區合江街180巷1號,77.8,45,14,0.7624888720402452,0.4383485863692634,1430.0
明昌精典大廈,台北市中山區錦州街23巷12號,74.1,7,9,0.2854832662131425,0.1793727575824931,1760.0
松江JR,台北市中山區松江路330巷53號,91.4,15,12,0.0506137919372828,0.489153097804562,1631.0
寶格麗,台北市中山區中山北路一段121巷19號,77.8,12,7,1.169990103252963,0.4873827243195903,2398.0
時尚麗舍華廈,台北市中山區南京東路二段24巷8號,105.2,18,9,0.9366638852103796,0.030093783051471,2398.0
勤樸臻藏,台北市中山區新生北路三段85號,66.9,3,10,0.3775605335339463,0.4370659884816789,901.0
松江金棧,台北市中山區松江路562號,52.7,26,14,0.7232857477685286,0.6857848770498695,730.0
巴黎花園,台北市中山區基湖路151巷36號,74.8,13,13,0.8262758630164411,0.3478480895729557,440.0
芳鄰大廈,台北市中山區新生北路三段82巷1號,62.4,36,12,0.3168276060269064,0.3619224405112341,957.0
中山碩尚,台北市中山區雙城街12巷16號,70.4,25,12,0.1926748501210856,0.2661197003409273,1327.0
松江新貴,台北市中山區民權東路二段135巷32號,75.9,8,11,0.4673439602746219,0.7173679184015951,890.0
英格蘭世家AB棟,台北市中山區明水路557巷10號,89.7,31,16,0.6384740889876839,0.1055144651629445,407.0
官景大廈,台北市中山區民族東路170號,69.0,9,11,0.6754034744358111,0.6012736129668594,756.0
東京行館,台北市中山區松江路69巷11號,102.4,9,11,0.4932507250903554,0.3259595583946175,2149.0
美麗華BR1,台北市中山區北安路805巷4弄6號,91.9,5,16,0.7591689622990027,0.551842655156998,380.0
花見,台北市中山區長安東路一段40號,83.7,2,6,0.9706362920708488,0.3607485589612498,2392.0
伊通馨苑,台北市中山區建國北路一段50巷25號,92.2,5,10,0.5539988091152029,0.2381542077376192,2202.0
摩登達人,台北市中山區遼寧街62巷20號,72.2,14,14,0.4152247830475012,0.0422391393764058,2249.0
臺北市圓山新城,台北市中山區通北街65巷2弄10號,54.6,28,16,2.0461492042850584,0.6276244918588072,222.0
凱聯大廈,台北市中山區吉林路379巷10號,64.2,40,14,0.4103011861963491,0.4881598423239879,1036.0
國賓精典,台北市中山區中山北路二段65巷1號,55.8,27,9,0.2044122219157275,0.6224827381291712,2142.0
理性.感性,台北市中山區基湖路116號,86.9,13,12,0.6941344581191543,0.2588406967921504,483.0
