建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
中正沂凰,台北市中正區臨沂街32巷2號,110.0,8,7,0.5422916,0.433051662,1415
仁愛GARDEN,台北市中正區仁愛路二段65巷1弄5號,101.1,17,8,0.715856988,0.44038608,1390
當代藝樹,台北市中正區新生南路一段60巷8號,79.7,14,7,0.811260694,0.290389118,1422
睿泰川端,台北市中正區汀州路二段271號,101.1,6,14,0.856474759,0.204004402,1358
中正菁英,台北市中正區羅斯福路二段8巷8號,98.5,12,9,0.117393776,0.23139629,1276
國盛花園國盛國宅,台北市中正區南海路101號,56.2,42,12,0.484045535,0.245789349,772
仁愛新宿大樓,台北市中正區臨沂街75巷15號,114.8,26,10,0.724227909,0.321239913,1271
泉州名門,台北市中正區寶慶路37號,54.1,37,6,0.630194609,0.316222869,2185
早安師院大廈,台北市中正區南昌路一段54巷24號,84.2,16,11,1.000266296,0.280522744,1018
仁愛沂荷,台北市中正區金山南路一段53巷1號,125.0,13,7,0.517442408,0.500440696,1413
滿築華廈,台北市中正區和平西路二段16巷2號,74.4,50,13,0.582370277,0.167383655,934
快客A+,台北市中正區羅斯福路三段58巷6號,88.4,8,13,0.786077431,0.334242977,1541
愛國新城己基地,台北市中正區中華路二段75巷18號,64.6,30,9,0.219764748,0.262685624,1237
群樂大廈,台北市中正區仁愛路二段20巷11號,74.3,39,8,0.417966984,0.308321244,1468
萬年青華廈,台北市中正區中華路二段445號,44.2,42,12,0.117008497,0.149053888,625
和旺雙沂,台北市中正區臨沂街33巷33號,102.4,8,6,0.774765786,0.336211327,1428
中正御品大廈,台北市中正區愛國東路74巷25號,141.3,14,9,0.838139747,0.283075234,1147
東門小金悅,台北市中正區金山南路一段110巷18號,91.1,14,10,0.581965549,0.105923154,1377
仁愛新城甲基地,台北市中正區杭州南路一段14巷1號,123.1,25,5,0.130622025,0.352554411,1332
中正楷悅二期,台北市中正區中華路二段81巷41號,71.0,6,8,0.242473508,0.257107609,1187
俋泰匯台大,台北市中正區羅斯福路三段316巷5號,96.7,10,14,0.267639954,0.114011074,1476
