建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
海華九福名人,台北市信義區忠孝東路五段372巷27弄1號,86.9,38,10,1.120713877563185,0.4970217509105166,1153.0
101富裔館,台北市信義區忠孝東路五段71巷12弄10號,106.2,13,9,1.2621366244028829,0.0214354781441933,1072.0
2001廣場,台北市信義區松德路180巷1號,99.7,33,10,0.6194359281635552,0.1956637498377387,865.0
東其鈺,台北市信義區永吉路120巷27弄8號,93.6,5,6,1.4413757696118368,0.2425981649372006,1184.0
表參道大廈,台北市信義區忠孝東路五段275巷7弄2號,114.1,18,7,1.383715568980658,0.4572498750175435,1183.0
信義101,台北市信義區吳興街600巷76弄16號,62.7,7,17,0.9214008642251617,0.7899167185696844,133.0
紐約第五街大廈,台北市信義區松隆路125號,79.3,26,6,1.4626169936151558,0.1798046146703094,1088.0
信義一品大廈,台北市信義區永吉路120巷43弄7號,109.6,8,6,1.446088671076558,0.2611626538163759,1174.0
陽光新第大廈,台北市信義區吳興街600巷76弄159號,53.8,26,18,0.7331266231001944,0.9049770323846896,92.0
挹翠山莊,台北市信義區景雲街22號,50.4,42,17,1.1412439385860569,0.8813333567191608,105.0
市府晶華,台北市信義區永吉路30巷157弄21號,92.0,11,7,1.6353649536981347,0.409545189772041,1154.0
國稅局宿舍二期三期,台北市信義區松德路221號,63.4,41,8,0.5740056960358697,0.2756683694039852,771.0
永吉路278巷2弄華廈,台北市信義區永吉路278巷2弄20號,56.7,4,6,1.9071780273980607,0.3634121968765162,1126.0
新舞台,台北市信義區虎林街120巷120號,84.5,17,6,1.3769441139541263,0.4534896590073795,1169.0
保固聯合大樓A,台北市信義區忠孝東路四段553巷16弄9號,79.8,47,10,0.6668190585992737,0.2158690584110862,1330.0
威尼斯商人,台北市信義區吳興街583巷113號,89.1,9,16,0.8071501650884939,0.4035983666691088,236.0
信義懷石,台北市信義區基隆路一段83巷32號,70.4,16,6,1.373306530773022,0.0720099122262839,1066.0
艾蜜麗,台北市信義區永吉路127巷11弄6號,82.6,5,5,1.2891107714735637,0.0409803741128226,1070.0
信義TEMPO,台北市信義區永吉路120巷12號,97.6,16,5,1.3752288552863887,0.1938358459618494,1164.0
四季台北,台北市信義區忠孝東路五段345巷1號,107.3,15,7,1.268185945658182,0.5893459486999881,1127.0
忠孝界,台北市信義區中坡南路22巷7號,91.5,9,6,0.5305981828714961,0.1194343035936569,871.0
國瑞大樓,台北市信義區信義路六段17號,43.0,41,9,0.5244283686198401,0.341528136963223,718.0
挹翠山林,台北市信義區信義路五段150巷445弄465號,56.5,28,15,0.8245607368598366,0.4952729554607846,205.0
凱悅VISA,台北市信義區松山路620號,85.4,24,8,0.7871828403924211,0.1784721584009191,652.0
挹翠甫園,台北市信義區吳興街600巷56號之2,54.6,27,16,0.9626946222583196,0.608834842694986,182.0
逸仙麗舍大樓,台北市信義區忠孝東路四段559巷18號,97.3,30,8,0.7013998489478571,0.2089956248108275,1335.0
基泰世貿,台北市信義區吳興街284巷8號,96.6,8,16,0.2217813860646053,0.2083883002218722,579.0
和平藝墅,台北市信義區和平東路三段391巷20弄39號,58.3,23,16,0.6766598332318673,0.509086542236183,543.0
奢華經典,台北市信義區基隆路一段83巷19號,69.6,14,6,1.3611179819454784,0.0696425502816057,1056.0
忠孝芳鄰,台北市信義區松隆路272號,60.1,33,3,1.1372745278177236,0.1261180479814954,885.0
基泰千禧林園大廈,台北市信義區松勤街148號,119.3,24,12,0.5560259826967218,0.3683834467682713,766.0
華納菁英館,台北市信義區忠孝東路五段236巷37弄13號,145.1,26,9,0.9549782416957376,0.3012490999982285,1121.0
信邑,台北市信義區永吉路30巷28弄10號,77.3,11,6,1.2134875229186868,0.2689651782232869,1086.0
永吉,台北市信義區永吉路326巷15號,54.6,41,5,1.0809335337001869,0.3880443402509713,1017.0
信義御和園,台北市信義區永吉路200巷21弄6號,75.0,16,6,1.883237500017188,0.4291771273581332,1202.0
信義炫技曲,台北市信義區永吉路200巷61弄2號,85.3,7,7,1.5676639857277757,0.5077041678360974,1216.0
悅鑽新第,台北市信義區忠孝東路五段295巷17號,119.4,18,7,1.44443708427835,0.5923947850798358,1269.0
市府雅築,台北市信義區永吉路30巷12弄5號,114.3,25,6,1.2052491952071662,0.2492565983921109,1087.0
品 信義大樓,台北市信義區永吉路30巷102弄19號,126.0,12,7,1.26643185538543,0.2477546303395579,1039.0
信義艾美,台北市信義區松智路30號,154.1,8,13,0.2349941381253812,0.2458959094258452,948.0
清園華廈,台北市信義區忠孝東路四段516號,89.5,40,8,0.6481711434676072,0.3001537263913026,1388.0
誼聯東籬,台北市信義區忠孝東路五段790巷57弄1號,70.0,5,7,0.6657398101260342,0.1475480295207651,795.0
世貿公園大廈,台北市信義區松德路307巷26號,50.0,32,11,0.1818927184705724,0.4337756317170385,453.0
敦南雅緻,台北市信義區和平東路三段509巷7弄13號,77.5,8,18,0.4205782494320945,0.8328831955964858,278.0
信義世爵,台北市信義區基隆路二段79巷30弄1號,89.5,14,13,0.4174484476213397,0.073877748188089,1180.0
富台松信大廈,台北市信義區松信路211號,72.1,34,7,1.3438621216232145,0.6045115206643592,1242.0
逸仙林園,台北市信義區忠孝東路四段559巷16弄1號,83.4,34,8,0.7115922980260203,0.1998274692980152,1333.0
世貿新城松勤區,台北市信義區松勤街51號,93.8,25,12,0.4439002344540862,0.0061623057472871,1237.0
永春,台北市信義區虎林街70巷1號,53.3,39,6,0.97140914165352,0.249250890449686,1031.0
永富信義,台北市信義區松勤街76號,151.6,16,12,0.3921779806114763,0.0864905801607558,1078.0
涵館,台北市信義區信安街103巷10號,87.4,10,14,0.678887811744585,0.185494001488077,1094.0
世貿新城甲乙基地,台北市信義區松智路29巷2號,77.6,25,12,0.5184844078117486,0.2143105606678836,977.0
樹海,台北市信義區福德街251巷7弄38號,57.7,11,9,0.9295886835740949,0.1281976197435764,474.0
信義晶華華廈,台北市信義區富陽街35巷5號,59.0,26,14,0.7931321642411419,0.4355362838112836,839.0
大邑新象,台北市信義區松平路78號,108.8,15,12,0.4680329913718248,0.2203016023361735,884.0
挹翠別莊,台北市信義區景雲街9號,50.4,15,17,1.116187793701802,0.8892206717801167,105.0
四維國宅,台北市信義區虎林街76巷1號,61.1,39,5,0.9865844617693972,0.2327189707680019,1053.0
新格名廈B,台北市信義區莊敬路391巷16弄2號,85.3,40,14,0.3042556321691662,0.1930605760430478,731.0
信義Lamour,台北市信義區永吉路180巷30弄12號,73.7,15,6,1.4675139547125169,0.2479600969498223,1201.0
永春華廈,台北市信義區虎林街120巷148號,50.0,20,7,1.3775216153879757,0.5372865564184041,1190.0
翰墨苑,台北市信義區吳興街516號,64.8,6,16,0.7434700081779984,0.3626985707208489,240.0
信義新貌大廈,台北市信義區林口街182號,47.2,32,7,0.8194659367807207,0.3262091507112318,855.0
璞石II,台北市信義區信安街103巷8號之5,90.0,9,14,0.5204774531939443,0.3239017383094109,986.0
逸仙明珠,台北市信義區忠孝東路五段295巷6弄25號,93.4,28,7,1.3662483969216714,0.5869213045051401,1203.0
仁愛御品大樓,台北市信義區光復南路415巷2號,88.1,29,10,0.3214116076495318,0.1526166208387741,1688.0
白宮雲門華廈,台北市信義區吳興街137號,64.3,39,13,0.282859511382752,0.2312625533339138,1111.0
東方林園,台北市信義區中坡南路201巷8號,57.5,33,7,0.5565492741652238,0.1678219545879784,716.0
滿庭芳,台北市信義區松隆路123巷19號,50.8,38,4,1.422817033424271,0.2150887460744117,924.0
悅鑽大廈,台北市信義區忠孝東路五段295巷18號,118.6,18,7,1.4336340941595649,0.6073445624740971,1266.0
信義雅翠Ａ區,台北市信義區松勇路53巷2號,106.0,25,11,0.654249829260202,0.2283081095687328,969.0
國際名邸,台北市信義區松勇路53巷33號,128.8,16,11,0.6337010624446116,0.1757455047024979,947.0
松仁雅居,台北市信義區松仁路155號,90.7,26,12,0.5822104751703259,0.1063328604823362,651.0
雅仕閣,台北市信義區松德路200巷57號,119.3,16,10,0.5941154242815162,0.1059163460253196,925.0
信義御璽,台北市信義區松智路32巷8弄8號,96.3,14,13,0.1838893787094168,0.2426193702337917,942.0
富台國宅華廈/松信華廈,台北市信義區松信路212號,75.4,34,8,1.3511717805593848,0.5878900066575224,1253.0
信義君址,台北市信義區松隆路123巷33號,68.8,21,3,1.4218675217538623,0.2146819929089302,868.0
山景園大廈,台北市信義區吳興街284巷52號,56.8,33,16,0.4501415153915176,0.3843063482414496,482.0
名門雙秀大廈,台北市信義區忠孝東路四段559巷12號,77.6,34,8,0.7098894697372314,0.2047974055445152,1314.0
忠孝無爭,台北市信義區忠孝東路五段31巷18弄17號,102.3,14,8,1.2524221285554509,0.0372635042259318,1102.0
臻居,台北市信義區崇德街63巷27號,59.1,13,14,0.8486419938805417,0.050634883329865,1175.0
克勤華廈,台北市信義區吳興街220巷11弄1號,66.4,29,14,0.0743200706883846,0.166352273024973,986.0
世貿新城己基地公寓,台北市信義區松智路38號,103.3,25,13,0.1831197442174576,0.264399635143702,932.0
世貿東村,台北市信義區吳興街260巷19弄10號,67.0,22,16,0.0848736507845546,0.1435527581353579,725.0
崇德名門,台北市信義區崇德街95號,66.1,34,13,0.8057448537459004,0.1673250228000745,1042.0
榕石園大樓,台北市信義區忠孝東路五段743巷1弄22號,74.3,25,5,0.6774711100996343,0.1130924844321774,952.0
都心經典大廈,台北市信義區永吉路184巷80號,71.1,27,6,1.4796117691675243,0.5538624716308735,1267.0
信義公爵館,台北市信義區忠孝東路五段236巷57弄8號,117.9,18,9,0.827048002028565,0.1470340512555503,1032.0
吉吉園,台北市信義區永吉路30巷158弄8號,95.7,10,7,1.380927168259681,0.2022004083086784,1099.0
東煌大樓,台北市信義區吳興街195號,65.4,31,14,0.1303316444402961,0.2512332135350739,1027.0
住都新貴大廈,台北市信義區吳興街600巷100弄10號,47.2,26,18,1.0019842124106633,0.9517266650008712,59.0
信義璞緻,台北市信義區永吉路30巷83弄11號,91.7,13,7,1.3456774651612953,0.3036610284423686,1152.0
潤泰敦南京品,台北市信義區和平東路三段509巷1號,61.4,21,17,0.3725406222749388,0.9037109284686748,258.0
達欣名園大廈,台北市信義區信安街119號,56.6,19,13,0.7440159880145859,0.1513156727460131,1079.0
凱旋花園A區,台北市信義區松平路56號,116.4,22,13,0.2373305205901085,0.189004933747006,974.0
仁愛君悅,台北市信義區仁愛路四段512巷16號,96.0,16,11,0.6138731955733788,0.4849295176841906,1626.0
逸欣大廈,台北市信義區逸仙路32巷11號,96.2,41,9,0.6662579078093902,0.3594457191005255,1417.0
逸仙傳奇大廈,台北市信義區逸仙路42巷1號,122.9,27,9,0.5988237068170948,0.3763928469648121,1453.0
羅丹新象,台北市信義區吳興街284巷13弄1號,63.3,29,16,0.2128607871081116,0.2147159923777071,566.0
永利仁愛大廈,台北市信義區光復南路415巷218號,89.9,43,11,0.5940665438757642,0.426021576582112,1638.0
翠楓名廈,台北市信義區莊敬路375號,39.9,40,14,0.2067340378390676,0.2910533328351241,756.0
信義7PARK大廈,台北市信義區永吉路30巷145號,84.5,15,7,1.3988669719768674,0.3648213971198596,1140.0
現代之藝大廈,台北市信義區松仁路153巷5號,126.1,22,14,0.5564606079722114,0.1414558339310705,680.0
崧園大廈,台北市信義區松隆路167號,57.0,22,5,1.139606677966884,0.1384266356722699,864.0
國寶佳園,台北市信義區吳興街220巷37弄12號,24.4,30,14,0.136853962620582,0.147207027727424,1054.0
雲邸華廈,台北市信義區松勤街92號,161.3,23,13,0.5785076771423077,0.2748910919907245,973.0
