建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
文德雙湖翠園,台北市內湖區文德路230號,52.8,33,13,0.447866884,0.142152313,914
民權環翠,台北市內湖區民權東路六段296巷41號,64.9,28,11,0.51245817,0.417223476,396
蓮園久富,台北市內湖區安康路428號,62.4,2,9,1.18972266,0.313349529,434
雅曼尼商業大廈,台北市內湖區民權東路六段210巷43號,54.8,23,9,0.793017048,0.619542228,102
大湖漢象,台北市內湖區金湖路326巷66號,65.5,23,14,0.446008803,0.111027522,302
湖光國宅乙區I,台北市內湖區文德路22巷114號,50.8,39,12,1.204573941,0.525229746,543
永泰金城A區,台北市內湖區安康路480號,48.0,25,10,1.128097429,0.127375927,419
上品敦富,台北市內湖區民權東路六段218巷28號,53.3,13,10,0.776662956,0.589212283,108
心力合馨園,台北市內湖區民權東路六段180巷42弄30號,17.4,8,10,0.481578208,0.368062599,163
文湖苑御北,台北市內湖區文湖街21巷118弄10號,52.2,11,18,1.372162096,0.567770843,168
瓏山林大直香榭,台北市內湖區文湖街21巷118弄40號,53.4,7,18,1.342822288,0.562531044,170
世和御苑,台北市內湖區民權東路六段180巷77弄21號,66.6,16,8,0.613423534,0.581147402,150
瑪瑪咪雅,台北市內湖區民權東路六段210巷21弄1號,84.4,3,9,0.721916331,0.532810893,113
金融皇家,台北市內湖區江南街117巷8弄1號,71.6,23,13,1.609838711,0.394603196,618
大湖晴山公寓大樓,台北市內湖區安泰街114巷19號,43.4,13,14,0.784899114,0.673907688,254
康寧天闊,台北市內湖區康寧路三段99巷17弄99號,61.4,21,13,0.347227231,0.23742625,412
西湖大第,台北市內湖區文湖街21巷68弄10號,68.1,29,17,1.074790289,0.269892854,284
東湖國宅乙區,台北市內湖區康寧路三段99巷39弄1號,50.3,28,12,0.348718624,0.205550448,470
大直國家,台北市內湖區內湖路一段1巷9弄12號,51.3,32,15,0.71924764,0.233612793,351
美麗GOGO,台北市內湖區文湖街21巷98弄2號,58.1,15,18,1.263386018,0.475527881,186
琉森花園,台北市內湖區行善路281巷28號,70.8,13,8,1.448181306,0.326550989,246
三十三樂,台北市內湖區南京東路六段387號,73.3,8,8,1.459812416,0.337840545,229
東湖國宅甲區,台北市內湖區康寧路三段99巷17弄42號,64.9,28,12,0.377545085,0.179839632,471
大湖第凡內,台北市內湖區金湖路330號,67.9,23,12,0.622495136,0.114221634,276
雅璞春秋,台北市內湖區金湖路347巷116號,79.4,16,12,0.610776063,0.295956031,336
香草山莊,台北市內湖區金湖路347巷121弄1號,76.2,17,12,0.599375939,0.309897487,346
遠雄新都富仕苑,台北市內湖區新豐街158號,63.9,12,8,1.332161318,0.47438789,235
南京金鑽,台北市內湖區新明路312巷2號之1,42.6,9,4,1.122529199,0.379989216,339
西湖京典,台北市內湖區內湖路一段203巷11號,81.4,26,15,0.856226349,0.025588327,483
洞庭,台北市內湖區內湖路二段103巷100弄1號,64.5,27,16,1.060533429,0.30546986,573
德安芳鄰,台北市內湖區內湖路二段480號,46.7,28,15,0.342950127,0.183924531,819
大直山邊住,台北市內湖區內湖路一段91巷136號,42.7,29,18,1.176880201,0.331854273,313
聿唐大樓,台北市內湖區康寧路三段99巷39弄10號,71.9,14,12,0.347050037,0.207309087,470
漢鴻經典大廈,台北市內湖區康樂街116號,41.9,29,13,1.147415246,0.200739448,372
湖砌大廈,台北市內湖區民權東路六段419號,80.6,13,11,0.726818762,0.350114532,317
方圓百禮大廈,台北市內湖區民權東路六段280巷25弄2號,64.4,23,11,0.593819274,0.483894726,393
麗緻雙星大廈,台北市內湖區安康路348號,62.4,18,8,2.038878291,0.151432802,453
