建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
洲美,台北市北投區福美路198號,21.2,5,21,1.7413724583994183,1.132634313010375,52.0
奇妍晴川,台北市北投區三合街一段63號,71.4,8,26,1.4840448806269224,0.1969625530894065,398.0
北投天母麗多大樓,台北市北投區崇仁路一段166巷10號,54.1,25,23,1.5304462721660577,0.475675888947667,283.0
奇里居大樓,台北市北投區西安街二段275巷16號,55.7,8,24,0.975217643421672,0.1623007775827959,314.0
三輝觀心,台北市北投區公館路55號,54.4,11,27,0.8097079765306027,0.2120041538924669,540.0
湯自慢花顏,台北市北投區奇岩路14號,39.4,10,30,0.7443828736006877,0.3041727134247667,462.0
亞果A.dear,台北市北投區三合街一段117巷72號,64.8,3,25,1.5098837633080515,0.392756303557739,353.0
甲桂林山莊C區,台北市北投區中山北路七段219巷3弄151號,56.1,38,27,1.3789851828390165,1.0143998579526077,123.0
天母新城B座,台北市北投區天母西路117巷52弄16號,56.9,38,26,0.1608100195702191,0.2768891696937476,490.0
吉星大廈,台北市北投區溫泉路71號,45.5,42,31,0.2490145244425588,0.0900912193394166,495.0
甲桂林山莊A區,台北市北投區中山北路七段219巷3弄101號,50.9,38,28,1.3052462489793442,0.923424809821643,186.0
維多利亞大廈,台北市北投區明德路286號,78.7,23,23,0.1067018933836674,0.2337161733339189,840.0
宏普新邑,台北市北投區三合街一段82巷101號,78.0,7,26,1.3052817153607257,0.3521752354183831,456.0
楓香宿,台北市北投區新民路62巷15弄1號,63.8,6,30,0.1125235563044245,0.2858803242692154,142.0
國礎湯富裔,台北市北投區新民路76號,54.2,9,30,0.2501533161604624,0.3222355735835525,103.0
森原六十六,台北市北投區公館路161巷1號,51.1,7,28,1.2067306776762654,0.2820344105050151,462.0
天泉,台北市北投區泉源路34號,52.2,25,29,0.3345080051729804,0.2148534418692693,301.0
華固奇妍映月,台北市北投區三合街一段36巷1號,80.2,7,26,1.3812415069797157,0.1637084424064579,428.0
奇岩晶站,台北市北投區公館路209巷14號,43.6,14,27,1.3276708604162806,0.1290165752533819,361.0
富貴雙星大廈,台北市北投區中央北路一段179巷1號,47.9,26,26,0.5825829992474838,0.1274079911256722,488.0
美虹園,台北市北投區奇岩路37巷1號,29.7,37,30,0.7834970864062986,0.3240910756132897,467.0
貴園溫泉別莊,台北市北投區新民路1巷5號,33.9,41,31,0.2612651614466957,0.2115978443966288,289.0
文化國宅A區,台北市北投區文化三路25號,44.4,37,27,0.3979791258834879,0.1563681786089555,477.0
雅典大樓,台北市北投區中山路30號,29.9,46,31,0.2538615981718795,0.1792683313933522,196.0
文化國宅B區,台北市北投區北投區文化三路100號,41.4,36,27,0.3084765023159528,0.2649183781016534,461.0
磐琚天母,台北市北投區行義路96巷11號,64.1,10,27,1.1893454667432846,0.8268890166792933,290.0
關渡捷韻,台北市北投區中央北路四段583巷10弄7號,51.7,6,27,0.4592735821058462,0.1897106792078151,170.0
溫泉賞,台北市北投區溫泉路65巷9號之1,50.6,22,32,0.2496323604188332,0.0593097301753955,512.0
奇妍出雲,台北市北投區三合街一段82巷66號,74.6,8,26,1.2659364039494665,0.3545839956955016,461.0
錦園大廈,台北市北投區致遠二路61巷7號,58.2,14,23,0.2907579162470645,0.0835095571390771,367.0
山水雅都大廈,台北市北投區中央北路二段181號,43.9,28,26,0.8876696026371321,0.0392145145171763,307.0
倚翠大樓,台北市北投區泉源路28號,44.9,42,29,0.3299047959430428,0.1215525314725549,343.0
行義別館,台北市北投區行義路130巷24號,44.1,16,29,1.477625939509175,1.0218526330913156,93.0
汎華綠園大廈,台北市北投區中和街36號,39.6,42,28,0.1106520384653597,0.10012490286764,466.0
湯自慢湯妍,台北市北投區奇岩路10號,40.7,10,31,0.7205145466892848,0.3198085207445274,445.0
長見,台北市北投區溫泉路68巷10號,38.7,21,32,0.6805905113896978,0.0996062554140742,510.0
玉川溫泉大廈,台北市北投區泉源路39號之51,31.7,36,30,0.2260477306668546,0.1134273542903793,213.0
天母十方,台北市北投區榮華三路14巷10號,74.3,16,23,0.2037255599257285,0.1561746831367522,895.0
中國花園第二大廈,台北市北投區榮華三路2號,55.6,32,23,0.2381388669180813,0.2329844026001374,905.0
溫泉天第大廈,台北市北投區溫泉路65巷10號,46.2,27,32,0.2342329732235336,0.0685775904271654,504.0
甲桂林山莊B區,台北市北投區中山北路七段219巷3弄119號,48.7,38,28,1.2682933363096434,0.8969164548134805,214.0
雙享時代,台北市北投區永興路二段47號,59.2,12,29,0.1449095084170309,0.1996316645069841,384.0
士林福庭,台北市北投區石牌路一段58巷1號,61.6,38,22,0.2957467475537738,0.2047603086481012,368.0
亞安公館路228巷華廈,台北市北投區公館路228巷111號,69.9,4,25,1.4836042212822018,0.4212243311225255,340.0
稻香花園城,台北市北投區新興路70巷1號,32.6,29,29,1.347546349451389,0.3823885959514165,96.0
奇岩豐采華廈,台北市北投區崇仁路一段91號,52.2,11,24,1.73373298489494,0.5897815852698939,382.0
丹鳳華廈,台北市北投區中央南路一段150號,46.4,24,25,1.0889023096096355,0.1605219696059393,482.0
知行路5巷1號華廈,台北市北投區知行路5巷1號,39.4,5,27,0.2465965268693598,0.2006024693832788,131.0
瑪奇朵大廈,台北市北投區天母西路117巷59號,68.4,14,25,0.164854314918241,0.3422483874207429,492.0
承璽集美,台北市北投區致遠二路87巷28號,70.8,3,24,0.4198993131392184,0.2135122992316149,390.0
宏盛天母公園A區,台北市北投區中山北路七段219巷3弄276號,61.5,15,28,1.6992481915194282,0.9101230233709944,75.0
禾樂A+,台北市北投區崗山路8巷6號,52.5,4,29,1.4179214714205164,0.2860920317453716,89.0
富連陽明,台北市北投區中央北路三段40巷38弄16號,51.7,2,30,1.5916448790217084,0.1044697694412192,72.0
森悅家,台北市北投區稻香路138號,51.9,15,29,1.2391260965560265,0.5919966294600019,105.0
御園,台北市北投區石牌路一段166巷46弄19號,81.3,11,24,0.1304471786319448,0.2987328081535882,381.0
花沺藏,台北市北投區三合街一段118巷16號,78.0,7,25,1.4285894226781906,0.3431433003560681,414.0
大屯新城,台北市北投區義方街38號,37.6,27,29,0.1756421170448239,0.1354532514138084,362.0
捷運學園,台北市北投區中央北路三段40巷42號,35.2,10,30,1.6681767483872716,0.0178708169134561,65.0
銘砌馥御,台北市北投區中央北路四段18巷46弄15號,45.4,6,30,2.2008897820885864,0.2646543222069161,67.0
大自然世界,台北市北投區行義路186巷45號,50.0,38,29,1.7414263746842904,0.9342168118970552,66.0
吉利日和,台北市北投區吉利街106巷7號,57.5,5,24,0.919922376533042,0.1921347607190888,258.0
戀綺里,台北市北投區吉利街149巷11號,70.2,6,24,0.8451840599012336,0.2570437891372153,323.0
北投慶龍門,台北市北投區大屯路光華一巷6號,52.6,6,29,0.4115801679845588,0.2579440793706651,271.0
大將首驛,台北市北投區大同街105號,65.9,8,26,0.65254707501328,0.110188244301598,520.0
日光大廈,台北市北投區行義路154巷3號,41.2,41,29,1.41574667119795,1.1567411166095751,90.0
天石戀,台北市北投區石牌路一段58巷20號,66.9,6,22,0.2774441499952603,0.2511835085109308,359.0
水美奇岩,台北市北投區三合街一段82巷61弄12號,64.5,6,27,1.3113270281914815,0.3776419702645152,454.0
陶淵明,台北市北投區行義路186巷41號,49.1,20,29,1.7320109188068604,0.9481521624867232,64.0
晴園華廈,台北市北投區幽雅路5巷2號,35.4,27,35,0.4114303714036284,0.3920071032020015,104.0
大屯櫻花園,台北市北投區中華街10號,38.5,26,30,0.239659421876195,0.0747085184399244,327.0
大華柏園,台北市北投區稻香路197號,25.1,28,29,1.3950783218132523,0.5924237205695635,81.0
稻香VILLA,台北市北投區稻香路161巷17號,37.5,13,29,1.384684899181883,0.3754293227609917,91.0
麗景山莊大廈,台北市北投區行義路142號,38.8,41,29,1.3194869570232155,1.1080351301120854,99.0
櫻花天母,台北市北投區行義路186巷1號,53.5,11,29,1.614763494362865,1.0574584802624605,58.0
得意天母大廈,台北市北投區石牌路二段315巷8號,56.7,27,26,0.3173132752026856,0.4508044719709679,476.0
米蘭小鎮,台北市北投區振興街9號,73.1,26,24,0.22273799868237,0.098777250709221,606.0
箱根庭園,台北市北投區溫泉路65巷3號,53.5,28,32,0.2753106169353062,0.03714712918664,520.0
國美山翫水,台北市北投區三合街一段82巷119號,64.3,4,27,1.1210828125743166,0.4215619536232838,475.0
奇岩雅築,台北市北投區崇仁路一段42號,46.4,18,25,1.3804112153600734,0.4433299654665234,397.0
仰德大廈,台北市北投區中央北路一段180巷182號,54.4,41,26,0.5171786395149258,0.1389920860959211,484.0
水印,台北市北投區奇岩路232號,38.4,21,27,1.2933268790433614,0.2370236283905685,338.0
