建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
信義W會館,台北市南港區成福路194巷8號,75.9,9,8,0.6629904255294164,0.274137690485191,508.0
中研苑AB棟,台北市南港區研究院路二段2巷12弄5號,44.6,14,8,3.442924358515326,0.4261953476413831,386.0
南港龍華,台北市南港區同德路85巷2號,68.9,38,6,0.0626741345059947,0.1576430014163918,746.0
香朵,台北市南港區松河街762號,67.0,13,6,2.217024507230918,0.4274440365821679,535.0
東方爵士大廈,台北市南港區成福路178巷2號,49.2,27,8,0.5540681219577993,0.3259479593831089,577.0
忠孝龍華,台北市南港區同德路85巷12號,65.6,38,5,0.075372034152279,0.1583012405725711,747.0
湯泉一號,台北市南港區研究院路三段7號,53.4,12,10,4.678311927360624,0.5095340826216744,135.0
芬第LIFE,台北市南港區向陽路258巷100號,13.1,14,5,1.5063051977204631,0.579071174914884,217.0
雅曼尼CASA,台北市南港區重陽路125巷26號,80.1,16,6,1.6540983182663829,0.4776549667142917,304.0
晶鑽凱悅二期,台北市南港區重陽路125巷36弄30號,64.6,15,7,1.5869591623390555,0.4510538656163588,271.0
住安中研,台北市南港區舊莊街一段265號,53.7,5,11,4.931058551999613,0.5006644588708894,109.0
中研新村C區,台北市南港區研究院路二段70巷37弄10號,42.7,39,9,2.784293908903193,0.5352846122579888,245.0
世貿旺角,台北市南港區興東街7號,82.0,27,4,2.708273830901162,0.2963909015314181,490.0
忠孝東路六段華廈,台北市南港區忠孝東路六段9巷2號,57.3,38,5,0.3668086220600576,0.3556772655497565,828.0
東方文華,台北市南港區興華路66號,99.8,18,2,2.217352266960896,0.1655506929662487,365.0
慾望城市西城區,台北市南港區向陽路258巷25號,79.7,15,6,1.479215056457073,0.5252058911328565,223.0
廣哲,台北市南港區向陽路162巷103號,84.0,9,6,1.6064554921307368,0.4561288517456779,302.0
鉑金苑,台北市南港區經貿二路235巷20號,96.1,8,6,2.4994268758249945,0.5790363667422631,492.0
南港逸品,台北市南港區南港路二段282號,67.0,2,3,1.342187106577037,0.1880740108563222,270.0
天開圖畫,台北市南港區東新街170巷41號,85.8,8,9,0.8036829967008381,0.4509464595737369,276.0
忠孝名宮,台北市南港區中南街142號,71.3,25,5,3.16313533855538,0.436647689230759,462.0
河岸慕上,台北市南港區松河街398號,44.2,8,5,0.9903717704234268,0.5434911973310848,279.0
松漢雍容,台北市南港區重陽路125巷36弄16號,80.9,9,6,1.6255379279279791,0.5052587799930379,283.0
龍華新城,台北市南港區忠孝東路六段142號,73.3,30,6,0.1800917227317234,0.1733665497024905,713.0
風雅,台北市南港區經貿二路157巷36弄88號,81.1,14,7,2.476265131955261,0.6105038357005359,502.0
研究硯,台北市南港區研究院路二段12巷57弄2號之1,60.0,7,8,2.784289718158835,0.5207336138964987,379.0
筑夢easy,台北市南港區舊莊街一段267號,46.7,4,11,4.9366737981911655,0.5054637365140094,107.0
登富世家大廈,台北市南港區南深路15號,49.7,12,10,4.695344430878609,0.2477574162417238,135.0
誠美謙謙,台北市南港區成福路51號之1,133.6,6,7,0.3035394755546994,0.152096209660118,676.0
晶鑽凱悅一期,台北市南港區重陽路125巷36弄12號,70.3,15,6,1.628703896317278,0.4929141564775574,279.0
經貿BOSS,台北市南港區重陽路487號,52.8,14,5,2.25334827528255,0.3582790747983871,533.0
華麗圓舞曲,台北市南港區重陽路61號,82.6,11,5,1.5124598406914902,0.356393994284423,296.0
都泊林A區,台北市南港區東新街180巷1號,58.2,22,5,0.7525021385387463,0.4105382618513121,262.0
法國春天大廈,台北市南港區中坡北路60巷28號,71.4,25,4,0.4473557746874749,0.3232358746531619,826.0
花悅四季,台北市南港區重陽路57巷61號,60.6,16,6,1.5686197182145605,0.4870749777572919,227.0
璞園向陽,台北市南港區向陽路196巷21號,68.7,11,6,1.4142651092746237,0.3603910674258181,218.0
經貿Party,台北市南港區重陽路551號,83.1,15,6,2.336464642286284,0.5011662172536908,493.0
俬房綠,台北市南港區福山街5號,55.6,7,8,3.720948486455389,0.3597506736649345,254.0
京石隱,台北市南港區經貿二路157巷36弄76號,76.8,9,6,2.5164552806791534,0.5970149892994877,488.0
向陽傑作大廈,台北市南港區向陽路196巷30號,78.6,14,6,1.4772936216189625,0.3682984654695999,214.0
如陽Living,台北市南港區重陽路125巷36弄46號,68.9,12,6,1.554244318939616,0.4337033129203689,230.0
南港遠東ABC智慧科學園區,台北市南港區南港路三段48號,37.0,33,6,1.0626934656990832,0.2918690394254357,241.0
國泰忠孝華廈,台北市南港區玉成街140巷11弄2號,68.3,41,6,0.3966103258271692,0.2012806717878719,857.0
世貿橘園大廈,台北市南港區重陽路57巷51號,76.8,16,6,1.5807860371591804,0.460238260174975,232.0
三陽忠孝明園,台北市南港區中坡南路3號,77.3,34,5,0.4781528790472891,0.205687987395462,882.0
御創中研,台北市南港區研究院路二段12巷19號,50.6,14,7,3.478201902130448,0.4167865144595755,371.0
忠孝名邸,台北市南港區忠孝東路六段178號,51.4,22,6,0.2065181833335964,0.1514847156600292,645.0
松石苑,台北市南港區研究院路二段12巷30號,44.2,13,7,3.481978642816861,0.4471131960009767,360.0
陽光水岸大廈,台北市南港區向陽路258巷106號,52.4,12,5,1.5404372379065416,0.5713084263468676,244.0
蘋果廣場,台北市南港區中坡北路92號,82.7,26,3,0.564717859245787,0.1755734325665136,780.0
上哲,台北市南港區研究院路二段12巷5號,55.0,15,7,3.513968230688416,0.3968273980486189,359.0
卡地雅,台北市南港區重陽路39巷47號,66.5,15,6,1.4391675262251753,0.3416777758149075,211.0
慾望城市蘇活區大廈,台北市南港區重陽路57巷88號,63.8,15,6,1.446423229484685,0.577882893432044,191.0
一品中研,台北市南港區舊莊街一段3巷12弄1號,49.8,15,9,4.179004276656347,0.0784506085958529,188.0
巴黎富邑大廈,台北市南港區向陽路258巷67號,78.5,15,6,1.476371913595257,0.5425311704654256,202.0
左岸庭苑,台北市南港區重陽路376號,81.0,18,4,2.220357495992838,0.1312661670112779,479.0
東方水美,台北市南港區興南街60巷1號,62.0,12,4,1.9971298830181183,0.1254696919841365,285.0
左岸巴黎,台北市南港區重陽路503號,77.2,17,6,2.2742176339396925,0.480069449738474,541.0
YES新世貿,台北市南港區經貿一路57號,79.7,13,6,3.0629234800865364,0.5340851699682833,307.0
世紀廣場特區,台北市南港區重陽路218號,51.6,16,4,1.8806160765421087,0.2005731269583136,289.0
慾望城市上東區,台北市南港區重陽路57巷33號,60.4,15,6,1.5373389768850787,0.4033411742765349,253.0
樂鑽,台北市南港區成福路204號,88.0,17,8,0.7044311909680517,0.2965344793073737,451.0
胡適風華,台北市南港區舊莊街一段3巷24號,44.5,17,9,4.159810165313254,0.0670851965680982,188.0
成德公教住宅,台北市南港區東新街63巷1號,53.9,23,5,0.1174335584238056,0.0813185655805985,690.0
中研新村B區,台北市南港區研究院路二段70巷47弄36號,55.0,39,8,2.664921545171196,0.6531796090008464,287.0
六邑欣象,台北市南港區重陽路125巷16號,55.8,16,5,1.6352246371262478,0.423169632076073,313.0
華園,台北市南港區重陽路57巷46號,58.3,16,6,1.5203554976728162,0.3968441351531517,231.0
大智雲集,台北市南港區向陽路162巷28號,74.9,19,6,1.3535946410299762,0.2329766297230509,214.0
王基靜園,台北市南港區研究院路一段49號,74.1,13,4,3.168038127673679,0.2506472806054568,407.0
園墅,台北市南港區港東街98號,82.7,16,6,3.339463164881109,0.3902035754081848,287.0
極緻DECO,台北市南港區東明街108巷12號,47.9,16,4,1.7054109669238635,0.243617534511045,323.0
富邦東新名廈,台北市南港區東新街64巷11號,48.2,34,5,0.0916645435486891,0.1485465593112652,767.0
成功富邑大樓,台北市南港區向陽路162巷1號,59.4,15,6,1.322472535555702,0.2407158133505943,219.0
