建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
長虹天母,台北市士林區忠義街151號,67.3,16,22,0.4087697928193901,0.2271058032781673,580.0
陽明一會,台北市士林區菁山路106號,61.8,6,36,3.9093269880872175,1.1642682875501664,58.0
天鈺,台北市士林區天玉街16巷3號,91.6,6,25,0.7317383681472973,0.1374965901009817,515.0
士林新鑽,台北市士林區文林路766號,55.8,31,23,0.8054899354551971,0.2462317570931357,731.0
鑽石大樓,台北市士林區福國路95號,69.4,45,19,0.6013248017766871,0.2462875888766577,1026.0
陽明帝景,台北市士林區菁山路49號,44.7,13,35,3.644429581245893,0.9372325060444824,122.0
小貴馥大廈,台北市士林區福德路31巷11號,99.3,11,19,0.4912460923953471,0.2609940658295506,1353.0
蘭雅新城,台北市士林區忠誠路一段171巷10弄10號,87.1,30,21,0.1782658260093707,0.1901293268352707,748.0
士林官邸,台北市士林區福林路100巷11弄51號,86.4,14,17,1.038600278043832,0.2661962020843598,668.0
天母華琪大廈忠孝座,台北市士林區天母東路8巷21號,66.0,46,25,0.8999753210494766,0.3268102845301287,606.0
富春居,台北市士林區中山北路七段219巷8號,57.2,33,27,1.475112838603693,0.993851845147456,141.0
中銀山莊B區,台北市士林區中山北路七段213號之4,59.4,38,26,1.43424010571348,0.9131694920643976,249.0
龍邸大廈,台北市士林區中山北路七段60號,41.4,38,25,0.9982856451519152,0.4362718537716634,474.0
IF HOUSE,台北市士林區後街21巷19號,66.9,8,18,0.527452491282214,0.3633557260564893,1195.0
仰德大道華廈,台北市士林區格致路20巷31號,44.7,26,34,3.3305014040084253,0.667652952882926,146.0
麗池凡登,台北市士林區社子街86號,48.1,14,16,1.405923896355259,0.4148285029133868,190.0
天母光點,台北市士林區士東路280號,78.4,14,25,1.0377716510054256,0.2934777775388156,371.0
聯上聽瀑,台北市士林區天母西路89號,85.0,10,24,0.7245606664582245,0.2213858657956319,568.0
新第來亨第一大廈,台北市士林區天母東路4號,78.1,38,23,0.8465303555167716,0.3000377031166948,564.0
