建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
台北龍城,台北市大同區民族西路225巷3弄1號,56.2,33,11,0.4191048007598004,0.3199714451531966,557.0
時尚ipod,台北市大同區保安街72巷9號,76.1,14,9,0.5749694570842532,0.312279776359134,1415.0
重慶1DK大樓,台北市大同區保安街78巷16號,57.6,27,8,0.6062802878205411,0.3323553107145945,1405.0
圓山新貴族大樓,台北市大同區承德路三段297號之1,73.0,16,12,1.265124818388237,0.1342037931427398,520.0
圓山花賞,台北市大同區敦煌路24巷6號,71.5,4,11,1.134602497547751,0.0998920429052288,510.0
頂客雅築,台北市大同區歸綏街97巷8號,53.9,27,7,0.4043145801350265,0.1201612388620335,1866.0
長安一品大樓,台北市大同區長安西路117號,50.4,27,3,0.661584713938267,0.2736150391912232,2634.0
御品華廈,台北市大同區重慶北路三段236巷5弄2號,57.3,3,11,0.5528167920878756,0.3834600155222101,520.0
延平臻品大廈,台北市大同區延平北路一段66巷16號,60.1,9,3,0.2013538981359376,0.3201600574676975,2368.0
台北之星大樓,台北市大同區延平北路二段67號,49.5,27,8,0.5406134653322289,0.4465191906450099,1469.0
富鼎天下大樓,台北市大同區環河北路二段109號,31.2,31,12,0.4911105548654891,0.3355113305757767,682.0
心藝埕大廈,台北市大同區延平北路四段97號,54.2,8,11,0.6452684926806908,0.523048995487747,491.0
旺族,台北市大同區民族西路225巷13號,64.5,17,11,0.4847982712828931,0.3875481308768718,527.0
圓山新主流,台北市大同區承德路三段247巷12號,86.8,14,11,0.8003989444612151,0.3268657120066554,676.0
捷運BLOG,台北市大同區延平北路二段247巷21號,73.8,15,8,0.2615455070509096,0.1576088383722135,1196.0
圓山町,台北市大同區民族西路76巷25號,77.9,8,8,0.4572876746508439,0.2062721055869949,943.0
大華理想家C區,台北市大同區大龍街159巷18弄14號,30.3,28,9,0.3325538902048695,0.1942138797072613,928.0
三境翠亨,台北市大同區大龍街32號,62.9,5,8,0.1667600981547488,0.068312921116593,1341.0
金麗翠隄大樓,台北市大同區環河北路一段451號,52.2,11,10,0.6029729188044745,0.2807095237859221,866.0
喜來福花園廣場華廈,台北市大同區環河北路一段103號,37.3,45,6,0.0586924319807469,0.2416129446655444,1092.0
玉暉,台北市大同區歸綏街181號,53.0,43,7,0.563944945435449,0.2416619153112252,1613.0
傳家堡,台北市大同區重慶北路三段98號,43.4,27,9,0.1202998955367776,0.1077818339600394,783.0
敦美苑,台北市大同區酒泉街10巷27號,68.9,11,10,0.7268031485876746,0.2926074444715966,749.0
鼎高,台北市大同區延平北路一段101號,66.2,7,4,0.2920966988087162,0.3997236285979971,2285.0
圓山藏美,台北市大同區承德路三段178號,57.6,14,8,0.5784007239039962,0.1582411200758253,820.0
麟居,台北市大同區歸綏街142號,74.2,10,7,0.5221977447407047,0.1075539125798703,1772.0
靜修雅築,台北市大同區寧夏路61號,47.4,31,6,0.5039770549702032,0.0392232679564681,1885.0
旺族二期,台北市大同區民族西路225巷6號,56.9,15,11,0.419184919921668,0.3102774608244738,547.0
長安大宅,台北市大同區長安西路235號,38.5,22,4,0.2530323247750475,0.3625141971459791,2265.0
常殷龍邸,台北市大同區大龍街188號,61.2,17,9,0.4043976552389784,0.09497770043611,752.0
華亭樹,台北市大同區華亭街38號,63.7,10,6,0.4625162381873071,0.3543562806719186,2126.0
雙連雅舍,台北市大同區承德路二段129巷26號,67.7,13,5,1.1751165230635952,0.287289149769986,2188.0
京畿畝,台北市大同區赤峰街25號,79.6,11,7,1.054565798908034,0.214436302938903,2391.0
雙星四季大廈,台北市大同區重慶北路三段205巷9號,49.7,14,12,0.4898559074374008,0.23883377383602,589.0
大同世界A區,台北市大同區民權西路144巷19弄1號,55.1,37,7,0.1187519669929061,0.1008842395752993,1625.0
臺北市大同華廈,台北市大同區民族西路80號,57.1,39,8,0.4746590949110729,0.1416533666881277,877.0
永樂第,台北市大同區安西街92號,62.7,16,10,0.6357427532423124,0.1410172677344389,933.0
圓山明倫,台北市大同區哈密街70巷1弄23號,60.2,13,11,0.9060444915965078,0.1603209713534311,529.0
富園華廈,台北市大同區承德路三段159巷20號,35.6,25,11,0.6044999638409757,0.2580630605422699,949.0
長安富御,台北市大同區長安西路64號,59.7,28,3,0.9023317328309473,0.1912742513030228,2581.0
中山M1,台北市大同區南京西路18巷6號,117.2,11,5,0.8075721690446993,0.1293015546580373,2542.0
峇里大廈,台北市大同區民族西路283號,57.2,15,12,0.4983460715421571,0.3438473283821499,560.0
萬事亨通大樓,台北市大同區重慶北路三段373號,58.9,26,12,1.1015490364772638,0.1815716925569054,408.0
將捷禮居,台北市大同區承德路三段177巷10號,56.6,20,12,0.6341089675178898,0.237387231713708,834.0
青庭,台北市大同區重慶北路三段312巷18號,49.2,20,12,0.9197918941917976,0.0863451284198813,377.0
親水硯,台北市大同區環河北路一段313號,47.4,13,11,0.763881192382953,0.3011112184962523,879.0
美源,台北市大同區哈密街23巷25號,56.1,35,11,1.0615357287454044,0.1268110712764036,479.0
巴黎之星,台北市大同區環河北路二段205巷2號,59.3,12,13,0.5985046776817694,0.4397626286902012,547.0
阿利阿多雙連,台北市大同區南京西路25巷38號,48.2,16,7,0.293926965243337,0.413535972906091,2131.0
延平北路三段46號華廈,台北市大同區延平北路三段42號,46.2,40,10,0.314105552992623,0.1315410806849509,744.0
美妍苑,台北市大同區重慶北路三段120巷71號,58.3,12,11,0.2895196419160291,0.131665321654833,632.0
寧夏向日葵大廈,台北市大同區重慶北路二段97巷30號,61.8,13,7,0.8276684072755853,0.1495601206300594,1989.0
迪化世家大樓,台北市大同區延平北路二段124號,57.7,24,7,0.6325740719731874,0.4136183781695986,1296.0
美麗衣蝶,台北市大同區赤峰街3巷13號,85.4,16,6,1.0763703611186497,0.167251461951271,2413.0
昌吉福星,台北市大同區伊寧街75巷31號,41.5,22,11,0.3458145230556435,0.2141682774221338,699.0
京都良品大樓,台北市大同區太原路163號,76.6,18,5,0.89786251435616,0.0483215623182219,2289.0
南京西路18巷22號華廈,台北市大同區南京西路18巷22號,61.7,16,4,1.0154490926384736,0.146540123983646,2562.0
富揚天下,台北市大同區迪化街一段267號,45.8,30,11,0.6649531800175049,0.1729418656482841,899.0
英格麗居,台北市大同區重慶北路三段223巷1弄6號,54.7,20,13,0.5529519451432731,0.2663365376947391,558.0
峰閣,台北市大同區赤峰街71巷5號,72.8,18,6,0.343230644074554,0.3620535689348054,2176.0
大龍雅築,台北市大同區哈密街59巷56弄40號,61.2,16,12,1.0613777553522905,0.2120384735155956,418.0
華鎮茗苑,台北市大同區重慶北路三段243巷42號,58.9,16,12,0.6161902750824211,0.2347942180104049,566.0
企業都心大樓,台北市大同區寧夏路155號,47.5,32,7,0.2119425785926533,0.2443150218759443,1455.0
富生大廈,台北市大同區民生西路280號,47.0,36,6,0.7172332623926614,0.2745741091410618,1661.0
富林敦煌大廈,台北市大同區敦煌路80巷6號,54.7,23,11,1.068934685774628,0.1261866336864026,469.0
旺族三期,台北市大同區民族西路225巷22號,60.3,15,11,0.4396826396270977,0.3315071252443076,541.0
富貴重慶,台北市大同區重慶北路二段97巷18號,49.1,23,7,0.8045835067352678,0.1676287758118534,1945.0
將象,台北市大同區太原路79巷2號,48.3,28,3,0.6581814810298758,0.2773086964355022,2600.0
