建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
潤泰安和生活館,台北市大安區安和路二段81號,91.8,26,15,0.7402759544410391,0.047774457092913,1518.0
敦南好好,台北市大安區樂業街72巷20號,104.3,1,15,0.9419959040204025,0.1827816948413498,1051.0
愛因斯坦大廈,台北市大安區和平東路二段76巷23弄6號,91.8,32,15,0.878856768472377,0.1669409860649152,1342.0
華豐台大庭園,台北市大安區羅斯福路四段119巷22號,62.0,36,15,0.7952073558407572,0.1355543854378751,1211.0
敦南177,台北市大安區敦化南路一段177巷26號,128.0,9,12,0.3212232409697901,0.1403285296047418,1706.0
遠砌CASA,台北市大安區安和路二段181巷10號,96.9,14,16,1.1006685704120331,0.3204820387537253,1513.0
世界敦南大廈,台北市大安區四維路170巷30號,104.5,14,16,1.0171672656684472,0.1518123382211246,1602.0
RICH麗池,台北市大安區和平東路一段50巷1弄10號,113.6,15,11,1.47888978432165,0.2732795816421002,1512.0
成功國宅南區,台北市大安區和平東路二段311巷52號,73.1,39,16,1.152336625968175,0.3443186506689062,1322.0
璽朵瑞安,台北市大安區瑞安街208巷39號,112.8,8,15,0.9459193831927348,0.1642915257383546,1345.0
坡心市場商業大樓,台北市大安區臨江街97號,32.7,23,15,0.680192280135834,0.2779103468686789,1330.0
晶采大樓,台北市大安區大安路一段16巷13號,119.7,23,11,0.3034155810150218,0.3896035853512735,1802.0
聖羅蘭別墅,台北市大安區仁愛路四段300巷12號,95.1,39,14,0.031948401302229,0.220118612455207,1683.0
逸仙時上,台北市大安區仁愛路四段408巷21號,120.2,14,12,0.2452292927342108,0.0823678737034483,1677.0
水木青華,台北市大安區信義路二段198巷18號,102.5,10,11,1.2844821427226905,0.0814666951146788,1315.0
瑞安新城,台北市大安區瑞安街222巷10號,83.4,24,15,1.3823740975212002,0.2426854563854496,1317.0
國泰仁愛大廈忠區,台北市大安區仁愛路四段300巷20弄10號,83.8,42,13,0.0736803438862011,0.1897625295801837,1701.0
敦品大廈,台北市大安區溫州街22號,84.5,40,13,0.8899344127568882,0.1619298373477768,1868.0
太平洋華園別墅一期,台北市大安區仁愛路四段345巷2弄1號,100.7,50,12,0.1867368080669133,0.3398422892376718,1715.0
大安BINGO,台北市大安區潮州街84號,136.9,14,9,1.2631856520260567,0.3295730129276702,1601.0
忠孝BR5,台北市大安區仁愛路三段143巷38號,113.0,10,14,0.4118143737897684,0.1827300104940585,1629.0
中國庭園,台北市大安區信義路四段265巷5弄10號,92.6,39,13,0.2991833371923129,0.3423944657768805,1534.0
雅典花園別墅大廈,台北市大安區延吉街116號,85.5,38,11,0.362642358460329,0.2409376263880168,1714.0
大安新生,台北市大安區信義路二段228巷7號,133.1,14,11,1.2944827911361427,0.2336216275325989,1269.0
附中境,台北市大安區信義路三段147巷17弄17號,136.1,2,14,0.3414189487545909,0.2294422785420061,1398.0
麗園大廈,台北市大安區延吉街232號,78.9,41,13,0.081524048072771,0.1085401407448641,1644.0
真鑽新第大廈,台北市大安區忠孝東路四段205巷38號,125.7,18,11,0.5029888505505967,0.3188577998252496,1701.0
夏朵大廈,台北市大安區復興南路二段78巷78號,131.1,15,14,0.8141365717192792,0.2200045041277452,1250.0
台大文豪大廈,台北市大安區泰順街45號,87.6,15,13,0.7152013461679069,0.0632866775305664,1771.0
忠孝麗園,台北市大安區光復南路260巷46號,87.1,41,11,0.3338315028590383,0.2869090116049857,1711.0
