建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
國賓伊頓,台北市文山區政大一街239號,63.0,8,23,0.8710794637481284,0.1333925097732473,187.0
台企興隆大廈,台北市文山區辛亥路五段93號之1,46.8,39,22,0.6119315757843069,0.2397618134469351,997.0
敦南包廂,台北市文山區福興路98號,58.0,27,25,1.1142687432046563,0.1211545461840866,746.0
柚田,台北市文山區興隆路四段145巷83弄10號,53.7,24,23,1.2768657507369652,0.2008336814184718,524.0
典藏家大廈,台北市文山區忠順街一段48巷5弄10號,61.0,25,25,1.6670187693846543,0.3089584016832655,564.0
政大威秀,台北市文山區指南路三段26號,61.5,15,23,0.5912772146432318,0.1489224308139237,213.0
萬芳春堤,台北市文山區萬芳路3號,53.5,23,20,0.9343954965082724,0.2899890734342517,305.0
史丹佛,台北市文山區政大二街260巷21號,50.5,12,25,1.0291744237504772,0.1631908425987935,138.0
政大庭園,台北市文山區政大二街171巷40號,43.2,20,24,0.9790991765495092,0.2096427529653919,157.0
清新美景,台北市文山區富山路16號,57.1,14,24,1.2695660622407077,0.1380290070982964,518.0
川露大廈,台北市文山區久康街24巷1號,51.3,13,20,1.1366605426180842,0.2776449459868752,477.0
蘭亭怡園,台北市文山區忠順街二段54號,40.0,38,23,1.2636677167733108,0.3012707655627251,519.0
再興名門,台北市文山區興隆路三段255巷25號,42.9,29,23,0.8015300639646046,0.4038921538950616,466.0
藏月,台北市文山區久康街110巷2弄11號,48.4,11,19,0.8830252902837199,0.1845664702844565,471.0
水色華爾滋,台北市文山區木新路三段45巷7弄1號,46.0,27,23,1.3651858903513567,0.3571270455406107,505.0
御英園,台北市文山區育英街11號,63.0,13,22,0.0969714528000605,0.1337368041474535,1430.0
太平洋敦南大地Ａ區,台北市文山區福興路95巷21號,56.8,22,22,1.1693956057265436,0.1406154528773814,955.0
夢幻幾何大廈,台北市文山區興隆路二段301巷18號,54.9,28,25,0.5477264576474534,0.2159720581633446,674.0
師大麗園,台北市文山區汀州路四段1號,73.1,19,16,0.8867460085797139,0.2268454345322227,1255.0
敦南莊子,台北市文山區木柵路二段109巷100弄1號,50.5,29,22,1.0602925066917113,0.4414796517699428,433.0
靜心雅舍,台北市文山區仙岩路16巷52號,49.8,29,25,0.8829252307222399,0.1916754963869535,1408.0
政大和墅,台北市文山區政大一街101號,61.7,16,22,0.6218943805271875,0.2518586685865031,197.0
太翔書鄉,台北市文山區木新路三段232巷45弄2號,52.6,27,26,1.9037655959076256,0.0956219920003557,547.0
化南新廈丁區,台北市文山區新光路一段65巷8號,47.6,29,19,0.3692532920895956,0.2178793919504149,322.0
翠綠園,台北市文山區政大一街45巷1號,38.8,22,22,0.4551942416620951,0.1014940237787401,221.0
萬世興隆,台北市文山區興隆路一段53號,48.5,25,18,1.2274070786866278,0.0649185056784997,1177.0
公園捷靚,台北市文山區下崙路28巷1號,56.3,6,23,1.5431315527916452,0.2080121355746514,564.0
豐華天藍,台北市文山區和平東路四段88巷7號,43.5,25,19,1.0734112262746005,0.4243171029892781,83.0
尚青苑,台北市文山區木柵路一段238巷15弄11號,49.9,8,23,1.4368875128392813,0.1993081547931285,533.0
萬芳國宅/萬芳社區N.O棟,台北市文山區萬安街16巷2號,48.2,39,19,1.1740821455673711,0.2296612266609468,100.0
醉夢溪畔公寓大樓,台北市文山區樟新街61號,53.7,32,25,1.9132856458819616,0.3201495660173279,290.0
九鼎甲第,台北市文山區忠順街二段90巷9號,45.6,29,23,1.2265207450874207,0.270403496233391,501.0
台大六藝,台北市文山區萬盛街142號,47.6,10,18,1.0340719337254665,0.2521269504658344,1154.0
梵谷華廈,台北市文山區樟新街5巷10號,52.9,29,26,1.8002133619772716,0.1468603065735407,403.0
長堤二重奏,台北市文山區樟新街15巷11號,32.7,26,25,1.841765348733842,0.1441084778011959,366.0
公園海A區,台北市文山區下崙路11巷17號,48.0,6,24,1.5937893219440948,0.3649872849006023,610.0
i-Park 4米2,台北市文山區秀明路一段210號,65.0,15,19,0.9037303940375307,0.2024059985306455,422.0
環遊市,台北市文山區辛亥路四段132號,68.4,13,21,0.5147851549041458,0.3498325827366385,550.0
政大大師,台北市文山區政大二街260巷11號,42.0,9,25,1.0259793676251072,0.1604047793385852,138.0
寬御大廈,台北市文山區木新路二段211巷10弄1號,47.3,13,22,1.001432242155163,0.2714364061038277,483.0
景華名人B,台北市文山區景華街13巷2號,50.8,40,21,0.5038756011624628,0.0401038036846316,1737.0
景美樹,台北市文山區景福街128號,72.7,11,19,0.6223316292786174,0.32741028126425,1445.0
試院若隱,台北市文山區試院路66號,54.3,5,27,0.993015692171306,0.1398684886113183,1152.0
