建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
敦化名門A區,台北市松山區八德路三段12巷57弄39號,81.3,37,11,0.5272277070243138,0.3285942632026323,1720.0
華南花園別墅菊棟,台北市松山區延吉街46巷10號,70.2,45,11,0.4600924552448796,0.3161484608827736,1640.0
延壽國宅G區,台北市松山區三民路72號,81.8,31,9,0.6702257324914362,0.1735125007288373,794.0
華南花園別墅B區,台北市松山區延吉街46巷號,73.0,45,11,0.4559721781092815,0.3285012369168671,1637.0
南京慶福,台北市松山區南京東路五段328號,68.3,18,5,1.109491095033017,0.4383736830616128,786.0
敦化環球名廈,台北市松山區敦化北路222巷12號,76.9,40,16,0.3525190801312856,0.3165715975404088,1099.0
敦化香榭Ａ棟,台北市松山區南京東路三段335巷21號,84.2,37,15,0.2938888864142223,0.3231123895214985,1632.0
筑丰築,台北市松山區民生東路五段27號,106.7,5,13,0.4908658828440123,0.1948688304021361,772.0
華南花園別墅C區,台北市松山區延吉街30巷1號,75.3,45,10,0.4612718205349084,0.286593428738339,1629.0
光明大廈,台北市松山區八德路三段158巷8弄26號,93.9,38,11,0.4180322150962102,0.1914904758224406,1524.0
濱河皇家,台北市松山區八德路四段797號,79.7,23,2,0.9199737398004678,0.0352019319646611,617.0
延吉富軒,台北市松山區延吉街40號,71.7,14,10,0.4421069229677757,0.2951288347944881,1606.0
敦化香榭B棟,台北市松山區南京東路三段303巷14弄6號,84.9,37,15,0.3335269129267377,0.2828259399109437,1649.0
民生漾,台北市松山區三民路38號,92.1,13,8,0.6477972868203224,0.1274507764491779,867.0
敦化賓士大廈,台北市松山區民生東路639巷25弄10號,79.3,41,10,0.0177829194415217,0.2072305796027537,672.0
映虹園,台北市松山區民族東路733號,66.2,39,15,0.768102072549887,0.4353912596924685,562.0
民生鑽石華廈,台北市松山區民生東路五段218號,78.1,41,8,0.0332618613600432,0.1727795360521003,521.0
敦北米蘭華廈,台北市松山區民生東路四段75巷5弄5號,104.4,14,14,0.3854468628564731,0.0842171173785028,952.0
深白大樓,台北市松山區敦化南路一段100巷7弄10號,109.7,8,11,0.2290057478764524,0.3638005936339795,1946.0
京璽,台北市松山區光復北路120巷2號,64.8,13,10,0.1020641594152132,0.2335702686457898,1199.0
晶鑽新第大廈,台北市松山區八德路四段312號,107.3,18,4,0.9840473658567528,0.3041286892632046,998.0
