建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
亞曼尼大樓,台北市萬華區昆明街46號,56.3,35,7,0.2467951285431502,0.3316240867452005,1602.0
錦繡大廈,台北市萬華區武昌街二段124號之2,41.7,49,7,0.1376443222580823,0.2327842299533654,1396.0
金星大廈,台北市萬華區西昌街號,40.3,42,9,0.2856658936654404,0.3627834442699442,1326.0
賢昌大樓,台北市萬華區武昌街二段130號,48.1,44,7,0.2307076165132649,0.2745415335698055,1229.0
西園世家,台北市萬華區寶興街65巷16號,53.7,7,13,0.0966665474313683,0.2448476467196076,626.0
貴仁大廈,台北市萬華區貴陽街二段237號,33.0,38,9,0.3582881486174123,0.1987709688438629,1015.0
孔明大廈,台北市萬華區漢中街23號,51.6,29,5,0.3253128752527312,0.2086397630315463,2022.0
仁暉雅筑,台北市萬華區寶興街68巷29號,53.9,3,10,0.2174225061159838,0.2458741199348711,497.0
河合大樓,台北市萬華區漢口街二段56號,49.7,42,6,0.1893373225811609,0.3542411314484229,1598.0
台北傳奇,台北市萬華區西昌街47號,33.1,27,7,0.1817035943870352,0.3000525499679112,1245.0
第一世家,台北市萬華區內江街101號,43.7,24,8,0.1082222149505663,0.2566210295943535,1370.0
幸林大廈,台北市萬華區內江街55巷1號,51.2,41,8,0.1690728988473517,0.1567709793713388,1736.0
首藏,台北市萬華區雅江街8號之2,51.1,11,8,0.267785768652765,0.2198183371133773,1225.0
民峰峰閣大樓,台北市萬華區萬大路486巷12號,54.0,15,14,1.3640449319453545,0.3050487852246744,357.0
玫瑰園,台北市萬華區西園路一段72巷2號,44.0,16,9,0.29938915844858,0.246007135666626,1176.0
昆庭華廈,台北市萬華區昆明街201巷15號,70.7,8,9,0.3370541270663609,0.2779536704174578,1696.0
梅園新城國宅,台北市萬華區萬大路277巷35號,53.9,39,13,0.7975468356774533,0.1411491221257921,739.0
財富首都大樓,台北市萬華區開封街二段32號,60.8,32,6,0.3924546577724579,0.1075724127153687,2127.0
欣聯東園綻,台北市萬華區東園街30號,63.2,3,13,0.16476520080184,0.1654360335446062,684.0
明華逸園大樓,台北市萬華區昆明街96巷8號,45.0,42,8,0.0533894210120396,0.2029572289690029,1536.0
東園富貴,台北市萬華區東園街73巷23號,55.9,22,14,0.3236756459317513,0.1228204564479321,712.0
老松富邑大廈,台北市萬華區康定路250巷1號,24.4,35,10,0.3389780719747534,0.1361997447847376,1322.0
壽園一城國宅,台北市萬華區中華路二段364巷1弄2號,60.8,32,11,0.726652245161119,0.1939870904556253,909.0
富悅,台北市萬華區西昌街55號,57.7,3,8,0.1782556972418909,0.3042014138219237,1254.0
龍門天下,台北市萬華區永福街40號,13.6,34,9,0.3689186533091372,0.2346097957731976,1666.0
捷運哈佛大廈,台北市萬華區萬大路90巷11號,71.6,13,11,0.753837001537366,0.1415020278964358,1039.0
萬運通華廈,台北市萬華區長泰街61號,56.5,11,14,0.9940895496800212,0.1080386089373881,600.0
東京SMART大樓,台北市萬華區大理街17號,57.5,13,10,0.4377295204798673,0.2541182742505016,1164.0
西門大廈,台北市萬華區內江街86號,46.8,37,9,0.0516166380571849,0.120522184311286,1636.0
鄉僑新廈,台北市萬華區萬大路277巷29號,57.8,5,13,0.8316120816874772,0.1788566735232792,740.0
雙園至尊堡大廈,台北市萬華區民和街80巷10號,16.2,23,14,0.4173419123273151,0.1032872029336929,692.0
西城故事大樓,台北市萬華區開封街二段36號,65.0,24,6,0.3807353828817777,0.1192431615571066,2099.0
萬美,台北市萬華區萬大路277巷14弄16號,57.8,14,13,0.89227487114274,0.1906578347536602,709.0
萬大國民住宅,台北市萬華區萬大路407號,49.3,23,13,1.0967790672812037,0.0513995141932186,499.0
西門來來,台北市萬華區開封街二段80號,55.5,42,6,0.297646972607791,0.4147279797817692,1421.0
新仕界大廈,台北市萬華區昆明街139號,28.1,36,9,0.1310384490379748,0.1783418706482728,1695.0
國家首馥,台北市萬華區萬大路90巷22號,55.9,13,12,0.7315649746920925,0.1138570883155293,1022.0
蓮華世家大廈,台北市萬華區興寧街9號,43.9,16,10,0.6119634190801642,0.3909624859946898,1077.0
東原苑,台北市萬華區民和街118號,52.6,8,14,0.3822526253867908,0.2010522820967953,636.0
大理國寶,台北市萬華區和平西路三段286巷1弄2號,55.1,13,12,0.3782073394170569,0.1231237368672502,678.0
萬大龍門大樓,台北市萬華區武成街80巷51弄2號,34.3,27,13,1.5668674558978246,0.4316979960660295,336.0
千里華廈,台北市萬華區大理街170巷10號,38.4,41,12,0.5723205661640206,0.2364176290329663,618.0
捷運樂活大樓,台北市萬華區大理街129號,60.2,7,12,0.2854762930971903,0.1926563314539758,869.0
龍山名門,台北市萬華區梧州街21號,40.2,28,10,0.1050420121321389,0.1521775551644585,856.0
崇福大廈,台北市萬華區華西街17號之4,34.6,40,9,0.24107126353574,0.1685517524176034,1030.0
華信華廈,台北市萬華區莒光路260號,50.7,23,12,0.6283637258087517,0.0954366906144396,1033.0
名門公寓,台北市萬華區寶興街140巷52號,41.0,19,11,0.4725789275396025,0.451205147288904,416.0
雙園學府,台北市萬華區東園街73巷37號,47.6,29,14,0.3412324837645192,0.0765273709620157,761.0
西園富邑,台北市萬華區西園路二段9號之1,51.8,16,10,0.5040987159724251,0.1653527612332121,962.0
台北爵士,台北市萬華區艋舺大道204號,54.2,37,10,0.4912467067449164,0.2248611006350541,1020.0
萬福大樓,台北市萬華區洛陽街9號,44.3,39,4,0.4104588502177578,0.0736788585502174,2259.0
錢櫃,台北市萬華區中華路一段114巷4號,50.4,35,10,0.3272644481432926,0.345143857354926,2010.0
狀元及第大樓,台北市萬華區昆明街316號,46.9,34,9,0.360050738079208,0.1456891277192395,1342.0
雲鼎華廈,台北市萬華區大理街108號,59.0,10,11,0.2991931728707734,0.2339343263871182,910.0
升龍萬大華廈,台北市萬華區莒光路251號,30.5,40,10,0.6926275056373918,0.202919125287946,1082.0
文富商業,台北市萬華區梧州街37號,27.7,17,10,0.0510658508467293,0.2025517389937854,864.0
開屏萬國大廈,台北市萬華區武昌街二段50巷10號,62.2,41,10,0.2131242831678953,0.3338656696909335,1837.0
臺北市國安國民住宅,台北市萬華區西藏路125巷50號,46.4,27,12,0.7040850528069249,0.0691497542871995,803.0
南海里仁,台北市萬華區莒光路110號,58.2,15,10,0.542012302140452,0.2994050610111419,1059.0
信美大廈,台北市萬華區開封街二段30號,65.0,30,7,0.4063014267738079,0.0957415916700732,2158.0
和平大廈,台北市萬華區和平西路三段147號,51.3,39,12,0.1761090426545393,0.2684946651708817,946.0
西園逸品,台北市萬華區西園路一段34巷34號,37.4,17,9,0.3802867505177293,0.2981979195550936,1125.0
貴寧華廈,台北市萬華區西寧南路186號,49.4,40,7,0.3761689635896736,0.3396689330635358,1800.0
南海逸園大廈,台北市萬華區中華路二段116號,54.7,35,9,0.5702035771459526,0.2706051302791356,1040.0
金鑽商場住宅大廈,台北市萬華區東園街28巷50號,41.2,30,14,0.1546207361028431,0.2948978164072764,548.0
金湖大樓,台北市萬華區梧州街10號,32.1,38,10,0.1289571986092947,0.125500920016101,840.0
荷豐一品,台北市萬華區東園街136號,63.4,11,14,0.5489969999292319,0.0675336194975118,553.0
漢高築大廈,台北市萬華區漢口街二段75號,51.8,25,7,0.2081529077778745,0.3819996994344327,1540.0
柳州馨園,台北市萬華區柳州街38號,48.7,35,8,0.3814579472378417,0.2985052303124091,1748.0
金角大廈,台北市萬華區漢中街131號,73.1,34,8,0.3885196123389156,0.36583842674282,2000.0
北門大廈,台北市萬華區中華路一段18巷21號,53.8,41,4,0.4227260569465352,0.068959445481583,2212.0
長沙,台北市萬華區長沙街二段186號,35.6,41,8,0.3041965774234449,0.3865468847828353,1190.0
台北銀座大廈,台北市萬華區廣州街32號,32.4,31,8,0.2659782427030071,0.0612959509792572,1475.0
新廈大廈,台北市萬華區西昌街163號,33.7,35,9,0.370995921117299,0.2680430600683915,1311.0
忠月大廈,台北市萬華區和平西路三段57號之1,40.0,42,11,0.4550788482928588,0.2298522064346842,1193.0
華西,台北市萬華區華西街45號,36.3,41,10,0.0795896645953104,0.2184844194400068,984.0
萬歲大樓,台北市萬華區昆明街308號,47.5,38,9,0.3601149321410922,0.1405879300182579,1401.0
南海名園二期,台北市萬華區大埔街22巷14號,52.9,20,9,0.4590444624444259,0.3754956387233353,1062.0
上品大樓,台北市萬華區昆明街246號,42.0,37,8,0.2515120401871346,0.2801073730806835,1619.0
北之峰大廈,台北市萬華區漢口街二段104號,40.6,35,7,0.2258786293530496,0.4054228232300249,1348.0
仁德大樓,台北市萬華區昆明街211號,51.8,31,8,0.3279995673009928,0.221396429467691,1599.0
名家大廈,台北市萬華區貴陽街二段116號,42.0,39,9,0.2315624273036279,0.2779943142656368,1468.0
龍山一品大樓,台北市萬華區康定路258號,41.6,37,10,0.3508766067966785,0.1167106693224148,1327.0
