建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
香波堡,台北市內湖區瑞光路126號之6,76.0,15,11,1.2501608274077225,0.7515200354424029,495.0
湖山村,台北市內湖區康寧路三段75巷186弄10號,42.7,37,12,0.4673761053571673,0.3564579024053386,414.0
歐香別墅,台北市內湖區民權東路六段423巷9弄37號,68.0,24,12,0.5813427287422764,0.0793104530980168,320.0
湖綠歐清泉,台北市內湖區民權東路六段248巷26號,62.0,21,11,1.0770986379845269,0.7093377743193425,193.0
墅琴,台北市內湖區民權東路六段191巷62弄10號,60.0,16,11,0.5976585278869546,0.3321494123620964,163.0
康橋別墅,台北市內湖區瑞光路112巷58弄1號,63.3,24,12,1.2579318932193506,0.6775122814149842,437.0
嘉新尊皇,台北市內湖區瑞光路120巷1號,65.8,21,11,1.2018737369595898,0.6854902018150877,473.0
麗景山莊,台北市內湖區金湖路363巷67弄25號,55.8,24,12,0.7746731469963346,0.1217215987460538,272.0
童顏別墅,台北市內湖區瑞光路122巷112號,62.5,17,12,1.3260844034632269,0.7640966930373007,459.0
極光別墅,台北市內湖區民權東路六段180巷55弄1號,59.1,21,9,0.5093025394487438,0.4722981574221625,156.0
城隱,台北市內湖區民權東路六段123巷21弄13號,55.3,17,10,0.2153409141843243,0.3345964717406268,168.0
溫莎別墅,台北市內湖區民權東路六段123巷43弄10號,65.1,24,11,0.1488892234144245,0.2555473114784216,199.0
長虹四季,台北市內湖區民權東路六段191巷143號,55.5,19,11,0.6990148778126782,0.3956759850968185,191.0
湖濱,台北市內湖區大湖街131巷37號,41.9,34,17,1.1097482085515848,0.1635752928642071,402.0
上善若水,台北市內湖區金湖路401巷37號,62.3,16,13,0.6356023814895038,0.1087227397965858,310.0
御湖,台北市內湖區麗山街99號,61.9,20,15,1.6762812943862777,0.0815707498917507,650.0
春之森青松Ａ區,台北市內湖區民權東路六段190巷21弄10號,58.5,24,9,0.4599296324723751,0.3928973370604163,131.0
大杰一院香,台北市內湖區民權東路六段245巷50號,62.2,14,11,0.9023381891043276,0.5768276719416443,198.0
麗湖園,台北市內湖區金湖路363巷25弄10號,59.0,24,12,0.8093710160584955,0.0594257957764678,260.0
