建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
幸福人生大樓,基隆市七堵區明德二路15號之11,23.3,27,3,0.9966061390977348,0.2266593658811869,47.0
山水京站大樓,基隆市七堵區百六街9號,16.6,10,8,0.3774423738095424,0.2140416867803715,110.0
龍冠天下,基隆市七堵區永富路8號,20.9,27,5,0.1363784518345777,0.4358676980800645,66.0
大地遊龍,基隆市七堵區工東街20號,16.2,27,3,0.8237529803576323,0.3486348970004847,72.0
公園京站大樓,基隆市七堵區百二街6號,28.6,7,7,0.7967961291552795,0.1561620926368989,103.0
和嘉苑,基隆市七堵區東新街82號之11,21.3,4,2,0.5978003336850133,0.2523814072224036,66.0
松鼎苑,基隆市七堵區光明路3號,36.7,9,2,0.0580577377126637,0.3979725372143796,67.0
詠幸福,基隆市七堵區崇孝街42巷47號,26.2,6,5,0.5445110151363712,0.3439239890649266,66.0
萬隆青田,基隆市七堵區福二街292號,36.0,6,8,0.2292257266676347,0.3677738906425926,111.0
大河戀,基隆市七堵區實踐路250號,35.9,4,8,0.271684164879069,0.3506079547169184,109.0
椰林清境華廈,基隆市七堵區百六街107巷12號,23.1,18,8,0.1861084872833407,0.3360075084095805,110.0
一品琚,基隆市七堵區福五街26號,27.4,8,8,0.5735091291096803,0.0540505176540712,112.0
金石極品,基隆市七堵區明德一路235號,21.2,25,3,0.5245255121549114,0.330021740123513,70.0
六堵首席大廈,基隆市七堵區工建路70號,18.9,10,5,0.5814275165469992,0.672996361966231,86.0
皇家名邸,基隆市七堵區福二街328號,24.1,7,8,0.1499534314541791,0.4400538580947634,109.0
我家鄉村大廈,基隆市七堵區百七街66號,17.6,31,7,0.1373490061342884,0.3975903053315439,110.0
上品硯,基隆市七堵區明德二路15號之5,22.0,10,3,0.9966061390977348,0.2266593658811869,47.0
福邦麗園,基隆市七堵區福六街55號,26.9,10,6,0.5749415991246447,0.1050553707798995,112.0
崇信大樓,基隆市七堵區明德一路186號,23.8,27,3,0.2717883253443423,0.0699468289622828,68.0
金美滿,基隆市七堵區工建路126號,15.4,25,5,0.5960004938931325,0.7728281033779332,71.0
百順華廈,基隆市七堵區福六街135號,19.2,11,7,0.3419248081494704,0.2295791270704253,111.0
龍城豪景,基隆市七堵區福一街35號,25.6,29,6,0.7850487171057239,0.1433012766186665,103.0
東固公寓大樓,基隆市七堵區明德一路13號,18.7,27,3,0.0906106833062352,0.4083250218672299,67.0
市中星,基隆市七堵區明德一路81號,24.0,24,2,0.0430468594786241,0.2505668486396281,67.0
里山居,基隆市七堵區長安街233巷,19.9,6,10,1.3387006742477805,0.4657360192917948,74.0
