建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
山海觀,基隆市中正區觀海街137號,17.5,24,20,0.3254522372644391,0.4688816954592587,70.0
巴賽隆納,基隆市中正區新豐街472號,20.0,25,14,2.3972810125813817,0.6032233622186812,32.0
碧海擎天,基隆市中正區新豐街164號,19.9,26,15,2.72516241130406,0.4042824085200296,63.0
海洋大學世界,基隆市中正區新豐街312號,17.4,27,15,2.617484178706033,0.4968957539490415,35.0
海中天,基隆市中正區新豐街333巷10號,15.4,27,15,2.369234987417627,0.6094526246119876,31.0
六福晶華,基隆市中正區義一路122號,32.0,20,5,0.2654481945365228,0.3500006562659992,386.0
龍都新城,基隆市中正區新豐街303巷6弄10號,18.5,26,16,2.627374477623771,0.5997428512703786,34.0
新豐麗景,基隆市中正區新豐街161巷98號,21.0,6,19,0.5330956710415786,0.183162911229195,68.0
橙品99,基隆市中正區義一路99號,45.4,26,5,0.3255612144651133,0.3930731659252789,366.0
麗榮皇冠商業大樓,基隆市中正區信一路177號,26.5,22,4,0.243434272542336,0.0230629037415051,441.0
萬國大廈,基隆市中正區中正路102號,20.9,44,6,0.6444509091037075,0.2178316664812273,162.0
豐澋匯,基隆市中正區正榮街113號,23.9,2,10,0.3099010169264726,0.4583404353334215,36.0
海玉,基隆市中正區中正路335號,26.0,15,10,0.4095645800743114,0.2380565671086227,42.0
蔚來家,基隆市中正區豐稔街112號,19.9,7,10,0.766578243530618,0.7869134080595931,49.0
豐澤社區,基隆市中正區中正路315號,21.0,10,9,0.3344151077500712,0.1785746961109108,35.0
星海灣,基隆市中正區中正路331號,29.2,10,10,0.4030279801930408,0.2318037976061836,42.0
基隆市中正國宅,基隆市中正區中正路118號,10.1,37,6,0.7432893334740137,0.211712053350859,128.0
大宅風華,基隆市中正區信二路296號之1,31.7,18,5,0.1177958401240956,0.1000026185474103,448.0
永隆大廈,基隆市中正區中正路34號,23.4,46,5,0.0323133674042949,0.1727653611582479,426.0
