建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
光華國宅,基隆市仁愛區華一街10號,22.0,25,4,0.4161367034182645,0.2196551593799901,377.0
東方帝景大廈,基隆市仁愛區仁一路257號,39.4,15,7,0.2855880444940437,0.2169320479932101,341.0
世紀首席,基隆市仁愛區仁一路261號,40.2,13,7,0.2758664187261622,0.1693966340880334,361.0
成功華廈,基隆市仁愛區華二街11號,20.8,39,5,0.4830741455754838,0.1517470304985149,362.0
兆連國宅,基隆市仁愛區獅球路25巷2號,24.5,20,5,0.4269581682766505,0.0783463477030817,384.0
珍寶大樓,基隆市仁愛區愛一路42號,20.4,26,5,0.268750970617884,0.1655717315538453,445.0
吉祥企業大樓,基隆市仁愛區愛三路87號,21.3,40,4,0.2141799906183533,0.152491940266339,441.0
台北香港大廈,基隆市仁愛區南榮路20號,26.8,28,6,0.1989022881460703,0.4076652862048239,405.0
仁愛京華,基隆市仁愛區愛一路23號,20.6,24,5,0.2151638549108923,0.1272341698984819,445.0
仁愛大廈,基隆市仁愛區仁五路12號,26.5,42,5,0.1454106737991208,0.2834006590958505,431.0
兆鎮商務大樓,基隆市仁愛區仁一路133號,28.3,23,7,0.5081751559842508,0.4138582196204277,229.0
