建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
信義君悅一期,基隆市信義區信二路236號,41.1,9,7,0.3313199189343404,0.2963405448355606,284.0
基隆璽悅,基隆市信義區信一路63號,41.4,44,6,0.4724252746513905,0.3284217037267658,234.0
第一特獎,基隆市信義區深溪路53號,18.5,24,13,2.0552671382394845,0.3856611207634884,34.0
大香港,基隆市信義區深澳坑路2巷9號,16.7,26,14,1.1700032112169128,0.7273564754346586,24.0
信義君悅二期柏悅府,基隆市信義區義六路26號,36.8,9,6,0.3267689820351313,0.355859209106787,291.0
凱撒大地,基隆市信義區深澳坑路166號,17.3,28,15,2.325313067056197,0.3125813249810908,31.0
港都傳奇,基隆市信義區教孝街71號,17.4,29,15,1.439227135546321,0.2430118870491573,23.0
漢城大廈,基隆市信義區仁一路25號,26.6,19,7,0.704701283018608,0.3420032031430879,119.0
兆鎮經典,基隆市信義區信二路63號,13.7,25,7,0.646438174221457,0.2189700567314562,126.0
掌上明珠,基隆市信義區仁一路37巷16號,21.3,9,8,0.7264857570448543,0.3538766798581748,127.0
信義城堡,基隆市信義區東明路106號,24.8,12,11,0.2437279426000591,0.1715723550611676,74.0
信義遠見,基隆市信義區信二路36巷49號,24.0,7,9,0.4692419498565636,0.0338061623052978,101.0
一品特區,基隆市信義區東光路203號,15.3,26,11,0.6851857800123777,0.1816928291638574,43.0
港都天下A區,基隆市信義區福民街204號,8.2,29,12,1.5647019439638672,0.619622538378665,38.0
大三大樓,基隆市信義區信一路133號,34.0,25,5,0.1811137223072863,0.1926289484691968,404.0
四海一家大樓,基隆市信義區東信路306號,25.9,31,8,0.1442762742021984,0.1462671386402715,73.0
河畔尊龍,基隆市信義區仁一路19號,25.8,23,7,0.6896632004381033,0.3323607976295067,116.0
名人天廈,基隆市信義區培德路16號,13.2,27,11,0.7916322231382885,0.1577285988671732,49.0
藝術名廈,基隆市信義區培德路189號,17.1,26,12,1.056022267227931,0.1351331909866534,40.0
