建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
城上城,基隆市安樂區麥金路399號,35.9,7,8,0.3829307144379606,0.1666523992283261,74.0
橘郡,基隆市安樂區麥金路191號,21.9,25,7,0.0787654173725496,0.4144109403158513,70.0
台北九如,基隆市安樂區樂利二街62巷202號,18.2,27,10,0.5759171825205986,0.6023779915255192,71.0
櫻花,基隆市安樂區安和一街120號,18.6,26,7,0.5080913269188495,0.1955073215592956,74.0
大武崙家園,基隆市安樂區基金一路357號,14.8,29,12,0.8043405068418483,0.4150219303827471,30.0
安和大街,基隆市安樂區安和二街8號,20.0,27,10,0.9105267306831122,0.2773813190739734,73.0
龍騰大地,基隆市安樂區樂利三街4號,19.2,28,10,0.9983065442690642,0.4109072077743085,68.0
上堤花園廣場,基隆市安樂區基金一路146號,18.4,24,12,0.9564913680119632,0.5806313959286877,31.0
藍天麗地,基隆市安樂區基金三路48號,12.8,27,16,1.2030751266652873,0.4471028296477378,28.0
天驕大廈,基隆市安樂區樂利三街41號,18.4,26,11,1.0801489659961456,0.5402853121778654,51.0
陽光故鄉,基隆市安樂區基金一路135巷21弄號,19.9,28,11,0.9194256851494876,0.3685664111193667,31.0
孔雀開屏,基隆市安樂區基金一路176號,15.3,28,11,0.8357221793532278,0.5252167766927415,32.0
東都花園大廈A座,基隆市安樂區基金二路1巷174號之1,15.0,30,14,1.0390879644573447,0.70205513959589,15.0
建德山莊,基隆市安樂區安和一街330巷1號,19.7,26,8,0.8127955603651043,0.299982327403543,71.0
龍邸中國大廈C區,基隆市安樂區基金一路112巷110弄20號,14.6,26,17,1.1362404294346264,0.756854891937923,31.0
一品雙星吉祥座,基隆市安樂區基金二路43號,15.8,30,13,0.7479914937706643,0.7715553493518207,22.0
大衛營,基隆市安樂區樂利三街2巷10號,17.3,28,10,0.9633245093760142,0.3730151264773956,70.0
轟動天廈,基隆市安樂區麥金路80號,19.4,28,7,0.556450141061797,0.6905339963821266,52.0
八代緣二期,基隆市安樂區樂利三街367號,25.6,3,14,0.8584879224755958,0.4012395546712085,72.0
皇家翡翠,基隆市安樂區麥金路779號,13.9,27,9,0.7893780050022257,0.6834985963182505,25.0
北京華廈,基隆市安樂區基金一路214號之底層,18.1,28,13,0.6902694378795319,0.5315396089716045,32.0
碧嵐旺得富大廈,基隆市安樂區安樂路一段150號,20.8,27,3,0.588911375377475,0.4197431792659536,280.0
富景天下,基隆市安樂區麥金路34號,23.6,34,8,0.6105135946672124,0.6380879177826125,53.0
碧嵐大地第三代,基隆市安樂區基金二路11號,9.2,31,13,0.7579829662460347,0.6783993617200259,26.0
柏林愛悅,基隆市安樂區基金二路1巷52號,17.9,6,13,0.847206752664572,0.5617880873451119,28.0
涵悅,基隆市安樂區安和二街60號,30.7,14,11,0.7070176338021992,0.459832959244917,56.0
陽光綠大地,基隆市安樂區基金一路135巷1號,19.5,30,11,0.7667211864656782,0.4721537179321279,32.0
東都花園大廈B區,基隆市安樂區基金二路1巷176號,13.0,30,13,0.9737358044999108,0.6568627687535746,22.0
願景天下,基隆市安樂區樂利二街62巷266號,18.0,23,10,0.5752929385527626,0.5972485109209762,72.0
皇地,基隆市安樂區基金一路116號,17.2,27,12,1.0122396443344244,0.6480944062637072,31.0
東方巴黎,基隆市安樂區基金一路100號之71,20.9,30,9,1.0602474462818898,0.8749389148129413,41.0
金閣,基隆市安樂區樂利三街22號,21.2,28,11,1.091615433663326,0.5273547797943922,50.0
財盛名人邸,基隆市安樂區樂利三街32巷22號,20.2,9,13,1.170635589364832,0.1379082998964988,44.0
新光富仕堡,基隆市安樂區安和二街30號,26.3,8,10,0.8176263243045336,0.3711889003292888,58.0
山海關,基隆市安樂區樂利三街189號,15.3,31,12,1.1248109223711469,0.3071457599801535,50.0
