建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
台北大鎮,基隆市暖暖區碇內街105號,19.2,13,16,2.8538448763483646,0.7983163267409704,51.0
暖暖達麗,基隆市暖暖區源遠路368號,23.3,7,16,3.3513794569857214,0.4254422577033445,76.0
碧嵐山水,基隆市暖暖區東勢街26巷101號,15.4,30,12,1.4168705318226074,0.4107134641412128,90.0
鴻勝首席,基隆市暖暖區源遠路226巷90號,22.8,2,13,2.1606801559985502,0.2525048154519955,63.0
羅傑摩爾,基隆市暖暖區過港路10巷138號,18.1,27,13,0.9599305856368716,0.4612158868430906,55.0
好吉市,基隆市暖暖區碇內街188號,21.2,9,15,2.759738031414768,0.5296183841960969,61.0
幸福華城一期B棟,基隆市暖暖區碇內街338號,10.0,27,17,2.840839357096974,0.8258013703231445,14.0
暖暖豐禾,基隆市暖暖區源遠路226巷40號,27.5,10,13,2.1737264400903964,0.2585059871912478,63.0
藝觀天廈,基隆市暖暖區暖碇路153號,17.3,25,15,2.647953438152895,0.305806385881706,78.0
羅傑摩爾B區,基隆市暖暖區過港路10巷158號,17.5,27,13,0.9983402476321204,0.5007529394473603,53.0
綠第,基隆市暖暖區碇內街110號,15.9,29,15,2.5936748223986745,0.3906586389611152,62.0
飛雲山莊,基隆市暖暖區暖暖街293號,16.6,28,9,1.327649421017795,0.3588675770101823,89.0
上品苑,基隆市暖暖區東勢街6號之80,28.8,5,11,1.169662783231239,0.2718873488886909,92.0
國產江山,基隆市暖暖區源遠路165號,17.1,27,12,1.9785873174473303,0.285590479268183,63.0
海光一村甲社區,基隆市暖暖區暖碇路38巷72號,15.9,13,14,2.129191060580583,0.2186612613399083,62.0
山水尊園,基隆市暖暖區源遠路249巷189號,22.9,26,15,2.192491413754753,0.1689873267882948,72.0
碧嵐大地第二代,基隆市暖暖區源遠路152巷號,14.4,31,13,2.0105898016653083,0.0622931009548686,62.0
樹里院,基隆市暖暖區暖暖街570巷11號,25.0,6,10,1.794794808083755,0.1902597228323348,86.0
暖暖十勝,基隆市暖暖區東勢街26巷80號,24.6,3,12,1.4404683862758856,0.4039757175696658,90.0
360度大自然,基隆市暖暖區金華街267號,14.2,27,7,0.5956854642471577,0.2984974451437963,20.0
綠意皇琚一期,基隆市暖暖區暖暖街281巷25號,24.2,9,9,1.2316088635929872,0.4476423627708913,91.0
寶祥吉祥,基隆市暖暖區源遠路341號,18.4,27,17,3.342099778123813,0.4442318222261144,78.0
白天鵝花園廣場大廈,基隆市暖暖區源遠路297巷91號,14.2,24,16,2.4810176950565146,0.3795651574769244,78.0
綠意皇琚二期,基隆市暖暖區暖暖街281巷22號,25.4,8,9,1.301490097550564,0.3775712993297183,90.0
十勝禮,基隆市暖暖區暖暖街530巷57號,23.7,9,10,1.7916704156357692,0.1583484559273682,84.0
芳堤名邸,基隆市暖暖區源遠路292巷103號,14.5,23,17,3.687533589585765,0.4486632878103633,78.0
花見川,基隆市暖暖區暖暖街281巷81號,22.1,9,9,1.2009814273430988,0.4338241535934393,91.0
涵仰,基隆市暖暖區暖暖街570巷75號,24.9,17,11,1.8647370083841373,0.244473379438272,79.0
碧嵐大地第一代,基隆市暖暖區東勢街26巷109號,14.3,32,12,1.366889816192969,0.4054151942712981,91.0
寫意山水,基隆市暖暖區暖暖街602號,15.1,28,10,1.7447556069425665,0.2247556634617811,86.0
海光一村乙社區,基隆市暖暖區暖碇路38巷97號,17.2,13,14,2.2478844396537263,0.2067324334288509,63.0
