建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
信義大街,基隆市信義區東光路205巷10號,17.8,27,12,0.5989153751644538,0.2302270671530066,47.0
建國國宅,基隆市信義區信二路238號,23.0,39,7,0.2629539760903807,0.3065690313361894,302.0
力品園,基隆市信義區教忠街80巷61號,23.3,3,14,1.9067964553902783,0.3525644258362115,34.0
青山境,基隆市信義區深澳坑路232號,14.0,15,20,2.152239539714442,0.8360985753528902,16.0
義仁新城,基隆市信義區信二路24號,13.9,39,8,0.4237409201230884,0.162786698309477,101.0
復興國宅,基隆市信義區中興路13號,24.5,39,7,0.630653371018722,0.2576340430141479,182.0
信義世家,基隆市信義區信一路15號,18.2,34,7,0.5373751868987798,0.2092767454710469,117.0
五樓鑽,基隆市信義區深澳坑路228號,9.8,26,20,2.200485094757344,0.780218732443245,14.0
自強,基隆市信義區福民街69巷11號,12.3,37,13,1.5358871066021458,0.6149570575374723,37.0
建隆大廈,基隆市信義區信一路93號,16.9,39,6,0.3263510569192853,0.4190106858240171,298.0
