建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
芳丹詩郡大樓,基隆市七堵區堵南街12號,23.0,29,8,0.9620481279175294,0.3822875478493525,82.0
美河新都,基隆市七堵區大華一路129號之5,21.0,10,6,0.5919368522422709,0.4418382341568584,66.0
葛萊美二期哈佛區,基隆市七堵區開元路114號,28.2,15,2,0.4736382949192904,0.3019898352406903,71.0
名軒麗景,基隆市七堵區福六街113號,21.8,15,6,0.4268642216085714,0.1469773176614055,111.0
綠葉山莊,基隆市七堵區綠葉街63巷10號,20.0,23,11,2.0910710923121525,1.4632725656765673,3.0
富源鑫一期,基隆市七堵區大德路166號,17.6,8,7,0.963964271588332,0.3280153283233953,87.0
吉璞御沐,基隆市七堵區百五街78號,31.8,1,7,0.4677751234025099,0.089223389646571,110.0
原美館,基隆市七堵區綠葉街12號,22.2,11,11,2.138385108578516,1.4147922851041244,3.0
綠意東居,基隆市七堵區泰安路1號,20.3,3,2,1.1285266723258436,0.1470977153327029,34.0
水世界,基隆市七堵區東新街83號,16.5,24,3,0.7410636845657765,0.4422804411674667,52.0
日出新台北,基隆市七堵區福五街號,21.3,29,7,0.1659181179288234,0.4025379229242102,111.0
東城,基隆市七堵區長安街233巷10號,12.6,27,9,1.288676594405455,0.4733861855603747,79.0
富貴大樓,基隆市七堵區堵南街51號,14.1,27,9,1.429189555763164,0.8613371417950931,24.0
富源鑫二期,基隆市七堵區泰和街88號,21.3,6,3,1.5090399822268858,0.4172548694870205,13.0
學人山莊,基隆市七堵區泰安路155號之12,13.9,9,8,5.40121203452824,2.11510833967098,9.0
百福吉星,基隆市七堵區福五街174號,19.6,28,7,0.1401594243605635,0.4724018830650324,111.0
萬隆青青NO.1,基隆市七堵區堵南街181號,19.4,3,8,0.5420293716904532,0.0700458632489834,103.0
名軒新天地,基隆市七堵區泰安路21號之7,24.6,15,2,1.1980203391896789,0.0878362492542131,29.0
愛上里山,基隆市七堵區長安街233巷42號,20.3,6,10,1.321361927305328,0.4548622329276601,74.0
明德二路11號華廈,基隆市七堵區明德二路11號,23.2,4,2,1.0767572571275257,0.2815835768717536,41.0
大德路87-3號華廈,基隆市七堵區大德路87號之3,27.3,5,8,0.6442924114843069,0.1231038854512121,103.0
首盛永富,基隆市七堵區永富路208號,23.6,17,4,0.4725877488035552,0.2707392214435141,67.0
崇德大廈,基隆市七堵區崇義街37號,21.8,30,4,0.1367732024318615,0.2109516653974973,68.0
光明路26號華廈,基隆市七堵區光明路26號,26.5,4,2,0.042523788477038,0.3076163815393006,67.0
寶吉第品,基隆市七堵區福一街133號,25.8,7,8,0.4512658846178232,0.2064868298962657,105.0
村日VILLA,基隆市七堵區泰和街55號,16.0,10,2,1.4999986588502452,0.3428048457282225,15.0
三富臻品,基隆市七堵區大華一路125巷29號,17.4,6,6,0.4795421328946219,0.3676560232030037,66.0
萬順名邸,基隆市七堵區福一街179號,25.3,8,8,0.314143679362617,0.2736478326191471,111.0
七堵站前,基隆市七堵區光明路118號,22.3,23,2,0.3743681062293257,0.2742897335674649,70.0
首相一期,基隆市七堵區百一街145號,22.1,14,5,0.804921519870288,0.3341943994778418,104.0
長安公寓,基隆市七堵區長安街251巷8號,15.9,7,9,3.6224106951809705,0.8133447131875193,8.0
永富巨星,基隆市七堵區永富路216號,26.0,12,4,0.5007788747227084,0.2975775586472822,67.0
百福理想家,基隆市七堵區實踐路166號,18.1,26,7,0.4600737857137256,0.1746227849677744,105.0
永富之星,基隆市七堵區永富路230號,23.6,14,4,0.5346071542475569,0.3288695241509727,68.0
百吉華廈,基隆市七堵區福一街186號,26.9,11,8,0.2998503508505191,0.2913327778530151,110.0
百福尊龍,基隆市七堵區實踐路288號,18.4,24,7,0.1168344148129062,0.4902900082999388,109.0
傳家堡,基隆市七堵區八德路23號,10.0,27,8,0.843479787444283,0.2370939793647398,28.0
國際世貿大廈,基隆市七堵區俊賢路21號,12.7,30,4,1.2947825377220592,0.795717046645067,63.0
模範家庭,基隆市七堵區自治街28巷42號,26.2,16,2,0.476933673199368,0.2970378007126944,71.0
富麗堂皇,基隆市七堵區福五街202號,19.5,27,7,0.1476264712552451,0.5565367493722475,111.0
精心園,基隆市七堵區百七街101巷24號,19.5,15,8,0.0752123357342536,0.4586002390506488,110.0
摩登雙星,基隆市七堵區百三街16號,18.2,26,7,0.6968636891813661,0.232652320098273,103.0
葛萊美一期首盛緻馥,基隆市七堵區福五街133號,24.7,16,7,0.2397367509944683,0.2974754914853064,110.0
松和臻品,基隆市七堵區百七街58號,19.6,16,7,0.1073497974125033,0.4175334724809059,110.0
東煒國寶Ｂ區,基隆市七堵區福五街70號,24.8,24,8,0.4165851350448503,0.118811941656175,110.0
崇禮公寓大樓,基隆市七堵區南興路1號之5,21.9,21,3,0.0937268775742312,0.1590167445863454,68.0
東方吉地,基隆市七堵區福五街38號,22.5,29,8,0.539912521255964,0.0316951497660658,111.0
大德,基隆市七堵區大德路130號,24.7,23,8,0.5972945980222254,0.0193678114926731,103.0
樂透台北D區,基隆市七堵區大德路85號之3,23.7,23,8,0.6253933984747517,0.0433709860448551,103.0
葛萊美三期富蘭克林,基隆市七堵區百七街69號,21.1,15,8,0.1066945440416975,0.4554003824813467,110.0
建築師的家,基隆市七堵區福五街80號,22.5,15,8,0.3971895279061767,0.1405455350545945,110.0
