建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
美之國,基隆市中山區復興路201巷8弄39號,19.9,25,8,0.2813082729088181,0.4050637724839893,61.0
米蘭皇家貴族區,基隆市中山區復興路334巷11號,23.0,14,10,0.5395455342969807,0.0964108751384986,60.0
基隆第一景,基隆市中山區華興街53巷7號,19.2,16,4,0.746275653610681,0.1004286166582014,272.0
米蘭皇家凱旋區,基隆市中山區復興路334巷2號,22.7,15,10,0.5426186306436711,0.0987318544392871,60.0
宏昌首席,基隆市中山區復興路95號,27.1,8,7,0.0852479767309371,0.6236532285438501,60.0
橙品富達,基隆市中山區復興路403號,19.2,7,10,0.8139345732227647,0.2278833476379541,49.0
西定華廈,基隆市中山區西定路315號,15.7,5,5,0.5514175955336745,0.1423741634870092,104.0
中山首府,基隆市中山區中山二路65巷1號,13.2,26,3,0.729389815693298,0.1969872413126379,250.0
麗寶大觀,基隆市中山區華興街53巷9號,25.2,14,5,0.778371536359875,0.1216807342375609,266.0
世通成功大廈,基隆市中山區成功二路47號,16.7,27,2,0.3060896824559636,0.4196300015386667,389.0
勝凱,基隆市中山區復興路336號之1,19.9,13,10,0.5680303757639199,0.1092101584426282,59.0
中山華廈,基隆市中山區中山二路35號,19.2,25,3,0.6728111864224897,0.1626444741883412,281.0
