建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
早安•國揚,基隆市中正區新豐街162巷2號,21.9,1,17,2.325657879301083,0.3557805017187673,31.0
普羅旺世一期,基隆市中正區新豐街162巷1號,19.7,14,15,2.4635145751297345,0.5893350917492086,32.0
台維大樓,基隆市中正區中正路68號,16.6,34,6,0.5622681787418844,0.2609958733118629,201.0
我泉山莊,基隆市中正區新豐街162巷99號,21.2,9,18,2.1013501303255544,0.4385676180656,32.0
龍冠天下,基隆市中正區新豐街303巷11弄21號,11.3,29,16,2.7320798962603208,0.6547616323928336,45.0
正豐名邸,基隆市中正區豐稔街48巷36號之1,19.2,14,10,0.5720081319513575,0.6670284982914308,40.0
海中天A區,基隆市中正區新豐街333巷30號,16.4,27,15,2.35773777511806,0.5383498136028297,29.0
祥豐麗境A區,基隆市中正區祥豐街93號,18.9,24,10,0.3039280685028601,0.4626348526827992,38.0
萬金樓,基隆市中正區義二路162號,22.2,26,6,0.2590684709227611,0.3002151473097154,386.0
中正城堡,基隆市中正區豐稔街102號,16.6,9,10,0.6795462073410646,0.7887521752920735,40.0
八斗金鑽,基隆市中正區北寧路384號,14.5,27,18,0.1062515808722292,0.1685237409836377,71.0
祥豐麗境B區,基隆市中正區祥豐街119號,11.8,23,10,0.3000663390238242,0.4591094788415161,38.0
港都首席,基隆市中正區中正路97號,11.1,23,7,0.8227414234698284,0.6988984517925311,51.0
杰崴大廈,基隆市中正區新豐街205巷7號,15.0,12,16,2.8965692294215253,0.2700552229320321,72.0
富都二期,基隆市中正區祥豐街397號,21.0,4,11,0.4502269366432214,0.2673904403346169,48.0
中正路668號住辦大樓,基隆市中正區中正路668號,12.9,19,11,0.7858593830372195,0.2558227992550664,46.0
碧砂山水,基隆市中正區調和街226巷10號,10.9,27,19,2.3787696743846736,0.985976337254195,13.0
山水蓮園,基隆市中正區北寧路296號,14.2,26,18,0.513186171270712,0.2877538996896016,67.0
幸福佳園二期,基隆市中正區信三路28巷4號之2,26.0,10,4,0.0584300970874269,0.1590701901273279,413.0
一品,基隆市中正區中正路213號,10.9,26,9,0.3451900672914113,0.3869147669416922,35.0
白金大樓,基隆市中正區義一路112號,21.5,29,5,0.229570742211302,0.3125950164038273,392.0
羅傑天下,基隆市中正區義一路87號,19.6,26,5,0.2586609071356364,0.3525270702041919,389.0
大錢城公寓,基隆市中正區義一路156號,18.0,27,5,0.3900525839052884,0.3335460437933976,315.0
財高八斗,基隆市中正區八斗街35號,13.8,29,18,0.2127395336945907,0.3193044509481951,70.0
中正華城,基隆市中正區中正路458號,10.7,26,10,0.3891558639115069,0.218048107793022,45.0
鼎立京華,基隆市中正區豐稔街17號,15.3,23,9,0.5198373459725206,0.6037873530162998,37.0
吉興名人,基隆市中正區豐稔街130號,9.3,31,10,0.9010581799491544,0.6424619593444347,57.0
幸福佳園一期,基隆市中正區信三路28巷33號,22.8,11,4,0.070233866945662,0.1890721367232726,411.0
大觀園,基隆市中正區正榮街59號,17.3,24,11,0.1995998192328027,0.0989342953974346,33.0
