建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
華麗站前,基隆市仁愛區龍安街200號,26.1,14,7,0.8650642812232237,0.438905387875757,327.0
仁愛華府,基隆市仁愛區華六街19號,16.9,22,5,0.6486250232551776,0.2457546292720997,306.0
仁愛延吉,基隆市仁愛區延平街33號地下一層,26.5,11,7,0.4153182170582611,0.1582910798460388,352.0
港都帝座,基隆市仁愛區仁一路279號,35.1,13,5,0.2688679365635611,0.1110112815604009,401.0
延年吉園,基隆市仁愛區劉銘傳路104巷12號,22.7,18,8,0.6305924680650563,0.1609286691210927,277.0
愛三路98巷華廈,基隆市仁愛區愛三路98巷15號,31.5,5,4,0.2078279925363725,0.0837079879383084,435.0
銘傳之星,基隆市仁愛區劉銘傳路52號,29.0,12,7,0.504628406965174,0.326415661467312,286.0
仁愛花園廣場,基隆市仁愛區龍安街198巷29號,24.6,18,8,0.8860975126071,0.4371570378159479,300.0
仁愛名邸,基隆市仁愛區仁二路51巷13號,25.5,15,6,0.3532285234278324,0.2736159370900899,314.0
仁愛禧園,基隆市仁愛區仁一路107巷6號,23.5,14,7,0.5797057605727363,0.4278951799433866,202.0
一品天廈,基隆市仁愛區仁三路11號,31.2,23,6,0.1343865797094842,0.1111001607354405,421.0
台北新天下,基隆市仁愛區孝三路99巷7號,16.4,29,5,0.0734671578315655,0.1703671217718373,425.0
遠東商業大樓,基隆市仁愛區忠三路99號,24.1,42,5,0.1111977015767656,0.2054454306743658,415.0
雙喜居,基隆市仁愛區愛七路42號,24.1,16,7,0.4969236364272917,0.2550921456091389,308.0
優閣華廈,基隆市仁愛區曲水街5號,20.0,22,7,0.910735273431265,0.3871431189242228,335.0
仁愛精典,基隆市仁愛區南榮路151巷108號,11.8,27,7,0.303397834903174,0.2829978340305744,397.0
來欣南榮,基隆市仁愛區南榮路134巷66號,11.0,16,9,1.455940177096743,0.2360454973630009,28.0
向安仁二路119巷華廈,基隆市仁愛區仁二路119巷3號,29.8,4,7,0.4214288685778364,0.0990490974855889,368.0
博愛大樓,基隆市仁愛區仁四路23號,25.0,36,5,0.0407590695409091,0.2495977644837124,435.0
明道華廈,基隆市仁愛區南榮路130號,18.1,20,8,1.3809333456433357,0.113645891880833,39.0
兆鎮晶鑽,基隆市仁愛區劉銘傳路11巷13號,25.7,19,7,0.4317281583851126,0.4411002849049354,279.0
