建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
信義城,基隆市信義區深溪路38巷1號,27.4,5,13,2.1013355618551843,0.3404649301352787,32.0
田園調布,基隆市信義區福民街11號,21.8,3,13,1.3690098121644434,0.5416594533113546,31.0
麗景江山EF區,基隆市信義區深溪路36巷70弄7號,15.9,24,14,2.232604310352132,0.2944801521763053,31.0
威鎮八方,基隆市信義區正信路227巷21弄30號,14.2,25,11,0.6821223397328643,0.6375621120316342,63.0
麗景江山Ｇ區,基隆市信義區深溪路36巷104號,17.9,25,14,2.212715845264525,0.4026703942161978,30.0
麗景江山B區,基隆市信義區深溪路36巷50弄10號,15.4,27,13,2.106876931393458,0.2375678964875701,32.0
麗景江山Ａ區,基隆市信義區深溪路36巷40號,9.6,28,13,2.076350363139132,0.3047173580223822,32.0
玉品園,基隆市信義區教忠街56號,22.4,5,13,1.6966152500709324,0.2905159677145648,30.0
信義花園,基隆市信義區東信路236巷18號,19.2,10,9,0.1188698474891311,0.0148868427104272,63.0
四季春大廈,基隆市信義區花源五街11號,14.2,28,11,0.4249413500259028,0.3922848067929025,60.0
椰城,基隆市信義區東信路3巷81號,15.2,24,11,0.740800098991419,0.27487266354823,50.0
麗景江山Ｈ區,基隆市信義區深溪路36巷70弄19號,16.1,25,13,2.188480943139182,0.3524974644335025,30.0
深澳坑路2-47號華廈,基隆市信義區深澳坑路號,11.0,28,14,2.341841321828156,0.2793722368702721,28.0
馥桂園,基隆市信義區東明路77巷7弄12號,31.2,18,11,0.3228575194891138,0.312060576096294,57.0
發樓大廈,基隆市信義區深澳坑路2號之8,14.3,27,13,1.1581895967131293,0.700673142253047,24.0
華妍閣大廈,基隆市信義區深澳坑路123號之1,15.4,15,14,2.542728935087932,0.546239917413036,20.0
港都天下B區,基隆市信義區福民街71巷1號,14.9,28,12,1.549959840999725,0.6199621233647628,37.0
信義名邸公寓,基隆市信義區信二路174巷126號,20.0,9,11,0.6229821771994462,0.0626921309110893,183.0
名人延吉,基隆市信義區東明路55巷8號,34.3,7,11,0.315202093134485,0.2892752084430243,55.0
幸福首席,基隆市信義區教忠街96號,21.6,4,13,1.7692916826761842,0.1493482069397248,30.0
新富,基隆市信義區正信路295號,19.5,3,10,0.3683239982241863,0.3058251976761055,60.0
富貴榮邑,基隆市信義區福民街43號,12.0,26,13,1.430433742448584,0.5376019633053517,32.0
住安城堡,基隆市信義區孝東路15號,11.3,28,12,1.4290860431232577,0.5078895472988978,41.0
橙品帝堡,基隆市信義區深溪路73號,25.7,15,15,2.0781557305324743,0.4916151868241991,34.0
恩典延吉,基隆市信義區東明路39巷33號,31.3,4,17,1.8054823125592907,0.6942362830596513,18.0
正信遠見,基隆市信義區正信路151巷7號之7,22.6,3,8,0.4138042573813693,0.0945457765835238,95.0
橙品雙璽,基隆市信義區東光路40號之1,19.5,14,11,0.569357963953685,0.1023775743584292,51.0
花源九街21號華廈,基隆市信義區花源九街21號,14.0,5,11,0.4184310473310787,0.3696433289103624,59.0
富寓,基隆市信義區中興路22號,29.2,14,7,0.6464970202041863,0.2534895860282376,167.0
慶順御花園-華廈區,基隆市信義區教忠街40巷58號,20.3,7,14,1.7359271165213588,0.3239898720739868,31.0
和園大樓,基隆市信義區中興路66號,24.8,21,9,0.635463964692222,0.1674736055451827,183.0
交響悅二期,基隆市信義區信二路232號之1,29.4,14,7,0.3557562209321195,0.2788985649698094,276.0
誠園華廈,基隆市信義區仁一路7巷57弄1號,27.0,12,8,0.7070079067636573,0.3748605726667591,135.0
華爾街名廈,基隆市信義區信一路141巷22號,35.5,22,6,0.1042179875062924,0.270145408056543,408.0
名仕麗廈,基隆市信義區正信路179號,17.9,29,9,0.3081575147162456,0.065734776967397,77.0
最傳奇,基隆市信義區信二路191號,25.6,18,7,0.2252445845580078,0.3571258945907883,319.0
信義公教華廈,基隆市信義區義六路15號,26.2,25,7,0.2788885099580809,0.3132492195005619,298.0
翡翠宮庭C區,基隆市信義區深澳坑路6巷1號,11.1,26,13,1.5280139447486871,0.4787946034367066,32.0
交響悅一期,基隆市信義區信二路162號,26.7,16,9,0.5869242606148477,0.198147393867061,203.0
信義延吉,基隆市信義區信一路96巷11號,29.7,15,6,0.2518762289450825,0.3761607164371696,316.0
培德路14巷41-1號華廈,基隆市信義區培德路14巷41號之1,11.4,30,11,0.8802477652011458,0.1501602698884788,45.0
富豪名園,基隆市信義區正信路89號,9.6,32,8,0.1355429383325491,0.1114093512908084,73.0
翰林苑,基隆市信義區正信路49號,14.0,27,8,0.0959718938567058,0.160973668078775,73.0
中興華廈,基隆市信義區信二路50號,24.5,26,8,0.5625984354019959,0.1615820469699923,123.0
彩虹山莊,基隆市信義區東美一街45號,11.0,30,13,1.2452908498855315,0.5995053933871002,23.0
大台北富邑,基隆市信義區東峰街22號,11.4,28,14,1.2835984176836446,0.4120889448597505,34.0
一品樓,基隆市信義區中興路18巷3號,26.7,16,7,0.6507584478080013,0.2588284837724738,158.0
正信華廈,基隆市信義區正信路215號,12.7,28,10,0.5439643902576043,0.3396899476054582,73.0
