建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
新海灣,基隆市安樂區安樂街一段71號,31.4,1,15,0.5514267586756557,1.080828788228893,2.0
安樂區二期,基隆市安樂區安和一街2巷12號,28.6,43,6,0.2391423822581517,0.4088886409678257,68.0
台北大國,基隆市安樂區武嶺街307號,18.0,27,12,1.1800468310433607,0.1742087910106565,29.0
龍邸中國大廈B區,基隆市安樂區基金一路112巷110弄13號,14.5,26,16,1.162082948763386,0.8606741163599873,28.0
維也納花園,基隆市安樂區樂利二街62巷619號,25.5,15,11,0.7715313159430457,0.6188227411110229,70.0
御花園,基隆市安樂區樂利二街62巷628號,25.6,11,11,0.7715313159430457,0.6188227411110229,70.0
翰林小城-耶魯區,基隆市安樂區武崙街179號,30.8,4,12,0.842377402400319,0.2718733090210901,31.0
龍邸中國大廈D區,基隆市安樂區基金一路112巷110弄19號,14.2,26,17,1.1579595053625884,0.7810704516253315,30.0
壯觀台北八德,基隆市安樂區樂利二街62巷101號,16.6,27,10,0.5939525567075787,0.6461646152916113,70.0
楓林小橋一期,基隆市安樂區基金一路135巷5弄10號,15.9,28,10,0.836845075879042,0.4362603628817162,32.0
壯觀台北真善美,基隆市安樂區樂利二街62巷11號,17.0,27,11,0.6811202057984782,0.7786668090520912,67.0
龍邸中國大廈A區,基隆市安樂區基金一路112巷110弄12號,11.6,26,10,1.1263493128576394,0.7536620010783436,31.0
三愛臻品,基隆市安樂區安和二街40號,21.1,9,11,0.8041725267015051,0.3869179067905339,62.0
台北大國如意區,基隆市安樂區武嶺街217號,12.5,27,12,1.1562332996948204,0.1506829491650968,29.0
凱悅名宮一期,基隆市安樂區基金一路108號之1,17.4,30,8,1.227724608574052,0.8953643080588047,29.0
台北生活家,基隆市安樂區樂利三街號,14.3,31,11,1.0888507772675229,0.582557905799167,49.0
壯觀台北靜園,基隆市安樂區樂利二街62巷100號,15.7,27,10,0.5942638462572026,0.6466462034007393,70.0
水天德莊,基隆市安樂區武隆街127號,25.5,1,16,1.5893768896171807,0.130433983710855,21.0
楓林小橋二期,基隆市安樂區基金一路135巷117號,18.3,28,13,1.0205222741389437,0.2082428093946164,31.0
安樂晶棧,基隆市安樂區安和二街48號,18.0,11,11,0.7688069674535063,0.421511125585143,57.0
台北大國吉祥區,基隆市安樂區武嶺街291號,19.0,27,11,1.1501495995940114,0.3489274555071155,29.0
向陽大樓,基隆市安樂區安和一街號,13.9,40,7,0.4958860127962484,0.1933202277191656,74.0
竹城北海道,基隆市安樂區樂利二街62巷106號,23.6,7,11,0.7396439867127752,0.6040272205190493,71.0
夏綠蒂,基隆市安樂區麥金路127巷133號,18.5,13,9,0.411184620101104,0.7144359956008648,68.0
上頂苑,基隆市安樂區安和二街46號,19.0,9,11,0.7892806454042186,0.3998315395033045,57.0
涵仰,基隆市安樂區中和路10號,17.0,8,6,0.1942477903688649,0.5645365516049327,60.0
凱悅名宮二期,基隆市安樂區基金一路108號之16,17.0,28,8,1.227724608574052,0.8953643080588047,29.0
爵士堡伯爵區,基隆市安樂區樂利二街62巷52號之1,16.4,16,12,0.8523558712163678,0.5033390414219535,66.0
麥金大樓,基隆市安樂區麥金路423號,27.9,42,9,0.5215238733606278,0.1802817076776808,74.0
武隆尊貴,基隆市安樂區武隆街205號,17.6,24,17,1.7646835222008157,0.2520598072983955,20.0
一品園,基隆市安樂區新西街106號之2,14.7,11,6,0.5683123194735569,0.5613699913294359,65.0
台北青年,基隆市安樂區基金一路114號,10.8,25,12,1.05783146247531,0.7494715187649283,32.0
台北大國葉綠宿區,基隆市安樂區武嶺街247號,18.5,27,12,1.1284417329177834,0.2316607581929639,30.0
富春居,基隆市安樂區安和二街38號,21.7,11,11,0.7978031669896332,0.3907982770408801,55.0
