建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
東京站,基隆市暖暖區八堵路159號,22.0,9,9,0.5345032278580081,0.3970048989524059,19.0
森林國家,基隆市暖暖區碇內街288號,10.3,27,17,2.840839357096974,0.8258013703231445,14.0
幸福華城二期/彩色世界G棟,基隆市暖暖區碇內街287號,9.8,28,17,2.866646709132393,0.8522058573128533,14.0
暖悅居,基隆市暖暖區暖暖街530巷23號,20.3,7,10,1.7704982325059957,0.1077849054822802,84.0
彩色世界,基隆市暖暖區碇內街號,11.8,28,15,2.686377753689352,0.4576347405165323,62.0
萬代福第公寓,基隆市暖暖區暖暖街118號,15.5,28,10,0.940878915507216,0.140561232076034,93.0
皇族麗星,基隆市暖暖區碇內街15號,12.6,31,15,2.633528419492588,0.4344273763581416,65.0
新都里雲舞區,基隆市暖暖區東勢街6號之32,27.6,17,11,1.169662783231239,0.2718873488886909,92.0
十勝川,基隆市暖暖區暖暖街333號,21.3,12,9,1.491077353888018,0.1884319906452192,89.0
幸福華城一期XY棟,基隆市暖暖區碇內街216號,7.7,26,16,2.7900615486171083,0.7522753926594531,37.0
橙品富鼎,基隆市暖暖區暖碇路300號,19.4,3,16,2.6573917463086505,0.3172621628844504,78.0
十勝謙,基隆市暖暖區暖暖街530巷86號,20.7,9,10,1.7996051861225264,0.1695689345760459,83.0
台北Online,基隆市暖暖區源遠路277巷90號,22.3,13,17,2.431911922749607,0.2481355900843395,78.0
皇家極品華廈,基隆市暖暖區源遠路152巷23號,18.7,29,13,1.9972938528440007,0.1812302505676599,63.0
羅傑天母,基隆市暖暖區東碇路322號,16.8,25,13,2.144916628582114,0.1083881112514453,62.0
幸福華城一期A棟,基隆市暖暖區碇內街號,11.2,27,15,2.686377753689352,0.4576347405165323,62.0
碧嵐高第,基隆市暖暖區東勢街26巷127號,16.1,28,12,1.35970164755637,0.4748416565798655,92.0
十勝苑,基隆市暖暖區暖暖街337號,27.5,10,9,1.5145968978416535,0.1639940875945963,89.0
琉璃圓,基隆市暖暖區東碇路501號,19.4,15,13,2.2316379702216604,0.0010631778367125,62.0
羅傑亞瑟王,基隆市暖暖區源遠路279號之5,16.5,25,16,2.498313530551202,0.2174029943404681,78.0
暖暖青青河畔,基隆市暖暖區東勢街1號之21,15.0,28,10,0.8892288844069491,0.1241041740518971,96.0
圓滿,基隆市暖暖區過港路10巷2號,16.5,16,10,0.9182621921300724,0.3713352914029532,81.0
十勝璽,基隆市暖暖區暖暖街379巷100號,17.2,8,10,1.6639163999073223,0.2137988270725827,88.0
麗偉暖暖街華廈,基隆市暖暖區暖暖街245巷2號,18.1,4,9,1.183603110640706,0.4499500380655288,91.0
碧嵐皇家桂冠座,基隆市暖暖區東碇路300號,13.0,27,13,2.114292699287412,0.0934122230391363,62.0
彥緯過港路20號華廈,基隆市暖暖區過港路20號,22.8,6,9,0.8133416558070657,0.2665152771142152,89.0
鹿鼎暖暖街華廈,基隆市暖暖區暖暖街16巷30號之1,19.6,4,10,0.8098293569937557,0.1152379469092022,97.0
綠堤,基隆市暖暖區源遠路193巷5號之4,12.3,24,13,2.1015962763345124,0.2600272057598636,63.0
新都里竹間區,基隆市暖暖區東勢街6號之50,17.3,18,11,1.169662783231239,0.2718873488886909,92.0
鳳翔山水,基隆市暖暖區暖暖街530巷85號,13.2,28,11,1.8571699974574185,0.3322200205171767,81.0
松妍苑,基隆市暖暖區暖暖街572號,22.3,9,10,1.735323126060664,0.1676348335709794,86.0
新都里松泉區,基隆市暖暖區暖暖街570巷80號,27.9,18,11,1.885188312965413,0.2504342923011086,75.0
山水天地,基隆市暖暖區源遠路297巷86號,11.9,27,16,2.518415352763438,0.3862481656550984,78.0
名揚天下,基隆市暖暖區暖暖街530巷43號,17.7,28,10,1.7775892029832396,0.1362995350910726,86.0
林園,基隆市暖暖區源遠路號,10.7,21,11,1.3433932821903456,0.7749501558444505,75.0
琉璃圓C棟,基隆市暖暖區東碇路533號,15.9,15,13,2.2293552034365733,0.005360127316216,62.0
雅歌,基隆市暖暖區源遠路249巷183號,12.8,27,16,2.247868027481905,0.167539820952123,73.0
碧嵐皇家香榭座,基隆市暖暖區東碇路366號,12.9,27,13,2.162263955400128,0.1135510034576928,62.0
嵐園,基隆市暖暖區過港路5號,11.6,29,9,0.8344245457187793,0.2882388906675018,88.0
台北龍廷,基隆市暖暖區暖暖街281巷87號,13.3,32,9,1.135951574596818,0.370742941391905,93.0
台北名門大廈,基隆市暖暖區暖暖街459號,22.0,22,10,1.7060849324943197,0.1368568890582208,86.0
翡翠芳鄰一期,基隆市暖暖區暖暖街530巷108號,15.4,30,10,1.8413077238942448,0.2404502529755432,81.0
哥德堡,基隆市暖暖區暖暖街570巷81號,20.6,26,11,1.8774011403949056,0.2672662466632515,75.0
山水天廈,基隆市暖暖區東勢街56號之3,10.7,25,14,4.912895741419975,1.452463873307346,2.0
璟園公寓大,基隆市暖暖區過港路339號,13.0,30,8,0.1842024440223861,0.2309341957428517,68.0
旺築,基隆市暖暖區暖暖街570巷76號,11.5,15,10,1.781885977127316,0.1707591244380544,86.0
居觀山水,基隆市暖暖區暖暖街248號,22.8,28,9,1.15870811880229,0.4572737667981281,91.0
台北金貴族,基隆市暖暖區暖暖街145號,15.0,30,11,0.9564989527278732,0.1220013146716927,93.0
