建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
美墅五期翰林區,基隆市信義區教忠街170號,20.6,20,14,1.75764530315525,0.1640302282380872,28.0
翠峰山莊,基隆市信義區東光路261號之1,14.2,27,13,0.759031548366027,0.3615987272809694,39.0
美的世界,基隆市信義區教孝街12號,18.1,35,14,1.3694573749625492,0.3582622262454191,22.0
森美學,基隆市信義區深美街200巷19號,18.6,7,15,1.557776286700209,0.1043396817145297,27.0
慶順御花園NO.10,基隆市信義區教忠街100巷6號,22.8,8,14,1.8001460653995036,0.1709854151488362,30.0
藏富,基隆市信義區正信路309號,14.4,10,12,0.3746309609241136,0.3008739514987094,59.0
森活家,基隆市信義區教忠街161巷61號,22.7,7,16,1.5605868622234909,0.338591990685879,27.0
尊園,基隆市信義區深美街135號,24.4,4,15,1.8193781352890648,0.1665642300054762,30.0
深美極品,基隆市信義區教忠街25巷46號,15.3,16,14,1.697740245881901,0.2359096734450954,30.0
喬璽,基隆市信義區教忠街161巷19號,25.5,6,16,1.6434048211620764,0.3563738987235402,28.0
美墅八期,基隆市信義區教忠街39號,16.1,19,13,1.7095796607951612,0.2402166751193253,30.0
榮華,基隆市信義區教忠街100巷40號,13.0,18,14,1.901053214353139,0.2833833397387214,31.0
花墅,基隆市信義區深澳坑路86巷97號,12.2,27,14,2.070545239134959,0.589740866051728,27.0
美墅五期如意區,基隆市信義區教忠街168巷38號,19.0,20,15,1.8521049719076577,0.2729339048499978,31.0
美墅九期Ｂ區,基隆市信義區教忠街194巷51號,17.1,19,15,1.8772240209559976,0.3029832181341368,30.0
居瓏經典,基隆市信義區教忠街95巷20號,20.7,17,14,1.701107467682177,0.1146509303585695,27.0
皇家御墅,基隆市信義區教忠街25巷20號,20.0,7,13,1.671523943516083,0.2647329725580266,30.0
臣祥花園別墅,基隆市信義區教忠街168巷73號,18.2,17,15,1.81222785875071,0.2482388351534746,31.0
玉璽別墅,基隆市信義區教忠街119巷1號,20.9,13,14,1.7209059346445037,0.2058114028917335,28.0
慶順御花園-別墅區,基隆市信義區教忠街25巷21號,22.4,7,13,1.657041623735494,0.2603071994925277,30.0
美墅九期Ａ區,基隆市信義區教忠街194巷24號,20.7,18,15,1.8444458513735595,0.2431318226650979,29.0
美墅七期,基隆市信義區教忠街121巷53號,18.6,20,16,1.562870042960211,0.247744488232499,26.0
美墅三期Ａ區,基隆市信義區教忠街80巷69號,20.8,21,14,1.925392238502594,0.3830374110198696,34.0
美墅二期公寓大樓,基隆市信義區教忠街119巷20號,18.7,22,15,1.6728300714496915,0.2222401772276991,27.0
強利柒期,基隆市信義區教忠街194巷10號,17.9,15,14,1.7792418200606603,0.2186835925680265,30.0
美墅五期雅仕區,基隆市信義區教忠街168巷53號,19.3,20,15,1.850168992495459,0.3179658080486421,28.0
