建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
吾居吾墅,基隆市安樂區基金三路80巷37號,17.8,9,18,1.727612102301477,0.4160504444075847,24.0
國揚大地,基隆市安樂區基金一路121巷8號,13.7,16,11,1.138769690452928,1.0895435901647648,33.0
水天漾,基隆市安樂區,23.8,16,15,0.5514267586756557,1.080828788228893,18.0
名軒山莊,基隆市安樂區武隆街103巷68號,11.9,16,17,1.8356511757834648,0.3718196243593741,21.0
莫內花園二期,基隆市安樂區樂利二街62巷373號,18.1,14,10,0.5052499843837149,0.469321079627418,74.0
邀月,基隆市安樂區武隆街103巷61號,13.7,15,18,1.9055469490165529,0.3893413875797042,21.0
竹の園NO.9,基隆市安樂區武崙街200巷1號,25.0,7,12,0.9120652084062476,0.2089488755661322,29.0
天母綠墅公寓大樓,基隆市安樂區樂利三街26號,12.9,23,11,1.091994718303956,0.5480782695645943,51.0
武隆錸德,基隆市安樂區武隆街59巷29號,20.2,23,16,1.412089854144171,0.2356531634670121,24.0
天地別墅,基隆市安樂區基金三路102號,12.3,25,16,1.0312707275061357,0.6569035242905792,26.0
