建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
歐洲之旅,新北市三峽區三樹路245號,36.8,17,21,1.3512286964794462,0.2450379218552826,624.0
遠雄大學劍橋,新北市三峽區學勤路180號,43.0,15,20,1.621697321728621,0.2309673349663688,568.0
遠雄耶魯,新北市三峽區學勤路178號,44.4,13,20,1.6335749007916422,0.2175914005174717,568.0
麗寶維也納花園,新北市三峽區大學路39號,43.5,17,22,1.084417775752929,0.0352420545309304,657.0
大英博物館,新北市三峽區學成路81號,42.5,16,23,0.9869374766255172,0.1521817461664628,609.0
上北大,新北市三峽區大觀路130號,39.4,16,20,1.4603042030596096,0.0999884265394723,558.0
樂河郡京河,新北市三峽區民生街1巷5號之108,36.5,8,24,0.5394456448877388,0.5561997159997967,269.0
北大MBA,新北市三峽區國際一街80號,40.5,16,23,0.9099537166622228,0.1939275687249327,578.0
立信鼎峰,新北市三峽區大同路231號,30.1,8,25,1.22315264947403,0.1505826987247104,75.0
北大愛悅,新北市三峽區大德路280號,41.8,11,21,1.5169775405866537,0.4138933508653077,602.0
爵仕悅,新北市三峽區學府路100號,36.2,14,19,1.584161766835971,0.2014794891632793,549.0
櫻花學《家學區》,新北市三峽區弘園街52號,30.9,3,26,1.2188195915338065,0.2189914517017444,60.0
益展上河景,新北市三峽區中園街15號,32.4,10,24,1.1097507602631798,0.1743992856116417,87.0
四季會館,新北市三峽區學成路278號,43.1,16,21,1.398951127613474,0.2582933232846139,653.0
皇翔玉鼎,新北市三峽區學成路307號,41.4,10,21,1.509029381610546,0.3638498082438714,609.0
花開富貴,新北市三峽區中正路一段276號,29.7,30,28,0.8398442852176992,0.1335593728376743,103.0
萬寶隆,新北市三峽區大義路189號,41.3,14,21,1.6079034345750072,0.4209710342397598,576.0
峇里島花園,新北市三峽區中山路305號,35.6,17,18,0.0911001507879638,0.7025985065929213,125.0
台北大學城二期,新北市三峽區復興路457號,38.5,27,22,0.0799163182671927,0.643001098491396,144.0
太子國際村,新北市三峽區國慶路148號,44.1,16,23,1.051233058674551,0.1495119188046423,617.0
北大隆恩,新北市三峽區大學路19號,38.2,6,22,1.00867393130518,0.0641557241601427,610.0
達人生活,新北市三峽區大觀路301號,37.9,17,20,1.3928507046939806,0.0862407635346709,565.0
將捷MIT,新北市三峽區大學路113號,45.4,5,21,1.3177297794360503,0.0853217183479056,669.0
哈佛學園,新北市三峽區國際二街9號,46.8,15,22,1.2254048392021626,0.1279224922739314,665.0
台北大學城一期,新北市三峽區復興路369號,38.4,28,19,0.0512919448837895,0.5385732436858713,170.0
小巨人,新北市三峽區大同路12號,30.0,25,26,0.1162656511099491,0.0517154491825283,150.0
立信華府DC,新北市三峽區中華路38號之2,33.9,4,25,0.5264001754951833,0.1103958365805104,214.0
美立方,新北市三峽區溪東路163號,25.0,5,24,2.563103859586956,0.2342669070509436,14.0
長江三峽,新北市三峽區復興路38號,35.5,28,21,0.8088575471664711,0.2551403304886034,408.0
台北維也納,新北市三峽區中正路一段114號,32.0,25,27,0.4768334940596337,0.2255719914274036,191.0
台北加大,新北市三峽區民生街29號,39.3,27,24,0.6658231827023481,0.4043923660527178,377.0
凱悅首席,新北市三峽區愛國路178號,34.1,16,25,0.368303029706631,0.2231759719892852,201.0
薇多綠雅E,新北市三峽區二鬮路136巷24弄67號,16.2,28,32,3.023959432748547,0.9580507821737866,20.0
巴黎花都,新北市三峽區學成路283號,39.4,16,22,1.423797835683334,0.2965940374612165,653.0
WISH歐洲,新北市三峽區大德路16號,34.1,17,21,1.3200763277218546,0.1775858619999286,651.0
雙星報喜,新北市三峽區三峽鎮國光街3號,32.9,19,22,0.8274359999550467,0.2043677988529606,485.0
樂河郡NO.9-禮河,新北市三峽區民生街1巷1號之56,39.9,4,25,0.4856539520572822,0.5728486553334956,277.0
樂河郡悅河,新北市三峽區民生街1巷1號之51,36.8,7,25,0.4856539520572822,0.5728486553334956,277.0
YES歐洲,新北市三峽區大德路2號,43.6,18,21,1.231005984655298,0.1423088230367111,652.0
樂河郡-豐耘,新北市三峽區民生街1巷1號之65,43.5,1,25,0.4856539520572822,0.5728486553334956,277.0
觀天下,新北市三峽區大同路186號,22.4,27,26,0.7835124588602265,0.1235759831843452,134.0
皇翔峇里島(南區),新北市三峽區大智路63號,34.3,17,19,0.220156807535268,0.7223252414045815,112.0
和毅逸品,新北市三峽區大同路206號,33.3,10,25,1.1860122719130006,0.0809509958112607,89.0
榮耀聖城,新北市三峽區大學路206號,36.7,7,20,1.3582076217381926,0.0081546323370244,556.0
悅灣悠悅,新北市三峽區民生街1巷6號之1,38.9,8,25,0.4856539520572822,0.5728486553334956,277.0
樂河郡耀河,新北市三峽區民生街19巷7弄2號,40.6,8,24,0.5502434028791582,0.5251638926723631,322.0
遠東生活館,新北市三峽區中華路75巷9號,29.4,26,26,0.5972484142551004,0.1223018796626837,203.0
大樹小墅,新北市三峽區大同路39巷28號,35.1,4,27,0.3817012139724385,0.2950580543907445,100.0
耕讀園,新北市三峽區大學路99號,50.7,10,25,1.2616723584534235,0.0,670.0
樂河郡-尚河,新北市三峽區民生街1巷5號之97,40.7,5,24,0.5394456448877388,0.5561997159997967,269.0
錢龍,新北市三峽區復興路162號,30.7,29,21,0.8133702099316173,0.2157547214058099,452.0
皇都三期,新北市三峽區國光街39號,29.3,31,24,0.8188635103892935,0.2427639191295396,457.0
富貴及第,新北市三峽區大同路48巷17弄8號,25.2,28,28,0.298150112872669,0.2502803741126473,160.0
中北大,新北市三峽區大德路469號,40.3,14,20,1.5104455963387693,0.1855466006194387,563.0
長虹金第,新北市三峽區民生路88號,41.3,20,19,1.0165156974550886,0.295886195486456,180.0
合康森悅,新北市三峽區民權街170巷48號,30.1,7,25,0.9527586320905392,0.1733975052707888,165.0
三峽居易,新北市三峽區中正路一段171號,32.7,28,26,0.608210711538378,0.1836260745716303,175.0
上河雅,新北市三峽區中園街9號,32.4,9,24,1.0149920276129745,0.1893127217954292,133.0
濟弘大廈,新北市三峽區臺北縣三峽鎮大義路1號,37.3,13,21,1.4143550705509982,0.2994965052262746,600.0
鼎禮,新北市三峽區臺北縣三峽鎮學府路32號,39.1,13,19,1.437774783350396,0.0889122893871742,550.0
蝴蝶廣場采風座,新北市三峽區愛國路176號,25.6,27,25,0.3615417432664846,0.2277311469250269,198.0
伯爵花園,新北市三峽區中華路11巷16號,35.0,14,25,0.4324548107253714,0.195563441149112,209.0
富甲河美,新北市三峽區忠孝街29號,34.5,12,24,0.8125714439803814,0.3580740698680482,283.0
北大璞園,新北市三峽區學勤路86號,28.0,15,21,1.422167129644146,0.2564949693277309,580.0
富甲山河,新北市三峽區忠孝街27號,34.8,13,24,0.8143106604119158,0.3603953106641644,284.0
北大頤荷園,新北市三峽區大學路116號,41.6,12,21,1.3381959535645171,0.2385414159404194,651.0
祖師天廈,新北市三峽區中華路15巷11號,30.1,27,27,0.4671590619376878,0.1374994591262116,211.0
台北大,新北市三峽區學成路159號,40.6,9,23,1.204342066619547,0.1785755790582536,677.0
三峽翠亨,新北市三峽區復興路21號,35.1,24,25,0.780745970894466,0.2962341645001373,382.0
麗寶康橋水花園,新北市三峽區國慶路102號,35.4,16,23,0.9939394205668888,0.1142403082937125,603.0
立信綠園道,新北市三峽區愛國路75號旁,25.9,1,24,0.3663880984397217,0.2808967446995621,206.0
大學一號院,新北市三峽區學勤路1號,39.8,2,20,1.3253889073508685,0.1673650628508013,580.0
台北御花園,新北市三峽區中山路117號,24.5,28,21,0.2892937425570063,0.0299502097337866,229.0
長泰聚,新北市三峽區長泰街68號,31.0,4,24,0.245214319263369,0.3446900937548887,193.0
悅築,新北市三峽區長泰街23號,29.5,7,26,0.0928733921460077,0.1798909506619398,159.0
文傑雙綻,新北市三峽區大同路39巷42號,26.5,1,27,0.3944225116333646,0.3075523582408755,100.0
薇多綠雅D,新北市三峽區二鬮路136巷20弄83號,17.5,31,31,3.0899317372462822,0.9106159680806032,20.0
威鎮江山,新北市三峽區民權街190號,26.6,26,24,0.9752339015589568,0.1925494303848075,180.0
尊龍,新北市三峽區復興路176號,39.2,29,21,0.7520123501358347,0.1434848523853339,428.0
住福,新北市三峽區和平街36巷13號,31.3,26,22,0.8103386684081297,0.3058164988499517,358.0
中正星鑽,新北市三峽區中正路一段213號,26.6,25,26,0.7154295076298415,0.1022961307673304,151.0
北大樂馥,新北市三峽區中山路459巷92號,24.5,3,19,0.8540976652973091,1.3828376809937617,36.0
25藝,新北市三峽區大觀路12號之6,43.7,5,22,1.431803128186423,0.3333180594624749,642.0
26藝,新北市三峽區大學路107號,36.5,4,25,1.269367996756049,0.00859832498879,668.0
櫻花學《品學區》,新北市三峽區弘園街48號,31.0,3,25,1.1615991982994185,0.1182345825210763,82.0
濟宏大廈,新北市三峽區學成路303號,36.3,11,23,1.448711632149261,0.3133742963106144,649.0
北大悅園,新北市三峽區大德路135號,43.0,10,21,1.489773889119835,0.3900300050879398,605.0
和穎風和,新北市三峽區國光街500號,28.8,6,21,0.7591222048419773,0.1431221487642096,460.0
長展日綻,新北市三峽區大智路8號,36.3,4,19,0.1750001321015829,0.7531087912604066,103.0
立信御峰,新北市三峽區中正路二段18號,28.1,5,27,1.655304873418243,0.888569589040159,25.0
甜蜜EGO,新北市三峽區文化路288號,21.9,19,20,0.2392562187506613,0.2739883959082414,216.0
三希堂,新北市三峽區中正路二段372號之1,20.9,9,30,2.6799794315017342,0.4491986149818469,26.0
國賓公園,新北市三峽區安溪路309巷13號,22.3,26,25,0.5292739944997414,0.2627356773482776,230.0
南北大,新北市三峽區國際一街30號,36.7,15,22,1.1939154042198692,0.0961992064242362,674.0
富貴明園,新北市三峽區復興路1號,23.6,22,24,0.669093325584423,0.3983244676524144,338.0
晶富苑,新北市三峽區大同路236號,34.4,3,25,1.305310229163135,0.2364894742311601,59.0
台北新界(A.B.C)區,新北市三峽區大同路88巷1號,24.7,27,27,0.4301069883563967,0.3143660292655893,148.0
北大馥園,新北市三峽區學勤路10號,44.4,14,21,1.330921109335283,0.2186578610638586,585.0
