建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
三芝熱帶嶼,新北市三芝區樂全街號,11.1,26,57,7.379585398098454,1.4167992342938989,10.0
佛朗明哥,新北市三芝區淺水灣街3號,18.9,26,55,5.586341173321818,2.176079842562037,25.0
薪水居易B區,新北市三芝區三民街39巷8號,12.7,27,61,13.16552676189829,0.3287205376975167,96.0
佛朗明哥C區,新北市三芝區淺水灣街11號,14.6,25,55,5.586341173321818,2.176079842562037,25.0
薪房事,新北市三芝區淡金路二段89號,13.8,25,60,13.327877210241304,0.2729253950668753,97.0
佛朗明哥F區,新北市三芝區淺水灣街14號,16.4,26,55,5.581619323051728,2.171444509459137,25.0
淺水灣B棟,新北市三芝區芝麻三街11號,14.5,26,56,5.307157867107114,2.0369954515997164,18.0
佛朗明哥B區,新北市三芝區淺水灣街7號,14.8,26,55,5.586341173321818,2.176079842562037,25.0
佛朗明哥DE區,新北市三芝區淺水灣街10號,13.8,25,55,5.586332379425031,2.173961882111923,25.0
拾翠山莊B,新北市三芝區埔尾9號之35,9.0,26,58,11.71156816828278,1.409495332824192,4.0
薪小居易,新北市三芝區淡金路二段43號,11.5,27,60,13.36753552555142,0.203396585403732,97.0
拾翠山莊A,新北市三芝區埔尾9號之67,9.6,26,58,11.71156816828278,1.409495332824192,4.0
文昌狀元第,新北市三芝區公正街30號,11.5,26,59,13.113299081671338,0.1225629419216755,95.0
山水龍城,新北市三芝區中正路三段26號,12.3,26,58,12.5705840788021,0.5294632986326625,95.0
御都大樓,新北市三芝區中正路二段18號,10.5,27,60,12.810612372574816,0.4171933879566865,99.0
三芝天下,新北市三芝區中正路三段9號,11.1,28,59,12.70183740701893,0.4074680056806098,98.0
統帥花都,新北市三芝區中興街一段42號,9.2,28,59,13.072287124427358,0.338639804140949,90.0
