建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
麗寶之星T1,新北市三重區中正南路250巷15號,53.2,14,9,0.878068731,0.393024911,409
雙捷匯,新北市三重區三和路一段81號,54.8,7,11,0.428607334,0.542785392,959
美麗新境,新北市三重區重新路五段509號,57.2,13,14,0.168719473,0.540056684,82
合康柏悅,新北市三重區集仁街10號,55.3,12,19,1.173504498,0.2523943,401
翔譽A+成功特區,新北市三重區成功路100號,56.6,7,9,1.084514764,0.565933735,243
觀瀾,新北市三重區三和路一段21號,61.6,2,12,0.439667874,0.704538667,931
寶石天第,新北市三重區重陽路一段號,38.7,27,11,0.429070594,0.298954459,434
冠德捷世,新北市三重區重新路三段150號,62.9,8,10,0.167464791,0.401162864,742
阿利阿多,新北市三重區力行路一段62號,41.7,27,14,1.11156885,0.256343074,464
合康達觀,新北市三重區仁義街345號,54.3,15,16,2.701115,0.397478304,137
五華悅,新北市三重區五華街92號,50.7,6,17,2.398106166,0.425029905,172
河景站,新北市三重區福德北路18號,64.9,2,10,0.295091228,0.62363338,930
臺北捷座,新北市三重區重新路五段481號,47.0,4,14,0.334634515,0.409876657,77
大道首璽,新北市三重區集英路97號,53.0,7,18,1.150310727,0.330217388,388
萬象之都忠孝第一站,新北市三重區中正南路230號,46.9,27,9,0.758941542,0.326471919,467
築城經典,新北市三重區溪尾街177號,49.5,14,19,1.33881403,0.483759799,367
紐澤西A區,新北市三重區自強路五段106號,54.6,15,18,2.58762675,0.639542772,123
集美學大不同,新北市三重區集美街223號,53.6,9,9,0.66352094,0.163238492,474
合新大河公園,新北市三重區富貴街13號,57.8,7,18,1.715441788,0.361710798,132
台北光河,新北市三重區環河北路三段460號,47.2,15,17,1.809157688,0.357978705,118
合康馥裔,新北市三重區進安街36號,54.1,16,17,2.604542953,0.590932533,122
左岸LaVie,新北市三重區富貴街18號,47.1,14,17,1.752072357,0.37958703,129
福利旺,新北市三重區過圳街2號,41.9,25,10,0.30415634,0.258049846,471
三多立涵美,新北市三重區集賢路11號,45.8,10,15,2.384678994,0.513077759,129
樹一品,新北市三重區重陽路四段66號,44.6,5,13,0.228435242,0.240650644,776
蒙特里安,新北市三重區集賢路186號,47.8,6,18,1.081536848,0.504845557,380
合康映月,新北市三重區進安街52號,47.5,15,16,2.664205867,0.534776912,131
春和景明,新北市三重區疏洪東路一段136號,51.2,1,11,1.076679159,0.553111712,251
麗緻花園,新北市三重區重新路四段101號,52.3,18,11,0.848694081,0.329058501,317
紐約紐約二期,新北市三重區集勇街19號,56.1,12,19,1.005784039,0.444027644,443
翔譽雙子星大樓,新北市三重區中正南路233號,51.6,9,10,0.816415894,0.310291037,409
三重第一站,新北市三重區大同北路128號,36.7,27,12,0.478854148,0.313633529,1163
日安巴黎,新北市三重區永安北路二段171號,51.4,12,19,0.902292323,0.543578282,458
冠德美麗台北大廈,新北市三重區重新路一段108號,60.5,10,10,0.02234879,0.442092069,879
天闊,新北市三重區環河北路三段506號,58.6,14,17,1.723637705,0.482454603,121
幸福藝術家,新北市三重區三和路四段237號,50.0,28,20,0.055722627,0.08198424,480
鑫寶喜悅,新北市三重區中正北路110號,44.5,7,13,0.680549368,0.266232343,403
葉隱集,新北市三重區集賢路161號,49.0,14,17,1.486347004,0.257189764,226
吉美水豔,新北市三重區環河北路三段396號,45.1,14,17,1.829907739,0.326414325,122
三千家,新北市三重區重陽路一段26巷33號,54.5,11,12,0.648709941,0.29107899,372
仁仁愛,新北市三重區仁義街79巷23號,53.0,2,16,2.150499357,0.814527623,209
國泰悅,新北市三重區重新路五段385號,46.7,1,15,0.721438746,0.298102517,51
長隆天美,新北市三重區重新路二段43號,62.3,3,12,0.268274185,0.347817295,927
捷運京典,新北市三重區光陽街66號,60.9,4,11,0.885179196,0.558167649,295
左岸京站,新北市三重區疏洪東路一段38號,57.2,1,10,1.383381777,0.868870574,176
寶石典藏家,新北市三重區捷運路39號,46.2,19,12,0.823951735,0.386687473,338
合康心綻,新北市三重區捷運路22巷30號,51.5,2,11,0.922928949,0.412815008,300
天臺通商大樓,新北市三重區重新路二段70號,28.7,30,11,0.249034402,0.339271329,896
雙站匯,新北市三重區福祉街,48.1,2,11,0.992046957,0.475544582,271
三和正旺,新北市三重區三和路三段172號,49.3,13,15,1.369101943,0.288051917,686
佳昌大都會九期,新北市三重區成功路110號,46.9,26,9,1.068402293,0.551264433,249
太平洋花園,新北市三重區三和路四段16號,48.3,24,16,1.461419104,0.246061484,610
怡華躍龍門,新北市三重區仁愛街99號,56.9,6,16,1.27849297,0.473184943,703
荷堤,新北市三重區環河南路36號,54.9,22,11,0.309011018,0.469549139,894
薪易臻品,新北市三重區力行路一段60號,34.7,22,14,1.094253648,0.250328084,471
台北橋花園,新北市三重區中央南路111號,57.9,25,12,0.336758468,0.295915681,833
弘盛仁富,新北市三重區仁安街17號,51.2,7,19,0.949104297,0.475797358,475
歌德花園莫札特區,新北市三重區進安街182號,46.0,16,15,2.59229611,0.24863905,139
金枝玉葉,新北市三重區重新路三段74號,41.4,25,11,0.301506318,0.519707977,943
尊皇大都會二期,新北市三重區仁政街126號,37.0,18,19,1.986257207,0.589998767,485
晶鑽遇見幸福,新北市三重區國道路一段18號,51.7,4,16,1.415703219,0.219501111,517
鴻華天水,新北市三重區環河北路三段490號,54.6,1,17,1.741855414,0.467646495,120
冠德天晴,新北市三重區中正北路88號,60.6,4,12,0.617862688,0.314572654,457
集英堡三期,新北市三重區三德街25號,43.4,12,19,1.022529498,0.449107257,419
日健昇,新北市三重區長元街100號,56.4,9,12,0.531241988,0.470494503,959
水景花園,新北市三重區環河北路一段350號,47.0,23,12,1.122289802,0.222762385,567
站前囍市,新北市三重區重新路三段100號,45.8,26,10,0.236144926,0.513247331,911
三和名門,新北市三重區三和路二段37號,50.2,26,11,0.518551081,0.348406687,958
徐匯棧,新北市三重區仁安街99號,44.4,1,19,0.796956107,0.516929193,497
台北鳳都,新北市三重區重陽路一段1號,48.2,26,11,0.510818861,0.143311509,411
極境大廈,新北市三重區集賢路37號,41.4,13,15,2.430699301,0.411336905,134
巴黎麗舍,新北市三重區進安街27號,51.8,16,17,2.649831134,0.601450944,127
常勝江山D區,新北市三重區環河北路二段300號,39.8,24,14,2.367803807,0.837096072,129
重陽富貴,新北市三重區正義北路364巷33號,44.3,27,15,1.149753526,0.305432417,826
鴻華欣苑,新北市三重區集仁街56號,47.3,9,18,1.079000014,0.375713962,423
臨江仙,新北市三重區集賢路25號,34.7,14,15,2.418579078,0.454096001,134
千江月大樓,新北市三重區集賢路16號,61.1,10,17,2.554152112,0.235212557,141
歐風名家二期,新北市三重區重新路四段184巷7弄11號,33.0,22,12,0.790164473,0.260039843,337
全坤峰景,新北市三重區集賢路108號,46.1,11,17,1.7821132,0.251286843,128
台北橋頭第一讚,新北市三重區福德南路37號,48.0,23,10,0.299742356,0.54404523,897
集美鼎豐,新北市三重區新興路12號,42.7,2,10,0.887494902,0.355724885,342
摩宿,新北市三重區中正南路8巷10號,62.8,10,12,0.318275617,0.507972751,960
