建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
力霸山河,新北市中和區成功路129號,47.6,26,22,1.0730865821012423,0.6830927541675652,173.0
天空之城,新北市中和區景平路250號,51.4,22,12,1.9065936871578928,0.3312680932428429,390.0
華中捷仕堡/台北囍多,新北市中和區中山路二段228號,54.1,24,14,0.1193741048676605,0.440611165336966,877.0
宏璽新世界,新北市中和區景平路433號,55.9,26,14,0.7194638110929304,0.4646264952413464,949.0
翡麗,新北市中和區中興街220號,54.0,14,16,0.7777011534317908,0.1403297933805756,515.0
翔之譽,新北市中和區水源路132巷7號,69.4,7,19,0.4085989424303784,0.249771945485684,738.0
心中市,新北市中和區中正路號,47.9,24,9,1.357903618903746,0.4446027527381709,298.0
遠雄CASA,新北市中和區中原三街9號,56.8,2,12,1.3910566812381846,0.7962776839259609,143.0
天下為公,新北市中和區中正路267號,46.1,28,15,0.2556930950189827,0.419954806374142,823.0
遠雄百富,新北市中和區中原二街26號,58.9,2,12,1.3938287931018425,0.7933538885920909,142.0
頂高i-LIFE,新北市中和區連城路71號,57.0,15,14,0.1334686203955684,0.4363208902848106,966.0
雙合ART,新北市中和區中正路277號之6,46.9,12,15,0.2556930950189827,0.419954806374142,823.0
美麗時代,新北市中和區福祥路68號,58.2,15,13,0.3871429644710799,0.6314523485658511,705.0
安邦綠苑甲區,新北市中和區連城路171巷18號,49.4,12,15,0.558269861586777,0.6379162039514936,1010.0
元利和平世紀麗池區,新北市中和區忠孝街2巷10號,46.0,11,19,2.046291495187307,0.3418954444870564,173.0
遠雄左岸采梅園,新北市中和區中原二街127號,55.6,9,12,1.8054502850695484,0.3822539061054435,471.0
快易居,新北市中和區景平路288號,59.8,20,12,1.7911850316418036,0.3065385697844384,435.0
漢皇馥麗,新北市中和區中山路二段261號,52.0,13,17,0.1465115670780871,0.5197025175243429,913.0
杜樂麗大廈,新北市中和區成功路99號,53.1,15,22,1.1074053446525018,0.6376829695901121,171.0
遠雄左岸-錦繡園,新北市中和區中原五街28號,53.3,7,11,1.5774216742453244,0.6121578581755619,229.0
咊暘和,新北市中和區南華路、景平路,55.9,47,14,0.7970375811121556,0.5110396538673115,932.0
擎天華城,新北市中和區興南路一段85巷39號,49.7,9,15,1.7691303209264535,0.1525748103406148,345.0
吉第財星,新北市中和區安樂路1號,51.6,26,12,1.7215850661375058,0.4961077486874284,475.0
上荷紀,新北市中和區大勇街47號,60.0,17,23,1.839799766762848,0.2904971077606156,361.0
裕豐大廈,新北市中和區永和路18號之1,54.3,25,14,0.2025295054112723,0.4228605215178774,881.0
秀山園,新北市中和區自立路17號,54.0,3,23,1.7235487241142036,0.0543665651378172,233.0
麗泉皇宮,新北市中和區連城路89巷48號,46.2,13,16,0.2931774372891553,0.4698392169991462,1002.0
美麗永安二期,新北市中和區中和路402號,62.6,16,16,0.1389686647293072,0.5681196511603641,472.0
漢來喜朵,新北市中和區秀朗路三段93號,52.1,10,21,1.3317723687599237,0.5448596444535302,171.0
國揚青年市,新北市中和區橋和路150號,46.5,24,13,0.6555786822467915,1.041306010551955,546.0
中和摩天東帝市,新北市中和區景平路168號,50.2,25,12,1.9556107301034604,0.3196742224156748,342.0
南方之星,新北市中和區捷運路50號,61.8,12,15,1.4727583819630974,0.4230625892755183,516.0
地球村,新北市中和區景新街498號,50.0,26,14,2.1500254968190764,0.3660459294736378,242.0
冠德住易,新北市中和區景德街30號,49.7,25,14,1.8211535815690545,0.3266632280982675,323.0
花園廣場,新北市中和區中正路819號,45.8,23,13,1.3839060185574854,0.4047067637942875,297.0
達永．沐夏,新北市中和區工專路66號,50.5,2,20,2.04069534479376,0.2059063643546522,90.0
森之郡翡翠,新北市中和區圓通路299巷6號,45.6,14,16,0.2682628405211961,0.4255636581389284,531.0
凱悅廣場,新北市中和區中正路753號,43.0,26,12,1.1969043737301772,0.2830695963418722,287.0
捷運帝國,新北市中和區忠孝街124巷8號,50.4,27,16,2.0709934721202456,0.3439153785264412,243.0
遠雄錸儷,新北市中和區中原街136號,53.2,6,10,1.6835222158679866,0.5178873191669746,259.0
微風Villa,新北市中和區保平路326巷13號,61.4,13,18,0.8675423215098376,0.2999472779772939,703.0
映象太和,新北市中和區建康路178號,57.1,4,13,0.7245785850585623,0.8076276301761404,809.0
源力時代,新北市中和區員山路322號,43.5,6,16,1.344121216960776,0.8055261615461846,35.0
雙和星,新北市中和區中和路210號,52.0,15,15,0.7629323303223318,0.2199954009831244,1013.0
綠INN,新北市中和區中安街88號,71.9,1,16,0.2419930631876874,0.5378781136114582,456.0
新歐洲,新北市中和區中興街204號,49.2,14,15,0.6959398405431444,0.2049044970432907,546.0
双捷一品,新北市中和區景平路402號之2,62.2,1,11,1.4428978107800607,0.5744938075289346,588.0
龍景天下,新北市中和區華新街143巷106弄12號,34.7,26,20,1.843050289910834,0.1364023831266936,77.0
美麗永安,新北市中和區中和路390號,75.6,16,16,0.1769418184866607,0.5495537023783793,477.0
皇家豪景,新北市中和區中安街200號,65.8,22,14,1.368622391592733,0.6952550546328177,496.0
捷年高昇,新北市中和區台新街11號,45.4,23,10,1.95865427815764,0.4983040360008698,338.0
日光大道,新北市中和區中正路78號,57.6,22,15,0.7097803632201437,0.4825474214522829,836.0
香榭麗池,新北市中和區南山路258號,47.4,3,15,1.4978607173004592,0.2409518087967029,408.0
美麗景安,新北市中和區景平路488號,58.2,15,12,1.090210587066047,0.5508446418906038,829.0
法國玫瑰,新北市中和區連城路601號,40.0,16,14,1.5316013048868682,0.0726148694802761,133.0
華泰椰城椰泉區,新北市中和區安平路55號,53.0,27,12,1.3383685499578135,0.4732967595758373,635.0
國泰晶鑽,新北市中和區圓通路297巷9弄10號,36.2,25,17,0.2044556876833644,0.3776553874624714,584.0
童話特區,新北市中和區連城路91號,50.9,24,15,0.2843475954055223,0.4946456006171983,993.0
華南名人巷,新北市中和區中興街2號,54.3,25,14,0.7910442240062764,0.5178532677242359,928.0
錦和聚,新北市中和區圓通路296巷11號,40.9,7,16,0.679877808880089,0.1582085545523623,145.0
金如意,新北市中和區興南路二段34巷12號,43.5,26,17,1.4854202052050078,0.2235407175006132,282.0
百年好合,新北市中和區秀朗路三段177號,52.7,27,23,1.2307976004466683,0.5569314911656893,172.0
C22商業廣場,新北市中和區中和路102號,44.0,29,16,0.3107392747659222,0.0875969369114875,1024.0
合宜皇冠,新北市中和區圓通路176號,49.2,26,15,0.3899036677418774,0.5443687644710594,932.0
原宿大樓,新北市中和區圓通路250號,52.5,10,15,0.1046879066002898,0.2692961600778222,550.0
和平世紀麗緻,新北市中和區忠孝街2巷8號,49.1,12,19,2.051690126564268,0.3700503712557904,176.0
高爾花園大樓,新北市中和區宜安路100號,48.0,13,13,1.3067900097654517,0.6864340027087691,601.0
四知新城,新北市中和區連城路146號,41.3,18,14,0.5425576805101116,0.6933407855271059,978.0
肯佳馥喆,新北市中和區中山路二段158號,63.3,5,15,0.0646722744532634,0.3411487944515152,932.0
捷運YSL,新北市中和區景平路418號,59.9,15,15,1.3291668300614718,0.7296833393358118,638.0
冠德蝴水映,新北市中和區中原五街51號,46.6,5,12,1.6009695205349532,0.6014386426573891,214.0
皇后大道,新北市中和區中正路210號,41.6,28,14,0.3565175386247284,0.5189410737445986,907.0
世紀皇家,新北市中和區連勝街1號,50.3,22,15,0.3706834929931558,0.0437238493436282,1010.0
協和紀森活館,新北市中和區宜安路168巷6號,61.0,9,15,1.1351874832846305,0.1084904092371813,719.0
合康雙捷市,新北市中和區中正路211巷36弄7號,54.9,14,16,0.3810432921582753,0.5591715104189564,721.0
景安捷作,新北市中和區中正路62號,60.8,1,15,0.8004972321543441,0.4631569823269134,832.0
遠雄左岸玫瑰園,新北市中和區中原街86號,54.0,9,11,1.3015181598376109,0.8918728167222698,151.0
日麗華廈,新北市中和區南華路17號,38.4,22,16,0.7863410826479584,0.4584155669423563,960.0
永富萬世,新北市中和區景新街467巷38弄10號,44.3,28,16,2.030670707610945,0.1401850352788884,267.0
輕鬆購,新北市中和區員山路327巷96號,48.7,6,13,1.804298252793201,0.2087661477214502,293.0
皇普大道東,新北市中和區景平路59號之10,52.2,26,22,1.5207326584668586,0.495549285681803,222.0
龍田吉市,新北市中和區中正路122號,47.7,24,15,0.6314919982179459,0.5232300902095689,868.0
天下為公二期,新北市中和區民德路26號,45.1,28,10,0.8231288340825154,0.3147045301759373,431.0
中山富邑,新北市中和區中山路二段137號,38.9,30,16,0.0342342897405527,0.3042753135600246,945.0
遠雄左岸牡丹園,新北市中和區中原東街78號,60.0,6,12,1.6572155479908743,0.5505009481516017,266.0
飛駝一村二期國宅,新北市中和區興南路二段159巷11號,37.2,28,18,1.581727467801758,0.3189306386820899,179.0
麗寶水花園,新北市中和區民樂路23號,53.0,17,10,1.4269078033926177,0.2640077541466878,298.0
都會大亨,新北市中和區中山路二段100號,43.2,25,16,0.0630995463125131,0.0832762498914806,889.0
台北瑞士荷風,新北市中和區華新街109巷18號,38.7,27,19,2.0169890688047616,0.2321505433425104,140.0
弘韋雙禧園,新北市中和區南華路67號,65.0,6,14,0.7726218365012886,0.3824309217290505,997.0
美國華城,新北市中和區連城路87號,52.2,28,15,0.258195811178169,0.4831512188553444,992.0
帝景,新北市中和區景新街10號,42.4,13,15,0.504732781589071,0.1163328508188806,1062.0
第王,新北市中和區中山路二段32號,39.7,23,16,0.223625962160329,0.1787606261601601,768.0
景安京璽,新北市中和區中正路135號,49.9,10,13,0.6197558635861646,0.4716793831995953,812.0
漢寶の丘,新北市中和區工專路126號,43.0,2,20,2.1310261051535724,0.2965500970221839,100.0
冠倫頂客,新北市中和區中和路241號,50.6,25,15,0.6734186092844583,0.1496553258602852,1047.0
康翔香里園大樓,新北市中和區宜安路92巷16號,58.4,8,14,1.3720228774174503,0.7329677772033903,552.0
銀河皇家,新北市中和區中山路二段213號,39.9,33,16,0.0639241761053826,0.3975094378924138,921.0
宜安君品,新北市中和區宜安路18巷22號,59.7,1,14,1.6522919977209731,0.7575609073681417,463.0
昇陽之冠大廈,新北市中和區中山路三段114巷56號,42.3,10,9,1.7352758264076342,0.5254191381147321,472.0
連城智慧,新北市中和區連城路267號,37.4,30,15,0.4842368971429775,0.39939085773611,624.0
景安國宴,新北市中和區明禮街33號,59.2,18,14,0.8573336224903924,0.4834721698678722,988.0
布拉格,新北市中和區中正路196號,50.0,17,14,0.3985853671228886,0.5640783789306802,904.0
真善美花園,新北市中和區南華路53號,53.6,29,14,0.7744350610695189,0.3951495513918224,1002.0
雅舍小品（景平路）,新北市中和區景平路761號,48.3,28,14,0.4215508869194701,0.8017327795938092,683.0
仁愛好樣,新北市中和區中山路二段64巷30號,44.2,6,15,0.2275231495516021,0.1562684790754366,691.0
任遠中和捷座二期,新北市中和區景平路161號,56.0,27,14,1.7626105026392118,0.4129264636144605,456.0
捷運華格納大廈,新北市中和區南山路81巷61號,57.2,16,14,0.7383637123617629,0.3485113956652977,1016.0
經典歐洲,新北市中和區民樂路7號,46.2,18,11,1.5296006254159646,0.2204753885365802,304.0
景安南華,新北市中和區景平路425號,56.0,6,14,0.802669220084814,0.5201184108350152,931.0
泰安,新北市中和區中和路254號,52.3,25,15,0.9525876253689782,0.1703923734177266,875.0
豪美,新北市中和區中山路二段276號,48.4,38,13,0.2174080077680495,0.5900752368738471,880.0
中和我的家,新北市中和區中興街136號,44.5,25,15,0.6028582710927399,0.3527992522297007,668.0
摩登大國,新北市中和區中正路19號,56.2,26,13,0.9314610626624392,0.4172059057292694,849.0
福滿門,新北市中和區華新街109巷35號,41.4,23,19,2.0798409544004226,0.3061101212836142,146.0
曼哈頓,新北市中和區景安路43號,38.7,31,14,0.9867729618690118,0.4356705284075953,867.0
嘉德花園,新北市中和區安平路87號,53.1,14,12,1.3564408385568612,0.3854260056102412,608.0
中和第一關,新北市中和區中正路879號,33.9,29,12,1.457180849941576,0.5874384766983624,292.0
歐洲愛樂,新北市中和區中正路25號,57.5,21,13,0.9007874912146498,0.4053808450395941,834.0
灣岸Villa,新北市中和區立業路2號,58.2,1,12,0.7287044737345182,1.069793151515964,503.0
中和之星,新北市中和區景平路392號,51.0,16,11,1.5887857980617537,0.4424812279539465,551.0
捷運旺角,新北市中和區景平路396號,45.4,22,11,1.499193845265934,0.5337253076455425,569.0
遠雄悦河,新北市中和區中原街26號,66.5,3,12,1.109763878413431,1.0783314908738748,221.0
大華翠隄雙星大廈,新北市中和區成功路9號,43.5,32,21,1.243888147289065,0.5559939385845697,172.0
久泰皇品,新北市中和區員山路589號,60.8,5,7,2.0955712490115914,0.6754311430246566,659.0
龍騰華園,新北市中和區中正路503號,31.8,20,16,0.5199387837060889,0.2946879019852124,298.0
翊盛新大地,新北市中和區秀朗路三段10巷12弄13號,33.8,28,21,1.5623798326271257,0.4006091278796125,194.0
凱旋公寓大樓,新北市中和區華新街134號,30.3,30,18,1.826972629558963,0.2554055728272493,182.0
天情,新北市中和區中正路169號,52.0,17,14,0.4574388146209718,0.5797898673452813,834.0
城龍遊天下,新北市中和區中興街202巷18號,44.0,27,16,0.589437032096364,0.3342390577935974,476.0
時代金融中心,新北市中和區中和路366號,48.9,21,15,0.2489251735675134,0.4958015630437171,514.0
御書苑,新北市中和區中安街180號,61.0,29,16,1.2762581292739144,0.5935277175287847,566.0
遠雄香榭園,新北市中和區中原街10號,63.5,8,11,1.6287977819928985,0.5826898819564813,245.0
景安贊,新北市中和區中正路140號,54.4,13,15,0.600282738160145,0.5445353457327862,877.0
優悅賞,新北市中和區連勝街59號,54.6,17,15,0.5233525451953748,0.4875490641503138,1002.0
比利時特區,新北市中和區中正路11號,44.1,24,13,0.9526769578720928,0.416984570069958,851.0
喜宴大廈,新北市中和區員山路82巷6號,39.7,27,13,1.2426850118992807,0.3135257275678803,172.0
鑽石名門,新北市中和區中正路797號,38.4,25,12,1.2785473031034886,0.317037623303439,293.0
雙捷金鑽,新北市中和區景平路150號,59.6,9,13,1.842237127425832,0.3761149270888431,329.0
福喜璟安綻,新北市中和區景平路522之2號,65.5,1,16,0.9806240650597798,0.5153237499875816,902.0
