建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
晴空SKY1,新北市五股區新五路三段151號,38.3,5,21,0.2064151458993767,0.913042801206614,76.0
上河園,新北市五股區新城八路8號,37.5,6,22,4.4479365849480805,1.0972475312107024,77.0
新大直-蘇黎市,新北市五股區芳洲八路172號,36.2,8,20,4.408899540403255,1.1737736382360866,98.0
未來馥,新北市五股區新城八路406號,34.5,8,22,0.0499650519566156,0.7622103753655222,98.0
合新New Star世界之星,新北市五股區新五路三段202號,35.4,9,22,4.514320903976328,1.1520126286306436,77.0
璀璨之都米蘭特區,新北市五股區芳洲五路46號,35.1,8,19,0.6397867833549677,0.9081530414290712,104.0
麗寶微風天地,新北市五股區新五路三段266號,38.4,4,21,0.3479564677746051,1.0571694989817555,73.0
全坤尊峰公園館,新北市五股區芳洲路49號,36.7,7,17,0.371764434459611,0.5518925359915169,97.0
未來家,新北市五股區新五路三段302號,36.8,2,21,0.3336219616248272,1.053053434247424,73.0
勤樸天悅大樓,新北市五股區新城三路49號,35.9,8,22,0.0840253231005627,0.7281096170291793,103.0
春城愛,新北市五股區芳洲一路62號,39.7,1,18,0.5763243596614743,0.8317861560729807,100.0
九揚薩爾茲堡,新北市五股區新五路二段620號,34.4,3,19,0.7883625049720469,1.0901663882289183,109.0
九揚華茲堡,新北市五股區新五路二段251號,33.9,7,17,0.3374636253053162,0.6038236484750199,114.0
觀景名廈,新北市五股區成泰路四段24號之1,24.9,23,30,1.847404620298999,0.9574655288417724,52.0
星光道,新北市五股區成洲五路40號,29.3,5,20,2.426536299859698,0.3599516330249322,70.0
春城韻,新北市五股區新五路二段223號,29.5,3,17,0.2848576242160983,0.5088867608572719,112.0
貿商二村A區,新北市五股區登林路貿商巷1弄10號,18.3,20,22,1.91563747442136,0.5398073875441648,98.0
勝華景上水,新北市五股區成洲五路36號,36.7,7,20,2.4518173886554133,0.3310793737226952,73.0
漢特綠邸,新北市五股區凌雲路一段158巷57弄22號,28.9,2,23,2.6324745484522007,0.6791310277906253,59.0
新加坡華園城堡,新北市五股區登林路81號,28.9,21,22,1.9862722562261577,0.5883013513581223,76.0
新大直-伯爵花園,新北市五股區芳洲二路118號,37.1,7,19,0.6927132456260557,0.9727758525780816,109.0
世界馥,新北市五股區成泰路三段280號,35.9,7,22,0.0574310971932038,0.6842262069808096,100.0
陸光新城A,新北市五股區六合街105號,25.5,14,33,0.8793958424142168,0.7915821084778195,68.0
未來之都一期,新北市五股區芳洲五路70號,34.3,9,19,0.6858536245297785,0.9491306054034472,104.0
小宅革命C區,新北市五股區登林路96號,31.4,4,22,1.9607443419694424,0.5822845427137073,94.0
高第三米六之間,新北市五股區新城三路25號,37.0,6,22,0.0514052726526788,0.716810328722157,101.0
合新NEW STAR 二期幸福之星,新北市五股區新城八路302號,34.1,9,21,0.2970835805727241,1.0364799038614578,70.0
撲滿成家,新北市五股區五福路39號,27.6,30,20,0.7494288431746474,0.7433850311149676,86.0
樂洋洋,新北市五股區新城八路旁,39.1,1,21,0.3062533036454081,1.04623819848188,70.0
九揚傑士堡,新北市五股區御成路101號,32.2,12,21,1.035190090869034,1.139733466820116,77.0
佳陞景綻,新北市五股區成洲一路15號,35.3,8,22,0.3023188977124254,0.4629847211433134,111.0
璞麗,新北市五股區芳洲二路148號,39.9,6,19,0.7592724717194546,1.0459082311400414,109.0
台北神話,新北市五股區成泰路一段7巷15弄1號,28.0,28,21,2.152260360562864,0.5553478163954252,148.0
新圓山,新北市五股區成泰路一段189巷18號,26.0,38,19,1.058336972185176,0.1450785454946376,83.0
未來之都3摩納哥特區,新北市五股區成泰路三段218號,35.0,9,21,0.0606117027175459,0.7958825054538965,94.0
宏筑,新北市五股區新五路二段327號,34.3,5,18,0.5214795193112793,0.8126997956866306,116.0
新市界,新北市五股區凌雲路一段133巷27號,30.5,10,22,2.7444409282076707,0.2301786946245417,82.0
和耀MY FUN,新北市五股區成泰路一段61巷30號,28.9,5,21,1.950366837408241,0.4457357246304644,123.0
樂HOUSE,新北市五股區芳洲一路21號,34.1,6,19,0.4773500576618947,0.7353813664077904,105.0
金百利,新北市五股區成泰路三段311號,24.7,44,22,0.1375873532272448,0.6025395081329342,109.0
富域京站,新北市五股區成泰路三段328號,30.5,2,21,3.007023726719221,0.2391566012276981,95.0
星光道2,新北市五股區成洲五路16號,39.1,2,21,2.5255491492717885,0.2572489498708454,78.0
御璽,新北市五股區新五路三段13號,29.7,7,18,0.7837997250581554,1.0807789133703218,109.0
傳家堡,新北市五股區民義路一段101號,31.9,10,19,0.4569046687955185,0.3402134636506808,94.0
山水宮廷,新北市五股區成泰路一段189巷26號,24.3,38,19,1.0212975244201783,0.2488766916713101,90.0
摘星樓,新北市五股區凌雲路一段158巷14號,20.3,28,22,2.634413509287448,0.4981824566650523,73.0
美麗堡,新北市五股區西雲路117號,30.5,24,22,0.2979669360928763,0.969892877436866,68.0
臻美大廈,新北市五股區新五路二段371號,30.6,7,22,0.321768455313861,1.0004983058820731,69.0
薪關渡,新北市五股區成泰路四段24號之5,26.3,23,30,1.847404620298999,0.9574655288417724,52.0
台北星州,新北市五股區成泰路一段26號,37.8,26,20,1.9354168327627808,0.4548649945225914,121.0
寶祥花園C區,新北市五股區五福路32巷23號,19.5,28,21,0.6718662036665236,0.7524713494047008,91.0
合新合心,新北市五股區新五路三段16號,36.4,6,20,0.5744092239292186,0.8560350343019842,108.0
神奇福人居,新北市五股區蓬萊路24號,31.5,27,19,0.7032611892029057,0.3210188118208746,98.0
水沐芳華,新北市五股區新五路二段570號,36.2,5,20,0.4900024992975806,0.7595393379203117,108.0
祥潤峰邑,新北市五股區成泰路三段346號,32.8,3,20,2.8868152397788243,0.1274587227919871,93.0
鄉林靜朗,新北市五股區新五路二段550號,29.1,7,19,0.3990953085257653,0.6605261053244715,109.0
拾羨,新北市五股區新五路三段149號,38.6,2,21,0.2109765759392987,0.9219716487028584,75.0
一芳洲,新北市五股區芳洲五路3號,33.2,8,19,0.6928711586280177,0.9617702181186382,104.0
家美香榭廣場,新北市五股區成泰路路二段91巷21號,23.8,26,19,1.3675909363105914,0.1521377308808955,71.0
未來之都二期,新北市五股區芳洲八路90號,36.3,9,20,4.233974627142255,1.0796508001655147,112.0
