建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
合嘉快意人生,新北市八里區頂罟一路50號,29.3,2,31,8.344400616552543,0.3594701375457774,36.0
水澍之間,新北市八里區中山路一段306巷5號,21.2,1,4,0.1440882915807008,0.31527987886794,35.0
全坤家圓,新北市八里區文昌三街21號,23.4,2,31,6.788008037496602,1.027288768217608,31.0
春天戀人,新北市八里區龍米路一段198號,25.9,17,29,1.6282608122016606,0.6788983805083559,16.0
天泉大廈,新北市八里區龍米路一段208號,31.1,15,29,1.6610640057453887,0.6278208679502089,16.0
昇陽九樂,新北市八里區龍米路一段308號,37.3,10,28,1.7888989313753476,0.4546625512692854,21.0
伴月灣,新北市八里區龍米路二段38號,27.1,9,31,2.841094753775834,0.5367081916028744,7.0
地中海,新北市八里區龍米路一段442號,25.8,26,31,2.1654035422584688,0.0501829600063859,40.0
鶴馨居,新北市八里區仁愛路15號,20.7,27,31,6.950843673985951,0.6039698410622165,36.0
寶茂萊茵大廈,新北市八里區龍米路二段28號,25.5,15,31,2.7027350172153994,0.3968824826511579,16.0
麗寶台北新家,新北市八里區義民街37號,28.5,2,25,7.836251852483511,0.7488386408897905,23.0
台北晴灣,新北市八里區忠孝路327號,22.7,4,31,6.655023189101122,0.1884844905475739,30.0
綠多鶴,新北市八里區文昌五街206號,21.3,3,30,6.869045178536679,0.7739667478073184,30.0
巴里島,新北市八里區中華路二段號,20.3,27,29,6.929240893428257,0.2303664964939807,32.0
小聖心六期,新北市八里區龍形二街16號,20.4,29,30,2.0701509002599257,0.1243978063849493,21.0
麗景山水,新北市八里區中山路一段330號,17.3,28,33,6.882701196180482,0.6886059534908541,33.0
山河戀二期,新北市八里區中華路二段392號,19.9,28,25,7.129814975020418,0.3378656346571198,28.0
陽光峇里,新北市八里區文昌路59號,24.6,4,32,6.900283831839009,0.9948467270815202,32.0
勤樸天翔,新北市八里區文昌七街183號,26.4,3,30,6.74460254154772,0.7549544257925227,30.0
悅昇,新北市八里區中山路二段500巷8號,22.9,12,26,8.007687196670485,0.5456610683312136,29.0
左岸之王,新北市八里區龍米路一段188號,35.1,6,29,1.6193549148458026,0.7033087304439242,16.0
千里晴,新北市八里區商港路90號,21.6,8,26,7.690054325696442,0.7995674044797798,28.0
初戀八里,新北市八里區中山路一段129巷13號,19.3,28,33,6.7815179128522605,0.5908258852321829,35.0
山河戀一期,新北市八里區中華路二段502號,20.9,29,24,7.256445091910373,0.5344309757640816,27.0
龍井天鑄,新北市八里區中山路二段446號,29.4,1,26,7.366694673973474,0.4016823902929835,30.0
巴黎風情,新北市八里區中華路二段336號,20.9,28,29,7.049965597616695,0.1433587103321286,31.0
海岸新都,新北市八里區龍米路二段200巷12號,25.1,28,36,5.464890776093509,1.378457659135259,30.0
基玉首席,新北市八里區頂罟一路65號,21.9,4,31,8.33726138585465,0.3525969181173476,36.0
早安八里,新北市八里區中山路一段366號,14.6,27,33,6.899124913650832,0.730284752757388,34.0
富貴天下,新北市八里區商港路10號,21.0,17,27,7.462070192333197,0.6866029713638434,28.0
海艷,新北市八里區中山路一段61號,20.9,30,33,6.46351320525452,0.1432688350309366,29.0
台北雪梨,新北市八里區商港六路13號,27.5,12,26,7.655484933761493,0.6505953959009404,29.0
龍行大地,新北市八里區龍米路二段117巷1號,19.9,27,31,3.157430719769127,0.4529750033346554,5.0
Hi！台北,新北市八里區商港三路85號,27.5,2,31,8.43920754408902,0.4591912710766274,35.0
山河戀三期,新北市八里區中華路二段472號,17.8,24,25,7.198161434158829,0.4291257776747227,27.0
麗池海岸,新北市八里區龍米路一段238號,34.2,21,29,1.7084988736086848,0.5721385491503241,16.0
佑翰第一綻,新北市八里區四維街7號,25.4,5,32,6.403729572191242,0.3998040566726777,31.0
在水一方碧連天特區,新北市八里區頂寮三街2號,22.0,28,27,1.5449059629068034,0.8762414513511123,15.0
勤樸天逸,新北市八里區中山路二段280號,21.3,2,32,7.051940829662088,0.1130274317139292,34.0
河畔新都,新北市八里區龍米路二段27號,22.9,26,30,2.8374472444348875,0.5115920841163967,9.0
八里幸福莊園,新北市八里區文昌六街118號,21.4,2,31,6.659715408646856,1.0340422935703433,30.0
城市巴黎,新北市八里區文昌六街72號,21.5,2,31,6.606723093468057,0.8771918000665092,29.0
八里山水,新北市八里區中華路二段310號,17.3,28,29,7.012057016129655,0.1116780835432747,33.0
夏威夷,新北市八里區中華路二段250號,18.4,30,29,6.948415057313842,0.2343406586889565,33.0
聖地雅歌,新北市八里區商港路16號,17.5,30,26,7.48167833086046,0.7064751886829487,28.0
逸境大廈,新北市八里區龍米路二段58號之1,24.5,13,31,2.8934407154648327,0.5879755821267255,6.0
喜來登,新北市八里區中華路二段562號,22.6,24,25,7.323880123168524,0.6388383890250239,27.0
左岸丰帆,新北市八里區觀海大道123號,34.0,10,33,6.201058923481169,0.5632933409214108,28.0
上品苑,新北市八里區四維街17號,22.3,4,32,6.406428285167336,0.4030687639853631,31.0
港都大廈,新北市八里區中山路二段447巷6號,16.6,28,25,7.504921470776652,0.7529541579604118,28.0
文昌苑,新北市八里區文昌五街128號,23.0,4,31,6.723541431484464,1.0159542207582186,31.0
一品苑,新北市八里區賢三街72號,25.2,8,33,6.42489358443771,0.2858713153522234,30.0
佑翰雄蓋綻,新北市八里區中山路二段287號,23.0,2,28,7.193164265628386,0.1702295686403215,31.0
在水一方江水藍特區,新北市八里區頂寮五街26號,21.6,28,28,1.6390959058228982,0.8300682737129389,17.0
摩登原始人,新北市八里區頂寮三街22號,23.2,27,28,1.579591670179641,0.9060304103209412,15.0
淡水芳鄰,新北市八里區中山路二段303巷2號,19.2,28,27,7.246916468460488,0.2542145267674315,30.0
萊茵風情,新北市八里區中山路一段398巷20號,22.7,26,32,6.9653189699728575,0.8193274960469515,34.0
海之鄉,新北市八里區華峰一街16號,18.1,28,26,7.340421204471085,0.4565147821556708,29.0
巴黎假期,新北市八里區龍米路一段219號,21.5,22,28,1.949917895422851,0.2481643345986814,25.0
巴黎春天,新北市八里區中山路一段129巷33號,17.6,25,34,6.761314794157813,0.583692200435841,35.0
遊山玩水,新北市八里區龍米路一段235號,18.7,23,29,2.0723943405129206,0.117122833385556,31.0
山海觀,新北市八里區中山路二段79號,17.7,28,31,7.020252956228522,0.530633354033328,33.0
香榭大道,新北市八里區中華路二段278號,16.7,29,29,6.973580907788728,0.1615491701999413,33.0
台北百達,新北市八里區中山路二段406巷19號,25.1,14,27,7.347214528997005,0.3315780094168371,32.0
黃金海岸,新北市八里區中華路二段288號,16.4,27,29,6.988474027267764,0.1348591694592323,34.0
