建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
大同莊園,新北市土城區中央路一段325號之2,44.0,4,13,0.7841267945686904,0.4054620289136823,169.0
國美之星A館,新北市土城區延吉街383號,40.5,14,17,0.853672115481115,0.209273401799396,162.0
土城日月光,新北市土城區學府路二段210號,56.2,5,14,0.4879743157562551,0.6570618246324235,147.0
皇翔快樂花園,新北市土城區學府路二段21號,53.2,15,15,0.5638736188765285,0.1402716075523362,220.0
榮譽市民,新北市土城區學府路一段86號,46.1,29,16,0.6728644013061471,0.1994673609100878,258.0
海山學府,新北市土城區明德路二段125號,49.9,28,14,0.5059326196043651,0.0589567241395251,216.0
京美大樓,新北市土城區中州路30巷11號,35.0,10,18,4.078927953491544,0.3698682435610309,78.0
安和苑,新北市土城區永豐路13巷27號,40.0,4,15,1.3443010308923382,0.248685946631985,241.0
金城贏家,新北市土城區峰廷街11號,41.4,25,15,1.899970731804296,0.4999567216171943,97.0
富麗世界,新北市土城區立仁街54號,31.6,29,18,0.5948346441993786,0.1168753540845843,163.0
金鳳凰,新北市土城區學府路號,42.9,28,19,2.113846164812494,0.4057921284270163,508.0
世家大英雄,新北市土城區裕民路214巷20號,46.3,27,14,0.2913727412814063,0.2767896601905349,199.0
學府大江山,新北市土城區學府路二段22巷9號,47.8,30,14,0.622825698325722,0.1663399459831145,202.0
弘暉大苑-大悅區,新北市土城區學海街、學府路口,39.2,1,15,0.4411636881024998,0.6078139697271681,158.0
璞真仰睦,新北市土城區學士路250號,43.4,1,16,0.2623524373610599,0.4766603409108895,178.0
合豐帝國銀座,新北市土城區中央路二段191號,37.3,27,14,0.3429911019659868,0.3678408555201558,117.0
極美,新北市土城區中央路四段125巷61號,38.0,4,19,3.8352807904542585,0.3142616007539583,59.0
名人富裔,新北市土城區中正路69號,41.0,11,15,0.4085128155603562,0.4904034873069256,124.0
弘暉大苑-大苑區,新北市土城區學府路二段265號,53.8,1,15,0.3832374300891305,0.6595078884116524,133.0
合陽晶城大廈,新北市土城區延和路14號,47.4,17,14,1.5245765125979214,0.1336430763012151,216.0
四季廣場,新北市土城區永豐路190號,38.7,27,16,1.954902446301844,0.2134977790415635,124.0
新樸文匯NO2/新樸文匯B區,新北市土城區學府路二段177號,38.1,1,15,0.3853196848797394,0.5118910352515534,182.0
東運御光,新北市土城區學海路、學府路二段,60.7,1,15,0.3958214182278621,0.5167259985528022,182.0
良辰吉市,新北市土城區中華路一段23號,41.6,25,9,0.0644404573359369,0.4385532162865867,202.0
華固新綠洲,新北市土城區學成路105號,61.1,6,11,0.285705779491157,0.4150104679942876,211.0
金城閣,新北市土城區裕民路149號,52.1,14,12,0.519463264180073,0.1142701782776849,203.0
及福心天地,新北市土城區民安街8號,37.0,2,16,2.9930562902667885,0.806473580931492,68.0
天京大廈,新北市土城區明德路二段56號,41.2,25,14,0.6359304587514333,0.1534182741738614,200.0
員林新城,新北市土城區員林街14號,42.7,29,14,0.593874343654594,0.6212478599534634,129.0
台北駙馬,新北市土城區員福街50號,46.6,29,13,0.7043182386703227,0.3838181549699569,122.0
鴻觀,新北市土城區中央路四段132號,37.3,7,19,3.6861709811547256,0.4509747861232098,64.0
紐約艾美,新北市土城區青雲路350號,40.8,1,21,0.9065750008259836,0.9977064539407264,62.0
上泰廣福天下,新北市土城區學府路一段108號,32.0,29,16,0.6272669678728544,0.1357730433785723,247.0
上禾居,新北市土城區中央路四段165巷17號之1,36.2,11,20,3.969339193557393,0.1788848632559296,56.0
新樂園,新北市土城區金城路三段24號,50.1,26,15,1.7409438970279685,0.3085831431540641,160.0
巴黎廣場,新北市土城區金城路三段10號,43.0,23,15,1.7260756854462205,0.3272394338532096,159.0
康莊大道,新北市土城區裕民路235號,51.7,29,14,0.1377071554567037,0.2408740932348086,180.0
萬家鄉富貴城,新北市土城區延和路185號,36.9,28,13,1.5603209888316514,0.4546922285505477,162.0
成功座標,新北市土城區金安街號,34.9,29,16,3.078788458602681,0.8843585961639141,70.0
台北親家,新北市土城區中央路二段149巷12號,47.3,30,14,0.4739337741456169,0.5036369459637707,126.0
金滿意,新北市土城區明德路一段289號,37.8,27,18,0.7854780918919985,0.6719420523997534,88.0
台北新故鄉,新北市土城區金城路三段183號,38.5,26,14,1.7040208696619383,0.4498749346117843,106.0
超級台北金角,新北市土城區立德路76號,35.0,24,15,0.9485618652943664,0.3244052709780398,245.0
名軒皇城,新北市土城區福安街30號,36.4,12,17,3.2013019116217696,1.043899407950382,59.0
太陽城,新北市土城區中央路四段279巷1號,35.9,16,21,4.51812860919526,0.4343247869313166,37.0
翡翠,新北市土城區立仁街10號,37.5,25,17,0.5462101887324305,0.1818877801096825,189.0
愛迪生,新北市土城區福安街78號,38.7,19,17,3.345142322095392,1.0123267825238458,66.0
中正龍門,新北市土城區金城路二段246號,44.0,27,16,0.2639281825106394,0.0723152306333743,203.0
新學府捷運,新北市土城區學府路二段73號,28.7,16,15,0.5107378862084297,0.2623665730755568,200.0
孔雀王朝二期,新北市土城區明德路二段155號,48.8,28,13,0.6690962957989065,0.1854139918501642,200.0
中正豪門,新北市土城區清水路143號,47.0,26,17,0.3637673859751711,0.140370257335518,178.0
華固新代田,新北市土城區明德路一段71號,57.8,3,17,1.115212003786161,0.1277279847033402,122.0
台北巴黎,新北市土城區裕民路259巷號,50.4,28,15,0.1141738729894096,0.1407725158313061,181.0
台北大第,新北市土城區永豐路153巷11號,33.2,31,19,2.02477794970004,0.2131223724646113,104.0
國泰上城,新北市土城區學士路419號,52.2,1,15,0.3265222442971259,0.6213029523498828,130.0
綠寶石大廈,新北市土城區裕民路225號,36.6,27,14,0.157282880434991,0.2506521742086937,180.0
金站,新北市土城區明德路二段197號,44.0,26,13,0.6837202328849057,0.2245817291493805,195.0
蟠龍大地,新北市土城區明德路二段119巷1號,36.2,32,15,0.4734891183975122,0.1261208013376391,219.0
湛然龍邸,新北市土城區慶安街16號,54.9,3,14,0.1892992037430238,0.1625441860665035,119.0
丞石-好室研研,新北市土城區青雲路與明德路口,49.6,1,18,0.6397462392223716,0.6728673977262846,178.0
聯邦大金城,新北市土城區裕民路69號,47.3,29,12,0.3027827584003434,0.3288530743182601,182.0
得意人生二期,新北市土城區永寧路9巷5號,40.3,28,16,0.2516288512827306,0.2379799967211147,59.0
軍翰天下,新北市土城區延壽路4號,47.8,27,12,1.7337538026903605,0.6760880383071708,97.0
帝寶,新北市土城區員林街8號,50.4,11,14,0.6124138558292345,0.6032169123568413,130.0
大傳,新北市土城區中央路四段125巷26號,30.9,7,19,3.880914426568423,0.2551270777862888,57.0
文心奕奕,新北市土城區龍山一街15號,38.0,2,17,0.171932944209653,0.6934082863265719,138.0
價值連城,新北市土城區學府路一段99巷號,42.5,28,17,0.5718075364290754,0.1835714858579493,245.0
台北年代,新北市土城區金城路三段50號,43.0,28,15,1.7553134411410376,0.2805936499191432,154.0
中央大道,新北市土城區中央路三段171號,37.9,18,14,0.1760622919470058,0.3441763398639312,60.0
宏國學府二期,新北市土城區學府路一段126巷1號,53.2,27,17,0.6033458574128981,0.087896674651275,230.0
皇翔百老匯,新北市土城區金城路二段242巷2號,45.5,21,16,0.2661884928077853,0.0894303130230481,200.0
馥華城峰,新北市土城區學士路92號,41.7,1,15,0.4847853517506293,0.2728690127771858,220.0
好旺來,新北市土城區裕民路116號,46.1,27,13,0.5308749890735874,0.2136943112128021,186.0
東騰韻,新北市土城區溪頭路8號,34.5,4,20,4.209914865221954,0.0891786708162778,50.0
泰隆市,新北市土城區裕民路234號,50.1,25,14,0.1908764536449524,0.2911741914266784,186.0
國美A1,新北市土城區中央路四段245號,45.4,7,20,4.274919277856849,0.156339984209356,54.0
有富正旺-青玉,新北市土城區學海街1號,53.0,1,15,0.4801319465913026,0.2201696400239206,221.0
大順小倆口,新北市土城區立德路號,53.2,24,15,0.971825419667398,0.3056953267994943,248.0
國泰雕之森,新北市土城區學士路16號,44.7,28,15,0.1702755770174121,0.3268485202881822,190.0
公園海,新北市土城區廣興街59巷9號,39.1,26,15,0.6789916192391926,0.227781096316066,266.0
台北麗京,新北市土城區金城路三段54號,48.6,26,15,1.761977278384205,0.2775782708294362,154.0
馥華城心,新北市土城區學府路二段238號,48.0,6,15,0.3667446441499821,0.5549433494138949,125.0
風華綠中央,新北市土城區中央路二段286號,41.0,1,13,0.0923476147510275,0.2497335873143355,122.0
國泰金城,新北市土城區學士路33巷2號之1,57.7,5,15,0.1720491116791968,0.334913878516609,203.0
聯邦大城一期,新北市土城區明德路一段240巷26弄28號,39.2,28,20,0.7662879194333283,0.5335399947194706,98.0
三星抱喜,新北市土城區員福街6號,41.3,29,13,0.6488647399719727,0.5045876692229693,126.0
世紀金城,新北市土城區金城路二段258號,40.0,26,17,0.2726400726450778,0.0594268899866889,204.0
中正威登,新北市土城區中正路13號,48.2,7,15,0.3876330941050458,0.3704806870821369,117.0
新海城,新北市土城區學海街281號,45.3,1,16,0.3066969621701532,0.6813300739777985,136.0
風華,新北市土城區中央路二段與慶利街口,39.0,1,13,0.0557262780319047,0.2071712682231045,124.0
青城桔市,新北市土城區中央路三段239巷10號,43.5,25,17,0.5141553103252579,0.1445251674272485,68.0
雙囍大樓,新北市土城區立仁街34巷10號,51.9,9,18,0.5241014657491808,0.1408734821080564,180.0
寶格麗花園,新北市土城區清水路228號,46.6,13,18,0.6265687754563912,0.1332509727342365,160.0
聯邦大城四期,新北市土城區青仁路36號,26.5,29,19,0.647000741258755,0.5278058928002863,107.0
心上城,新北市土城區千歲路8號,47.5,5,14,0.2926584851734085,0.2871057430518624,87.0
新樸文匯NO1/新樸文匯A區,新北市土城區學府路二段235號,39.2,3,15,0.4086830584396162,0.7072387940223376,135.0
軍翰大帝,新北市土城區明德路二段195號,42.7,25,13,0.685566057820179,0.2207592522756567,193.0
喜來登,新北市土城區學成路60號,36.2,27,11,0.5286266757554962,0.2038962906789463,213.0
中央第一城,新北市土城區中央路四段68巷10號,43.5,28,18,3.47118216176328,0.6746695815294809,63.0
快樂城,新北市土城區中央路三段281巷11弄9號,38.7,25,17,0.7182132078395908,0.2682349450253013,64.0
新大興,新北市土城區學士路361號,47.5,1,16,0.2866125395131497,0.6511181100068094,128.0
學成新都,新北市土城區學成路40巷1號,38.0,29,12,0.5798961084699947,0.2038089645430799,224.0
華南MLB,新北市土城區中正路151巷21號,40.0,1,16,0.1906455848527152,0.6616712816206232,130.0
嘉祥青沄,新北市土城區清水路117號,52.6,9,16,0.2595723378918745,0.201226837820055,187.0
東方之龍,新北市土城區中正路二段120巷2號,35.6,29,27,1.9766698688966275,1.060735628095022,18.0
水舞河畔,新北市土城區中州路57巷,46.6,2,17,4.183777408854426,0.2254528387921833,70.0
金城欣綻,新北市土城區學士路75號,49.8,2,15,0.3073821689210438,0.248951102785571,223.0
弘暉大苑-大境區,新北市土城區學士路與龍山一街交叉口,40.9,1,16,0.20864993044649,0.6361227823003227,149.0
大世紀花園廣場,新北市土城區中央路一段118巷2號,40.8,28,11,0.1678177768616816,0.3368975701280867,139.0
香檳特區,新北市土城區明德路一段2號,33.1,28,15,1.059672711426387,0.3415287130483011,162.0
中華新城(乙),新北市土城區中華路二段91號,34.5,25,13,0.5756694900221365,0.3439681791382944,118.0
美麗宏國B區,新北市土城區學府路一段126巷75號,47.1,28,13,0.6378765941463128,0.2112035902056853,230.0
第一站,新北市土城區裕生路21巷3號,54.9,23,12,0.2898465636599057,0.2138734850446294,160.0
利舟荷悅,新北市土城區中央路一段31號,40.0,5,9,0.0759629944934698,0.4483238464453438,200.0
伯爵特區,新北市土城區德峰街2巷14號,30.2,28,16,1.8825211173399603,0.2779487769377993,130.0
金城匯,新北市土城區青福街,35.8,1,17,0.3677886169485473,0.4455986095990142,150.0
馥御雅居B區,新北市土城區中正路67巷29號,50.3,7,15,0.4637296491123036,0.5292875374504493,124.0
福禧花園生活廣場,新北市土城區永豐路147號,42.4,27,17,2.010477705280135,0.1873132255042799,107.0
宏國學府,新北市土城區學府路一段126巷38號,45.5,28,18,0.7249415838086344,0.2077570227644005,258.0
聯邦大城二期,新北市土城區青雲路295巷16弄27號,37.0,29,18,0.6324134705059409,0.5078587094574253,117.0
泰隆金站,新北市土城區中央路二段209號,43.7,27,13,0.2043209869915853,0.2528241594473952,122.0
昌興桐樂,新北市土城區學海街388號,36.5,2,15,0.3683014644589847,0.6982792520825661,137.0
香格里拉二期,新北市土城區學府路一段117號,46.3,29,16,0.5658550173310679,0.0724341091325897,235.0
