建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
達觀鎮A2,新北市新店區達觀路14巷2號,25.7,26,22,1.3240134187591122,1.2781448396462038,28.0
三圓羅馬,新北市新店區安興路11號,35.0,28,19,0.6684449402887602,0.1275098817542244,129.0
大鵬華城,新北市新店區中正路700巷1號,43.6,23,20,0.5917986392623096,0.5326230573217501,914.0
綠野香坡H區,新北市新店區安祥路110巷53號,22.2,27,34,3.292402972265356,1.3962760754706105,24.0
合陽天擎,新北市新店區安光路25號,44.9,4,18,0.1666342272746724,0.2896160456256819,144.0
捷運新公館,新北市新店區中興路三段227號,75.5,26,25,0.5196798206064656,0.3678277052816736,1147.0
勝旺有境,新北市新店區安光路16號,47.9,6,18,0.3180114551288334,0.2534464542116197,150.0
國賓大苑,新北市新店區太平路22號,38.0,9,19,2.025869210716586,0.5627279639778071,436.0
花園新城,新北市新店區花園一路二段10號,28.3,41,32,4.965252749877186,1.2471850495126666,9.0
合環御景,新北市新店區寶橋路78巷19號,68.3,12,28,1.2180832069374408,0.316282889470045,555.0
中正國宅乙區,新北市新店區中正路263巷10號,52.2,31,27,0.4294662067141538,0.1704102060687546,760.0
江坡華城,新北市新店區新坡一街60號之1,36.7,29,34,2.060092157706534,0.7234122965938748,87.0
國泰豐格,新北市新店區中山路8號,76.6,1,18,1.1552292097703043,0.8662733848714727,130.0
合環御品,新北市新店區寶強路23號,75.8,15,26,0.697028135810092,0.2438595639019989,908.0
品值寶鎮,新北市新店區安康路二段200號,40.6,25,18,0.3948115651581686,0.3339726073442488,141.0
高鮮屋,新北市新店區安康路二段161號,39.1,24,18,0.4396436369235621,0.370350555267159,140.0
新店臺北人,新北市新店區寶興路45巷2弄72號,53.1,13,29,1.4824970158327,0.5667835113335294,362.0
國泰雙璽,新北市新店區光明街226號,65.5,6,20,0.112599443485112,0.5656020339836809,573.0
養心殿一期,新北市新店區北新路一段96巷21號,54.5,11,29,1.0887751004863624,0.2817461538379557,593.0
台北公館,新北市新店區北新路三段240號,56.3,29,23,0.47831909099983,0.2963413929994188,1336.0
美河市,新北市新店區中央路157號,63.4,10,17,0.7125316058799622,0.3598919579709982,224.0
天闊,新北市新店區環河路30號,50.8,23,17,1.6483400351373834,0.5757125387167923,531.0
碧潭有約,新北市新店區北宜路一段24號,71.0,14,20,2.1568911550580587,0.1061139772080362,449.0
湯泉美地,新北市新店區溪園路391號,55.8,19,17,1.2762825346261135,0.8394687770767608,112.0
黎明清境,新北市新店區黎明路50巷1號,20.7,33,19,0.5477525744935781,0.5162447358491206,65.0
寶徠花園,新北市新店區寶橋路85巷58號,67.7,9,27,0.9301408000714088,0.3250954507457728,778.0
綠野香坡安祥山莊A區,新北市新店區安祥路116號,24.8,28,33,3.410566853965097,1.262212679685903,22.0
中和100,新北市新店區新和街90號,35.6,27,17,1.4660161776903144,0.3234539283732159,153.0
浪漫貴族,新北市新店區安成街10號,36.2,31,19,0.3092627893634834,0.2966620205509934,141.0
環遊市西華館,新北市新店區北新路二段122號,75.7,16,27,0.7536140740951236,0.105707348589984,817.0
潭天天廈,新北市新店區北宜路二段125號,39.4,22,32,3.910141908037868,1.0414443294891962,5.0
上碧潭,新北市新店區合作路11號,54.3,7,19,2.098778200095309,0.558674126515631,417.0
華潤禾禾好好,新北市新店區十四張路63號,67.3,1,24,0.4872323129052819,0.4180941510292854,432.0
春風特區,新北市新店區北宜路二段361號,36.6,21,31,3.360592505774909,0.6621706411885134,13.0
上河圖,新北市新店區寶慶街2號,60.6,23,24,0.6243639994216558,0.2973729687062104,1461.0
巴黎皇宮,新北市新店區中興路二段37號,56.8,6,30,1.245264684228998,0.4084923027880529,517.0
豪景天下,新北市新店區北新路號,52.9,24,29,0.7635756835515047,0.1173083439687918,886.0
達觀鎮A1,新北市新店區達觀路6號,27.8,26,20,1.2442995622702022,1.1350070103055834,25.0
法樂 2期,新北市新店區中興路二段31巷16號,53.0,4,31,1.2003233034349463,0.4030053954066647,536.0
綠野香坡新鎮,新北市新店區安祥路110巷10號,21.8,27,33,3.387002556767985,1.2739195768138447,22.0
環遊市晶華館,新北市新店區寶橋路27號,70.4,15,28,0.8411835672955724,0.0279758410672607,765.0
將捷家和,新北市新店區安和路一段21號,51.7,6,17,0.5772309373312645,0.2949874624646178,150.0
康和春秋,新北市新店區中興路三段221號,71.8,26,26,0.5386914513409976,0.2882903435634789,1092.0
21City花園廣場,新北市新店區安康路二段149號,46.9,14,18,0.3962034071534689,0.2845782687839515,141.0
海悅假期,新北市新店區碧潭路77巷1號,51.7,23,20,2.138099387804573,0.4742367924688712,420.0
觀天下,新北市新店區黎明路102號,19.2,31,21,1.0223606532272431,1.0032434271375568,47.0
綠野香坡綠野鴻福A區,新北市新店區安祥路110巷73號,21.1,27,35,3.28820100738152,1.3805520128750852,21.0
中興馥,新北市新店區中興路三段230號,59.5,11,26,0.5827114160528809,0.3342834830654468,1146.0
君臨大地,新北市新店區永安街81號,39.5,30,17,1.5529678329722587,0.3114369326372853,178.0
達觀鎮B7區,新北市新店區達觀路43號,24.9,24,24,1.734309015463656,1.667110755883361,12.0
三元吉第,新北市新店區安和路三段47巷1號,37.2,28,21,1.8131797152308635,0.2380360576602894,135.0
中正川普,新北市新店區中正路280巷2號之1,60.9,14,27,0.4115883330627578,0.2368580029108138,817.0
碧潭之丘,新北市新店區能仁街12號,54.2,8,22,2.36645510297074,0.2019063597065043,407.0
綠野香坡祥和,新北市新店區安祥路110巷31號,22.9,27,34,3.359679323422512,1.3471459250557762,24.0
萊茵河畔,新北市新店區環河路60號,39.6,27,17,1.5696678963378323,0.6610578755942207,531.0
達觀鎮A4達觀168,新北市新店區達觀路18號,27.5,27,21,1.3720297320750838,1.341707270993086,29.0
湯泉櫻花,新北市新店區溪園路395號,51.6,20,16,1.2410789218079237,0.8766135780969001,115.0
博覽天下第四期,新北市新店區安民街154號,50.6,10,18,0.9281257747389474,0.2263489895015313,90.0
台北國寶,新北市新店區永平街23巷號,35.5,30,18,1.9607327501342489,0.2451031124754761,221.0
御中央,新北市新店區中央三街29號,54.9,8,16,0.7967555260031135,0.3981896681074309,186.0
高峰會,新北市新店區文化路23號,68.7,14,27,0.6468894346709257,0.2000206910321576,931.0
景,新北市新店區復興路42巷4號,55.5,27,22,0.3803450664321584,0.2559151371695794,1284.0
台北舊金山捷運年代,新北市新店區安德街116巷28號,39.2,28,21,0.3633997065266923,0.4886270123353246,139.0
城品大樓,新北市新店區寶慶街35巷6號,64.3,11,24,0.6149203335665021,0.4043435794310893,1405.0
夢享國,新北市新店區北宜路二段431號,33.4,15,32,3.5106250880512184,0.8959325412823254,12.0
新陛潭,新北市新店區北宜路二段30巷5弄18號,36.6,12,25,3.149667467024189,0.4394526640135479,35.0
友座臻美,新北市新店區民族路19號,68.4,3,26,0.5747350466125447,0.3009979642370963,894.0
嶺秀天廈,新北市新店區北宜路二段483號,28.5,27,32,3.652208656282829,1.032783154980732,9.0
早安康橋,新北市新店區安德街50號,37.3,14,18,0.0871511134140132,0.257321225315371,143.0
遠觀鎮萬象區,新北市新店區達觀路40號,25.7,25,23,1.675253140743409,1.6083585018459894,12.0
中央河左岸,新北市新店區中央路212號,56.8,21,15,0.7076915984169259,0.314464075170674,217.0
日安台北,新北市新店區中興路三段134號,55.4,31,26,0.7917759248278735,0.1131680973756781,876.0
台北新家坡儷園,新北市新店區安康路三段696號,22.7,28,33,3.2385003823757863,1.6337219127649298,6.0
博覽天下梵谷特區,新北市新店區安民街156巷21號,49.2,11,18,0.9641163686922944,0.2899919516296785,87.0
TR大道,新北市新店區北宜路一段121號,48.0,20,21,2.5435761415568376,0.1088490192342881,385.0
龍邦新苑,新北市新店區民族路37號,53.3,22,26,0.529718769584189,0.2523392988282133,891.0
綠野香坡陽光山莊,新北市新店區安祥路110巷19號,20.6,27,34,3.4070814258520947,1.2804533303454266,22.0
台北寧境大樓,新北市新店區安忠路57巷26弄25號,37.3,19,19,0.578714360875369,0.3300991812336152,137.0
極麗,新北市新店區北宜路一段78號,53.1,8,21,2.3203885191803875,0.1174245842646568,410.0
映水堂,新北市新店區寶慶街5號,46.6,22,24,0.6529417461220471,0.3739451952621523,1409.0
智慧園林,新北市新店區三民路號,42.7,33,28,0.5267950643484214,0.1002158000222322,608.0
名揚四海,新北市新店區永安街97巷1號,31.7,29,17,1.4913271351003987,0.3130085917143803,159.0
凡賽斯花園雅典娜區,新北市新店區安民街248號,46.2,18,19,1.252203917569911,0.4800318145259516,69.0
園上園,新北市新店區中興路二段123號,52.4,13,28,1.270402915270198,0.3455840173359698,506.0
美麗人生,新北市新店區二十張路11巷11號,69.7,18,25,0.20651294646683,0.4807103651281212,1045.0
永保安康,新北市新店區安康路二段155號,45.9,21,18,0.4285899813034221,0.3430824154495998,141.0
達觀鎮達觀22巷社區,新北市新店區達觀路22巷1號,27.0,26,23,1.328030005849091,1.30502382581274,32.0
祝你幸福,新北市新店區安民街368號,42.3,24,18,1.5380910562125956,0.7614912426735225,79.0
博覽天下,新北市新店區安民街156巷26號,47.1,12,18,0.9600006309421172,0.2930985760316221,87.0
御中央II,新北市新店區中央三街41號,60.7,5,16,0.8332362643192356,0.4385731150140492,176.0
新殿富邑,新北市新店區北宜路二段82號之7,36.0,28,30,3.1506832988054128,0.1779922702054591,22.0
寶路生活館,新北市新店區中興路199號,63.8,21,14,3.262407853323836,0.1537660657091704,157.0
大椰林,新北市新店區建國路140號,60.1,23,25,0.4037940160533015,0.0986844540771237,886.0
安居公教甲區,新北市新店區安忠路40號,35.8,21,18,0.4244294017978147,0.139376854977844,139.0
