建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
超級城市曼哈頓,新北市新莊區樹新路206號,38.8,6,5,0.5155982906608148,0.2722167193150831,239.0
仙境傳說,新北市新莊區青山路一段50號,31.3,17,28,2.529282681262609,0.5568175334320496,163.0
合輝新都悅,新北市新莊區中港路673號,59.1,6,15,0.83849407991927,0.2227110392024981,403.0
超級城市SUPER2愛丁堡,新北市新莊區新崑路113號,39.4,5,6,0.6405384290953074,0.22318760184495,227.0
遠雄新宿,新北市新莊區新北大道四段73號,54.3,7,16,1.1731421511893372,0.3713690275020466,132.0
NY璞緻,新北市新莊區榮華路二段97號,55.9,7,16,0.7234165188045569,0.1166486529488454,320.0
宏福新莊,新北市新莊區昌平街61號,42.0,27,15,0.9029231525727118,0.2892255673694262,435.0
W皇翔御花園,新北市新莊區中原路516號,47.5,6,16,0.5936720701905002,0.2403276924935138,323.0
新富邑,新北市新莊區中央路198號,46.3,10,16,1.3923845689484788,0.3612097051597414,243.0
合康新世紀,新北市新莊區頭興街166號,55.0,8,13,1.2209637684489931,0.2641847084646682,300.0
鴻邦世界花園I,新北市新莊區天祥街28號,49.2,6,16,1.8234137824043524,0.533461304642767,381.0
冠德鼎峰,新北市新莊區思源路486號,49.1,9,14,1.3084136071002204,0.1239217368380168,304.0
國泰新莊園,新北市新莊區福德二街1號,55.5,9,16,1.6400625438219056,0.5116894253349641,231.0
旺洲MORE,新北市新莊區富貴路51號,50.8,7,13,1.4700732684357325,0.2581566435507824,320.0
遠雄國滙,新北市新莊區新北大道四段189號,53.1,6,17,0.9795982856972444,0.4590647729074258,178.0
新富邑美樹首席,新北市新莊區福美街62巷7號,45.6,10,14,1.3909152383300185,0.3982648765503057,262.0
竹城新東京,新北市新莊區頭前路116號,55.5,10,12,1.1415045167335989,0.3584529667577645,290.0
遠雄首品,新北市新莊區中德路22號,56.2,5,16,1.059670764606102,0.2662873720519171,242.0
宏普柏悅府大廈,新北市新莊區福美街90巷37號,48.3,9,15,1.5714267510075708,0.3563353564561087,270.0
五星尊爵五期,新北市新莊區中華路二段45巷2號,38.5,14,14,0.6983662775241034,0.3742649718246119,586.0
