建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
瓏山林新板時尚,新北市板橋區新興路22號,53.9,7,7,0.0631244416342617,0.4232837524633289,516.0
馥華時尚會館,新北市板橋區新府路66號,73.4,14,4,0.9991127007035308,0.55499179106114,759.0
新巨蛋,新北市板橋區文化路一段362號,83.7,12,7,0.4830063804340871,0.4552070306239447,615.0
新外灘3-新月天地,新北市板橋區環河西路五段249號,50.5,1,11,0.5650891272047096,0.331938643795662,207.0
公園大鎮,新北市板橋區民生路二段162號,60.9,26,6,2.335650563135286,0.3123447883240319,1027.0
麗池花園廣場,新北市板橋區篤行路一段8號,39.6,16,6,0.8856241851998907,0.2604867993950789,432.0
國家世紀館,新北市板橋區漢生東路276號,76.4,15,5,1.4459504321414314,0.2876287660776797,851.0
超級城市SUPER3威尼斯,新北市板橋區新崑路100號,41.1,6,6,0.7291939506734838,0.2564403276431743,213.0
健華新城,新北市板橋區文化路一段309號之1,68.1,17,4,0.1100729147739309,0.1611560984326512,661.0
板橋新都市,新北市板橋區篤行路二段161巷10號,37.6,30,7,0.9868093209089756,0.1035055324990392,791.0
世界花園橋峰大樓,新北市板橋區中山路一段168號,76.1,12,3,1.2444008952830954,0.4734769729373169,852.0
皇勝憘悅,新北市板橋區民生路一段95號,62.7,12,5,1.976843618905444,0.4555669416871628,832.0
遠雄江翠,新北市板橋區華江八路26號,48.9,2,11,0.6984627372777816,0.593784169299116,234.0
三輝都匯,新北市板橋區文化路二段182巷3弄46號,70.2,9,9,0.1368790174127093,0.1680083703720781,532.0
大觀明園,新北市板橋區大觀路三段87號,36.4,28,7,1.0281653396670187,0.3629914177603573,372.0
馥華雲鼎,新北市板橋區縣民大道一段295號,68.0,8,8,0.6204831391272447,0.2148217274797952,706.0
湛然幸福時光,新北市板橋區光環路二段32號,54.1,4,10,2.5610542649951507,0.1415369677499771,643.0
大庭新城,新北市板橋區國光路49巷號,48.0,28,7,0.2421000650526433,0.2341104711651098,561.0
遠揚加州,新北市板橋區南雅南路二段120號,64.4,11,15,0.2870910805586245,0.4195711533354344,276.0
金鑽,新北市板橋區南雅南路一段8號,44.1,28,7,0.0741975194495738,0.3851707114109058,489.0
陽光庭園大樓,新北市板橋區大觀路三段212巷52號,48.1,26,5,1.039589196172257,0.3360709988354973,641.0
正隆廣場,新北市板橋區民生路一段號,44.2,28,5,2.0317393997663493,0.5336532628188831,770.0
新外灘NO1雙江翠,新北市板橋區華江一路209號,71.7,2,12,0.5182248002125153,0.2625345308825408,311.0
青木賞賞青區,新北市板橋區金門街79號,40.4,11,7,1.2112980416168413,0.4485657536644214,403.0
馥華原美,新北市板橋區大觀路一段38巷8號,44.9,4,11,1.102513925723307,0.1879485664182168,177.0
潤泰峰匯,新北市板橋區華江一路350號,53.3,2,11,0.6073784664166506,0.5362188977171055,271.0
三輝都匯2部曲,新北市板橋區莊敬路8號,75.1,7,9,0.1736950872278686,0.2234148529261369,533.0
板信雙子星花園廣場,新北市板橋區縣民大道二段68號,74.0,13,4,0.6718095007967092,0.4521626456856196,774.0
新站御廷,新北市板橋區民族路號,51.2,29,6,0.9149609494702696,0.3685540827078749,710.0
馥華原鄉,新北市板橋區僑中二街118號,46.1,6,13,1.1892615124236257,0.1668381010467798,143.0
帝后花園,新北市板橋區中正路151號,57.3,4,8,0.1108856571985351,0.2004070616118379,517.0
陽明大廈,新北市板橋區陽明街25巷1號,60.7,29,6,0.2013570808564085,0.114427821054186,574.0
艾菲爾,新北市板橋區金門街372巷11號,40.9,24,7,0.7130095882002737,0.4235133106785351,944.0
麗池花園,新北市板橋區金門街51號,38.5,20,7,1.1757743781695975,0.4947899324711208,383.0
昇陽文化廳,新北市板橋區民生路三段6號,66.9,22,7,0.5264585723884471,0.4594484208683608,590.0
麗池經典,新北市板橋區金門街47巷18號,36.2,17,8,1.1940152021474746,0.5389369626043622,357.0
板信銀行家,新北市板橋區中正路330號,41.0,25,8,0.3629749616494397,0.2268442528016079,191.0
藝術學院,新北市板橋區國慶路170號,46.2,27,12,0.6846213999403793,0.1897452195163033,291.0
觀愛,新北市板橋區沙崙街29號,43.5,21,5,0.9596574163842216,0.4289339219441814,547.0
巨蛋東京花園廣場,新北市板橋區長江路一段379號,55.8,16,9,0.9227409533672007,0.5568222280154339,184.0
新樸香榭,新北市板橋區民生路三段172號,52.6,2,9,1.0084748523213956,0.2940693123109444,368.0
四川大樓,新北市板橋區四川路二段237號,44.9,30,13,0.4113935881640919,0.2674826173914126,213.0
漢江春曉,新北市板橋區民生路三段246號,47.3,27,9,1.055992570980872,0.4416554566915507,269.0
