建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
林口晴空樹,新北市林口區八德路366號,47.7,5,26,1.0168787983084016,0.4058056569131446,259.0
遠雄U未來,新北市林口區仁愛路二段516號,36.9,14,34,1.954516925367968,0.2236519416102254,239.0
國家一號院,新北市林口區中華一路87號,28.5,8,36,2.927362127825895,0.7269303986445945,107.0
長耀雙峰滙,新北市林口區忠孝路99號,44.1,3,29,1.4699949324596515,0.6440267010954766,302.0
世界首席/國家首席,新北市林口區中華一路69號,30.4,9,35,2.908337463433045,0.6687064475179024,120.0
長虹天際,新北市林口區文化三路二段280號,41.9,4,35,2.616886562113118,0.4269067957576601,155.0
四季悅,新北市林口區文化三路二段211巷53號,34.2,13,35,2.532516857324876,0.2239094547036787,149.0
幸福市,新北市林口區文化三路二段306號,35.5,12,37,2.755570263068335,0.5415385491457336,151.0
遠雄未來城一期,新北市林口區文化三路一段376號,39.6,16,27,1.307258555509427,0.5317822842616347,280.0
遠雄未來城二期,新北市林口區文化三路一段358號,38.3,15,28,1.2408673645527892,0.529669473829576,274.0
空間樂園,新北市林口區文化二路一段354號,38.3,27,32,1.6865651751823283,0.4367723191063514,277.0
巴黎香榭,新北市林口區忠孝三路29號,36.7,16,25,1.1329376289157,0.2014523850221531,274.0
海棠春,新北市林口區文化三路二段41巷52號,35.0,14,35,2.1844224096744647,0.1426691294214985,170.0
亞昕101,新北市林口區文化二路一段283號,40.7,16,32,1.4922346350257885,0.5739503235705937,316.0
鉑晶,新北市林口區文化三路二段211巷71號,32.4,14,35,2.589535305588498,0.2334739861636601,142.0
聯虹天耀,新北市林口區富貴路67號,41.6,5,35,2.642474812956118,0.5238847104398292,169.0
親愛的HOUSE,新北市林口區仁愛路二段247號,47.9,4,31,1.8159712513620083,0.273776117579381,252.0
圓方大千苑,新北市林口區文化三路一段39巷293號,36.0,10,25,1.0869269587795232,0.229117818528387,279.0
聯虹星耀,新北市林口區力行段 231、232 地號,35.8,1,33,1.8916085858545768,0.3152781554995531,261.0
歡喜樓一期,新北市林口區文化二路一段64號,33.0,27,27,0.8834309095182384,0.2507547404819363,328.0
展悅美術館,新北市林口區富貴路6號,32.0,9,34,2.494629307466296,0.4947416682441654,208.0
遠雄未來之光,新北市林口區四維路8號,35.8,10,34,2.2224818275446525,0.2813280135028286,186.0
童話世紀,新北市林口區中山路516號,30.9,15,36,2.720875160937972,0.5983087662734079,164.0
世紀長虹,新北市林口區忠孝三路61號,43.7,9,25,1.14885334957347,0.1978596100703934,267.0
大禮悦,新北市林口區文化三路一段579號,27.7,5,33,1.7658804351568034,0.2868718495802747,283.0
鉑金-大觀天下NO.2,新北市林口區文化三路一段227號,53.8,2,25,1.1942604466422584,0.3944710900814627,271.0
天圓地方,新北市林口區文化三路一段399號,43.7,6,27,1.4495290037760966,0.6144553998482027,303.0
源峰清境,新北市林口區民生路111號,31.4,8,36,3.157799336947768,0.8029346028544205,43.0
力璞之星,新北市林口區文明街138巷2號,50.4,3,28,1.3901561705191952,0.3258209144884716,226.0
富堡晶棧,新北市林口區文化北路一段46號,46.3,4,25,1.3959058962858817,0.3897831210788308,116.0
立軒天美,新北市林口區文化一路二段80號,34.0,7,33,2.35867935846029,0.302268394355959,351.0
文化捷境,新北市林口區文化三路一段249巷61號,37.8,10,28,1.3472931530513998,0.4268264253240275,246.0
施華洛奇,新北市林口區文化二路二段88巷19號,31.8,14,34,2.4930099667893937,0.4383857176113621,307.0
炎洲極品,新北市林口區文化三路二段52號,35.3,5,35,2.2458039035875523,0.2687368763979459,184.0
竹城伊豆,新北市林口區文化三路一段617巷6號,31.4,16,33,1.858898801598836,0.1893534734084208,267.0
羅芙宮,新北市林口區文化三路一段377號,36.8,15,26,1.3592993483772269,0.5675909899024405,297.0
竹城長崎,新北市林口區文化三路二段115巷2號,37.4,8,34,2.3356501795310542,0.2045166190585334,167.0
遠雄未來市,新北市林口區文化二路一段561號,37.1,15,32,2.0297753996056804,0.3017432220035661,208.0
森聯美麗莊園,新北市林口區南勢三街33號,32.7,6,29,2.0764744512952933,0.3054060025676083,58.0
富堡晶都,新北市林口區中山路677號,37.6,6,34,2.683014043848568,0.5297408173645349,162.0
耀東方,新北市林口區文化三路一段39巷118號,36.1,11,26,1.1390065378549747,0.1974017678083223,262.0
巴黎捷悅,新北市林口區文化三路一段617巷163號,36.6,10,33,1.8717644883405016,0.1745370721471876,267.0
夢想之都,新北市林口區文化三路一段555巷2號,34.6,17,32,0.0704965891353427,0.3885412343842219,302.0
榮耀之城,新北市林口區文化三路一段478號,38.5,15,33,0.0179763310198295,0.472119585053689,305.0
新北郡,新北市林口區中山路496號,33.5,11,34,2.703985644393712,0.540321696887147,259.0
遠雄大未來,新北市林口區文化二路一段575號,33.0,13,32,2.083176336797511,0.3141316833748634,214.0
榮耀之星,新北市林口區文化三路二段150號,36.5,13,35,2.388105214064181,0.2650030817176804,166.0
活力城,新北市林口區中山路562號,32.5,15,35,2.7323191487446525,0.5672825015588482,161.0
麗景大廈,新北市林口區麗園一街1號,20.6,28,30,1.5199720238679455,0.4304351874312767,241.0
安敦新世界,新北市林口區文化二路一段20巷1號,34.9,28,27,0.6571872202520295,0.3775720575406932,473.0
九揚華峰,新北市林口區文化三路一段617巷51號,38.6,5,33,1.817511656494418,0.265977637605775,276.0
禾林A9棧,新北市林口區惠民街30巷27號,43.9,6,26,1.233056874002858,0.3884319456524032,161.0
