建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
竹城千代田,新北市樹林區學府路296號,39.5,14,19,2.0705469938903174,0.3665793535262825,520.0
愛在歐洲,新北市樹林區大成路28號,36.9,17,20,1.7201096016154869,0.3410727091279782,507.0
大安敦南,新北市樹林區大安路79號,33.0,26,5,0.5267062343502524,0.1498839425927699,584.0
麗寶世紀館,新北市樹林區學成路601號,40.1,13,21,1.743116626033686,0.3290497487583959,545.0
北美館,新北市樹林區大有路110號,43.3,12,19,2.1175219722248544,0.1052966189248577,425.0
江山萬里,新北市樹林區大安路111巷27號,39.1,28,5,0.5448996569784434,0.0863507310000973,614.0
世界公園,新北市樹林區佳園路三段142號,38.8,15,18,2.2085106556845373,0.2659418633650431,343.0
孩子王,新北市樹林區忠孝街45號,40.9,24,9,0.7142470162987522,0.0446640836298204,913.0
樂活郡,新北市樹林區學勤路663號,44.0,15,20,2.136310902735373,0.2039544016498363,388.0
米蘭之星,新北市樹林區復興路41號,45.3,15,4,0.7282849105924566,0.2813899657807686,718.0
遠雄大學風呂,新北市樹林區學勤路200號,39.7,16,19,1.7741294941862713,0.276991050806673,570.0
遠雄大學哈佛,新北市樹林區大雅路288號,43.3,14,21,1.8587310997861843,0.3176717035040545,558.0
遠雄紫京城,新北市樹林區學勤路516號,43.5,15,19,1.9972883356518003,0.0653053533501912,485.0
夏卡爾,新北市樹林區佳園路三段356號,37.6,15,20,1.7627792788200085,0.3946683668126624,428.0
春城大砌,新北市樹林區大義路176號,41.7,14,20,1.6570306507634578,0.4043438093560024,572.0
當代City,新北市樹林區大成路1號,33.5,17,20,1.6046073481338277,0.4598951891326774,516.0
冠軍一、二、三,新北市樹林區中華路275號,40.1,26,9,0.8023381357099052,0.1136803669944112,790.0
心六藝大廈,新北市樹林區學成路730號,45.5,13,19,1.7748122020754369,0.3031822805380349,477.0
哲里,新北市樹林區佳園路三段606號,40.0,14,21,1.4594811980117968,0.3818674115906617,580.0
上閣築,新北市樹林區佳園路三段542號,39.3,15,21,1.52762832336788,0.5318929496081504,550.0
麗寶國際館,新北市樹林區學成路543號,45.4,12,21,1.7035323186452722,0.4003468756661798,559.0
樹林樂山佳,新北市樹林區中和街22號,29.8,4,13,4.801872358531077,0.3609040920057361,34.0
遠雄大學之城翡冷翠,新北市樹林區大成路85號,45.1,13,20,1.7694654954492346,0.2906248812798341,517.0
竹城金澤,新北市樹林區學府路288號,43.1,15,19,2.0144311245692013,0.3064809691631516,547.0
遠雄京都,新北市樹林區學成路481號,45.4,13,20,1.6394253514009631,0.0078768281504557,570.0
新都市,新北市樹林區八德街293號,35.2,28,10,1.0136171066520838,0.4053456086685367,726.0
CEO行館-大北大,新北市樹林區學府路376號,33.2,11,19,2.228949069903366,0.3303065398796228,469.0
翠亨,新北市樹林區八德街102號,35.2,12,9,0.7998794508104551,0.3451070852998923,844.0
幸福城家,新北市樹林區保安街二段107巷30號,27.6,4,7,1.2222544104871411,0.1608372029154679,115.0
遠雄碧連天,新北市樹林區學勤路292號,43.6,13,21,1.8111445826774264,0.3308077344151573,566.0
全球台北人,新北市樹林區中華路319號,31.7,28,8,0.877811915145071,0.1934093997351337,756.0
泰隆新境,新北市樹林區鎮前街433號,37.5,27,8,0.8266739349605695,0.3385718005698749,709.0
北大臻善美,新北市樹林區學成路709號,34.4,13,20,1.8531488419237785,0.2551368068767776,450.0
泰隆新時代,新北市樹林區鎮前街425巷10號,35.0,29,9,0.8236934738413121,0.3651269288571654,729.0
陽光峇里水明漾,新北市樹林區佳園路一段151號,30.6,15,13,4.609482652917945,0.2490942811676422,33.0
台北豪景,新北市樹林區保安街二段337巷85號,21.3,28,10,2.798618499548837,0.4622538941152854,104.0
中悅夏宮維也納區,新北市樹林區學府路208號,38.3,13,18,1.9387841274807296,0.2275896676976579,556.0
易立購,新北市樹林區俊英街113號,34.1,22,7,0.9290863523806476,0.8904505025724343,60.0
上善若水,新北市樹林區學勤路550號,38.1,15,19,2.0443217224904253,0.1146618113921243,431.0
米蘭花園廣場二期,新北市樹林區復興路59號,50.3,17,4,0.6992437687715161,0.2783980082014156,726.0
新台北綠第,新北市樹林區中華路148號,24.4,28,8,0.837023073757365,0.1581800370421695,767.0
北大森閣,新北市樹林區學士路100號,45.1,9,20,1.9327630935535167,0.1570748420322079,453.0
名人尊品二期,新北市樹林區大雅路336號,32.7,16,20,2.0215432605451724,0.3061053990146936,536.0
馨園,新北市樹林區學成路528號,31.5,9,20,1.5809191799913502,0.4841473927595296,568.0
中國江山,新北市樹林區中華路120號,35.4,28,9,0.7570217753599543,0.0790252631485255,809.0
閱莊園,新北市樹林區三寶街25號,29.4,4,11,2.863340611117939,0.1685640197341571,248.0
樹林凱旋門,新北市樹林區中正路633號,30.2,28,9,2.4064479321812,0.5927573124185966,163.0
台北書鄉二期,新北市樹林區復興路406巷1號,27.0,27,6,0.6073568304520973,0.0757601830461559,805.0
山佳晏京大廈,新北市樹林區中山路三段191號,30.9,6,11,4.921949381539532,0.2509076697181956,33.0
狀元吉第,新北市樹林區中華路112號,28.8,23,9,0.7129723767144868,0.0575200328801587,858.0
立信-立天下,新北市樹林區四維路99號,35.1,2,9,0.8782474084666262,0.2611846283031874,780.0
皇勝秀鼎,新北市樹林區學成路693號,38.1,9,20,1.825784905008933,0.2506604596403828,478.0
站前京華,新北市樹林區佳園路一段41巷1號,27.0,20,12,4.7786859573207545,0.1124880089593206,34.0
海山宮廷,新北市樹林區中華路341號之1,34.1,24,9,0.9056200299594648,0.2359241123309497,750.0
鼎越威鎮,新北市樹林區復興路297號,44.6,5,4,0.2464752174075344,0.1097476652151472,1008.0
后站金站,新北市樹林區中山路一段113號,23.4,25,2,0.4774239493559116,0.5020349624410747,949.0
山佳捷境,新北市樹林區新興街1號,24.9,2,9,4.883456748602825,0.1713706953562539,33.0
敦美米蘭苑,新北市樹林區大安路541號,25.2,6,7,0.8081248593668784,0.2765184168240281,664.0
米蘭花園廣場,新北市樹林區日新街48號,46.5,17,3,0.6371181544035924,0.3484790901519799,765.0
米蘭文華,新北市樹林區中山路二段46號之1,32.1,4,4,0.4229817139068778,0.1199472050153679,971.0
板林美地,新北市樹林區板林路301號,38.0,8,5,0.7759470237747289,0.3783702287413935,864.0
紅璽大居,新北市樹林區大安路201號,30.7,24,4,0.0993030339251651,0.1723626263788702,686.0
城市DJ,新北市樹林區中佳路112號之2,25.9,1,11,5.061777042346201,0.5392873141152129,31.0
森美,新北市樹林區國凱街67號,34.0,6,10,0.8217213415864889,0.2138914043004306,807.0
金英堡,新北市樹林區俊英街133巷16號之3,27.0,6,9,1.0929930962696288,0.7580562583531595,108.0
敦園,新北市樹林區學勤路231號,33.5,18,20,1.880236694270306,0.2568350461288662,564.0
富隆居,新北市樹林區中山路一段262號,40.5,3,3,0.0452962404854166,0.3705838101181544,1207.0
中悅彼得堡,新北市樹林區大義路398號,40.3,14,18,1.827693727240288,0.1166806100864143,564.0
久年青田,新北市樹林區學勤路231號旁,38.8,1,20,1.880236694270306,0.2568350461288662,564.0
文詠,新北市樹林區學林路18號,43.4,7,19,1.869078435421046,0.2023682461954239,564.0
冠軍,新北市樹林區光榮街37號,42.8,27,8,1.445042086328392,0.3082893646079497,86.0
光明大道,新北市樹林區俊英街189巷號,31.9,31,8,1.2241212669191486,0.6171543762763841,135.0
樹林第一站,新北市樹林區四德街10號,39.1,12,4,0.8621779117947539,0.4337069758125343,800.0
大同新邨,新北市樹林區東華街81號,35.8,8,9,0.828293103707748,0.1887628509864914,766.0
新北大,新北市樹林區學勤路697號,27.3,8,18,2.200755621403536,0.2465955042899663,362.0
狀元紅,新北市樹林區中山路二段156號,32.2,28,5,0.8799453106352222,0.3682645125180925,647.0
鴻藝金站,新北市樹林區大安路225號,37.0,5,4,0.8310194772834184,0.0665299535441707,687.0
愛+,新北市樹林區中洲街31號,22.5,7,11,5.034874960892172,0.4565938502728244,33.0
台北綠第大廈,新北市樹林區中華路132號,32.7,30,8,0.8002844154188378,0.1044854528742846,789.0
綠園道,新北市樹林區大安路493號,37.1,16,6,0.5751319886023409,0.1674152706426002,770.0
圓富大道,新北市樹林區八德街86號,33.2,20,9,0.646957825500644,0.2038223211042722,904.0
中正世界,新北市樹林區中正路65號,29.1,30,5,0.1912331854141118,0.1988906080426973,413.0
龍田新境,新北市樹林區復興路390巷13號,38.5,29,6,0.5718437749226631,0.0726310136934567,841.0
世紀凱悅,新北市樹林區鎮前街415號,26.5,16,9,0.7448226001189883,0.2706624170541977,773.0
陽光峇里美麗殿,新北市樹林區八德街666號,26.6,16,14,4.730419250019441,0.3790496973708303,35.0
金色米蘭,新北市樹林區保安街二段109號,33.1,21,6,1.1027521768760289,0.0909604818590669,116.0
中山寶座,新北市樹林區育英街25號,36.2,26,3,0.2640519944230232,0.3606196765624799,1071.0
米蘭賞,新北市樹林區保安街二段45巷20號,25.5,9,6,1.1216241152430668,0.1884067278565959,129.0
滿庭芳,新北市樹林區俊英街139號,25.6,28,8,1.132898751699165,0.698448136610411,110.0
中正天下,新北市樹林區中正路454號,21.2,28,9,2.351361362549958,0.6771785448238552,189.0
大安龍門,新北市樹林區大安路577號,31.5,27,7,0.9071341456656457,0.3787008542654759,598.0
大安尊邸麗池特區,新北市樹林區大安路305號,34.1,22,5,0.599483787357186,0.2657499256363829,627.0
銘騏桂冠,新北市樹林區國凱街116號,27.8,13,10,0.855493868179303,0.244096422751021,793.0
黃金拍檔,新北市樹林區保安街一段9號,32.6,23,6,0.8844066942859719,0.4829552785203308,703.0
館藏,新北市樹林區學勤路249號,29.6,13,20,1.9003381840838065,0.3144344807410009,563.0
皇晶鑽,新北市樹林區中山路一段94號,47.8,14,3,0.5514319706595292,0.514740984556067,900.0
揚名福星,新北市樹林區俊英街103號,25.4,24,7,0.8530494827256154,0.962085779755159,61.0
米蘭尊邸,新北市樹林區文化街32號,33.3,20,4,0.1462991308536573,0.2164219685843126,1116.0
樂透新家,新北市樹林區保安街二段24號,23.9,22,6,1.073163106827613,0.0964310006936742,119.0
凱悅花園,新北市樹林區復興路198號,42.0,21,5,0.4029382334705519,0.2014080583113972,866.0
樹林后站金座,新北市樹林區中山路一段103號,35.7,25,3,0.5202482179516494,0.5330433588548974,933.0
五十首馥,新北市樹林區樹新路213號,25.9,12,5,0.4744359317477759,0.2917934957531366,248.0
大安詰品,新北市樹林區大安路531號,28.3,22,6,0.6754408670002644,0.1534564481908128,739.0
明園廣場,新北市樹林區中山路一段217號,30.7,25,3,0.1049539246231012,0.4345091449709623,1206.0
