建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
勝開大地,新北市永和區保安路236號,67.0,3,17,1.129432555104121,0.2728801543007988,322.0
銀河水都,新北市永和區成功路二段227號,68.6,16,21,1.3558329098724602,0.5563104853181635,173.0
愛丁堡中正廣場,新北市永和區中正路381號,53.2,36,19,0.8921910017892795,0.0533092405489851,444.0
捷運新宿,新北市永和區中興街10巷4號,58.9,28,15,0.2807217691971709,0.048366496889256,418.0
同國富大廈,新北市永和區中山路一段1號,63.2,8,16,0.4110094550611967,0.1409902871938717,456.0
蒲陽大和,新北市永和區永和路二段292號,69.8,6,13,0.4615627570011639,0.151351153566915,365.0
中正麒麟,新北市永和區中正路541號,44.4,30,17,0.446584982709324,0.4974775503665509,455.0
樺福千金,新北市永和區永和路二段168號,73.6,12,14,0.2770372108997647,0.2604501556862881,411.0
榮美大第,新北市永和區成功路二段28號,41.1,24,19,1.532885479589474,0.5549213302327454,212.0
漢皇極品喬治五世,新北市永和區中正路465巷23號,54.1,11,19,0.705010185500931,0.2659072278021575,450.0
水築館,新北市永和區環河西路二段243號,53.6,20,17,0.8386757394323101,0.5115936310231692,461.0
新時代,新北市永和區中山路一段38號,64.9,12,17,0.4674202911944721,0.1486874636185025,439.0
長隄,新北市永和區環河西路二段209巷11號,54.5,25,14,0.9795290105994428,0.375264047182863,378.0
吉美一品花園,新北市永和區竹林路68號,77.2,6,15,0.1784745790017804,0.1605279067257401,428.0
恆豐,新北市永和區中正路532號,55.8,27,18,0.7359306670217625,0.2064532163534503,428.0
金歡喜商業大廈,新北市永和區中和路489號,56.5,26,15,0.2410741367131879,0.4826457159831216,519.0
雄霸天下,新北市永和區中正路511號,53.0,28,17,0.534508849329917,0.4141616914894093,459.0
法國臻品,新北市永和區安樂路242號,62.7,22,20,1.02696210869502,0.2126025579563792,446.0
銀河名人DC,新北市永和區永和路一段64號,57.7,28,17,0.2669115344273035,0.4862909478574217,493.0
富綠第,新北市永和區永和路一段10號,62.3,27,18,0.1342895217904251,0.4277841728251992,489.0
久泰逸品,新北市永和區環河東路一段52號,67.5,3,15,0.5829157773334283,0.3190943724550986,492.0
廣宇晴朗,新北市永和區秀朗路二段101號,62.8,5,21,1.248027668521228,0.3610096380464161,261.0
漾世代,新北市永和區仁愛路309號,53.0,22,14,0.8189072230901241,0.1655131888302375,588.0
捷洋天湛,新北市永和區環河西路一段11號,61.9,9,14,0.7537646812899955,0.3681938511133273,344.0
PARK紐約,新北市永和區仁愛路306巷31號,64.9,17,14,0.8246767896573759,0.2988332700894448,526.0
芬第夏宮地中海特區,新北市永和區永利路72巷10號,62.8,16,20,0.8975754957215449,0.1098097062006704,377.0
百鴻希爾頓,新北市永和區福和路353號,52.0,42,17,0.6011496916936571,0.488373374069032,479.0
自由天第,新北市永和區自由街76號,56.2,29,18,0.2057117100197814,0.4344469890816583,492.0
PARK紐約B區,新北市永和區仁愛路306巷35弄2號,61.9,18,14,0.8145228003255021,0.2972484016434147,534.0
天琴大廈,新北市永和區環河東路四段2號,51.6,22,18,1.6712394255472462,0.7653531335674404,289.0
歡喜樓,新北市永和區自由街64號,55.6,26,18,0.2585056269363985,0.4277339824345818,492.0
樺福水悅,新北市永和區環河西路一段83號,52.2,12,14,0.7418107170567997,0.274852938669936,360.0
仁愛柏麗,新北市永和區永平路302巷32弄2號,67.6,3,19,1.000791444069021,0.2469263538894867,342.0
尊貴千富大廈,新北市永和區保平路33號,51.4,10,18,0.7759118369023968,0.5236076933437392,502.0
榮國府,新北市永和區得和路351號,47.1,36,21,1.502088366926513,0.2953372951220669,221.0
仁愛101,新北市永和區仁愛路85號,75.2,9,15,0.5375072513921957,0.2779071226919429,379.0
漢皇德居,新北市永和區秀朗路二段80號,63.8,6,21,1.2489852120945006,0.3355658525107217,266.0
金銀大廈,新北市永和區中正路455號,36.0,45,18,0.6885541226555066,0.254362124719392,437.0
金富臻品,新北市永和區中山路一段128巷8號,65.1,6,19,0.8125166437979097,0.1539191855373275,422.0
