建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
超級花園,新北市汐止區樟樹二路49號,47.7,6,8,0.335419394,0.388719762,124
水蓮山莊,新北市汐止區湖前街110巷97弄9號之2,31.7,23,15,2.80277815,1.028002562,112
隱馥玉,新北市汐止區中興路181巷3號,50.4,7,13,3.170789452,0.351522648,150
摩天鎮,新北市汐止區大同路三段613號,23.8,24,9,2.16833159,0.390550961,38
捷運喜來登一期,新北市汐止區福德一路118號,51.0,27,10,0.529981138,0.321175043,174
國家交響樂,新北市汐止區仁愛路163號,46.0,14,5,0.878129311,0.331987091,214
東方桂冠,新北市汐止區水源路二段22巷16號,38.1,24,7,1.803742536,0.471475365,174
貝克漢,新北市汐止區復興路1號,45.6,15,4,1.051300389,0.324013775,269
山青水秀山城之戀,新北市汐止區水源路二段46號,29.5,27,8,1.898092991,0.540814186,153
半島花園BC棟,新北市汐止區樟樹二路420號,36.7,5,8,0.976072223,0.798861275,61
哲人德林,新北市汐止區仁愛路162號之6,52.2,4,6,0.901042154,0.348123557,211
高登屋,新北市汐止區民族三街10號,47.7,24,15,3.099766181,0.357443958,158
東方山河,新北市汐止區鄉長路一段21號,30.6,26,4,0.463268896,0.709430709,133
兆鼎A+,新北市汐止區中正路283號,31.2,1,2,0.685093639,0.208360155,283
大吉利,新北市汐止區新台五路二段89號,27.5,24,4,0.731034069,0.465098024,183
東湖樂高,新北市汐止區康寧街113號,45.2,27,11,2.872634138,0.540116947,326
福德 ONE,新北市汐止區福德一路188號,55.2,1,10,0.635068382,0.376050726,194
理明大樓,新北市汐止區福德一路238號,36.9,28,10,0.788514001,0.189409891,190
日出花園,新北市汐止區仁愛路316巷11號,32.2,27,4,0.678398506,0.453632831,188
漢諾瓦郡,新北市汐止區忠孝東路3號之51,28.6,29,2,0.549160295,0.385486299,206
長虹大鎮A區,新北市汐止區福德二路71號,38.7,14,11,0.786970686,0.344075145,190
富美堂,新北市汐止區汐平路一段8號,23.7,8,9,1.988405186,0.111108727,30
大湖國家一期,新北市汐止區康寧街141巷20弄1號,47.4,30,13,2.922265763,0.541158343,329
觀止,新北市汐止區茄苳路130號,40.3,13,4,0.792477125,0.090017196,135
閱泰然,新北市汐止區水源路一段168巷10號,47.2,5,6,1.338088307,0.232706627,240
東湖麗池,新北市汐止區康寧街141巷55號,51.7,27,13,2.843015474,0.48274077,342
琉森湖,新北市汐止區建成路57巷1號,43.1,26,5,0.102805602,0.606710308,203
東方山河二期,新北市汐止區鄉長路一段55巷12號,31.9,24,5,0.533892102,0.687034084,108
江山萬里情,新北市汐止區新台五路二段170號,30.9,26,6,0.953831024,0.301440996,140
生活大國,新北市汐止區福德一路87號,42.5,29,10,0.511201097,0.310997191,173
宏國大鎮,新北市汐止區大同路二段277號之2,43.3,28,4,1.026916273,0.1502415,255
甲山林,新北市汐止區大同路二段231號,53.3,11,5,1.166571301,0.257382231,259
登峰天廈,新北市汐止區大同路二段184巷11號,51.3,24,4,1.250854588,0.387758576,248
伯爵山莊一期,新北市汐止區翠峰街23號,25.8,40,8,1.898781473,1.097036988,33
日月光,新北市汐止區康寧街751巷5號,30.4,13,9,2.384470704,1.061334347,94
Me時代,新北市汐止區建成路57巷2號,46.5,24,4,0.124354107,0.791422934,157
早安清境,新北市汐止區南興路76號,51.0,10,6,1.72713318,0.443831495,178
宏國大鎮H~L棟,新北市汐止區大同路二段263號,40.9,28,4,1.08576332,0.171386763,261
茄苳華城,新北市汐止區茄苳路101號,32.3,24,6,0.639810941,0.263156725,144
人情味小鎮B區,新北市汐止區福德一路2巷11號,34.9,27,10,0.636449801,0.467253545,169
凱旋大地二期,新北市汐止區福德一路201巷14號,40.0,29,11,0.597067469,0.368835173,191
捷運年代,新北市汐止區汐萬路一段196號,34.7,12,4,0.90556122,0.620741262,129
大山圓,新北市汐止區福德二路25號,35.3,28,10,0.729195413,0.521689406,180
森泉灣,新北市汐止區保長路102號,32.2,12,8,1.512163902,0.414526465,47
香榭巴黎,新北市汐止區福德一路141巷2號,39.4,28,11,0.501043027,0.298134588,180
忠孝誠藝,新北市汐止區忠孝東路506號,47.0,1,5,0.622733495,0.62780644,128
敦美苑,新北市汐止區仁愛路152巷73號,53.1,3,7,1.140451464,0.356091148,158
日出印象,新北市汐止區新台五路二段91號,41.7,27,3,0.708526856,0.461788475,184
合康雲極,新北市汐止區新興路121號,46.4,5,5,1.338371581,0.227358225,242
非常台北,新北市汐止區建成路142巷19弄2號,42.1,26,4,0.187486812,0.854010541,151
台北爵士大廈,新北市汐止區福德三路1號,44.7,26,9,0.602429926,0.422936568,172
長堤,新北市汐止區福德一路101號,49.4,14,10,0.512315723,0.311263047,173
儷都花園,新北市汐止區樟樹二路108號,32.4,28,9,0.171359599,0.15801248,144
宏國富邑,新北市汐止區新台五路二段250號,24.8,28,6,1.594585872,0.733930369,26
健弘新世界劍橋特區,新北市汐止區樟樹二路279號,39.2,27,11,0.482797606,0.312917168,108
皇家天下,新北市汐止區連興街67號,52.0,22,5,1.191072775,0.266240355,259
微風小城,新北市汐止區保一街105號,34.3,13,8,1.636830729,0.446608513,34
快意通,新北市汐止區新台五路二段106號,44.0,24,4,0.762210901,0.177298388,259
帝寶花園,新北市汐止區仁愛路152巷11號,39.9,15,6,1.011823353,0.345115628,184
明月摘星樓,新北市汐止區康寧街753巷18號,29.5,40,10,2.371083805,1.203038893,57
茄苳之祿,新北市汐止區茄苳路206號,38.0,22,5,1.032259069,0.154808211,122
青春嶺,新北市汐止區伯爵街97巷39號,25.5,22,11,2.881514285,1.098877988,12
仰大湖,新北市汐止區明峰街81號,35.6,9,10,2.9223884,0.536061388,154
潤泰陽光天廈,新北市汐止區龍安路28巷12號,53.9,25,5,1.130697639,0.30522665,263
活力Double陽光區,新北市汐止區新台五路二段238號,30.0,15,7,1.291870831,0.46359503,67
蘭庭序大廈,新北市汐止區汐萬路一段199號,36.3,7,4,0.90152027,0.572689404,156
優陞學,新北市汐止區仁愛路106巷2號,52.9,1,5,1.058173295,0.097568253,236
日成新世紀佳人區,新北市汐止區樟樹二路269號,40.3,22,9,0.439950053,0.27397119,118
映相巴黎,新北市汐止區工建路80號,47.5,13,8,0.222157913,0.294312228,129
台北水都,新北市汐止區工建路106號,41.0,26,9,0.368687017,0.303548175,145
福邸龍門A區,新北市汐止區樟樹二路295號,25.9,23,9,0.559160059,0.389551401,103
班芙戀人,新北市汐止區民族五街38號,42.0,16,16,3.256012063,0.302036103,175
麗湖山莊,新北市汐止區民族五街號,36.1,24,15,3.343841086,0.217050082,192
吾印良品,新北市汐止區建成路39號,42.1,24,3,0.202299634,0.710096607,157
日成新世紀才子區,新北市汐止區樟樹二路288號,39.3,22,9,0.445580059,0.273830476,106
哈佛世家一期,新北市汐止區大同路二段276號,40.7,23,2,0.952133508,0.112128208,274
白雲山莊,新北市汐止區東勢街216巷22弄2號之1,30.4,24,14,5.590757199,1.63672972,0
英郡B,新北市汐止區樟樹一路10號,50.5,25,8,0.303958248,0.47024625,109
湖悅,新北市汐止區民族五街2號之5,40.6,10,16,3.197559431,0.377206415,164
路易市,新北市汐止區樟樹一路156號,39.3,26,8,0.111349104,0.111644329,105
綠意皇邑,新北市汐止區忠孝東路492號,47.8,6,4,0.548960274,0.586405647,137
忠孝大院,新北市汐止區忠孝東路415號,50.3,4,4,0.486593804,0.397470049,156
潤泰陽光四季,新北市汐止區龍安路號,33.6,30,5,1.134689666,0.342497372,264
峰岳,新北市汐止區民族二街32巷26號,27.6,11,11,2.772362163,0.671924511,157
君勻,新北市汐止區忠孝東路485號旁,34.5,1,4,0.503433536,0.533913101,140
長虹大鎮C區,新北市汐止區福德二路81號,38.9,13,10,0.845785374,0.311147408,191
四季晏2.0,新北市汐止區樟樹二路167號,41.5,2,9,0.350486576,0.197998163,133
世貿名人廣場,新北市汐止區大同路二段236號,44.6,26,3,1.076734287,0.181718242,268
琉森公園,新北市汐止區建成路26號,35.9,26,3,0.333254107,0.587481426,153
康詩丹郡,新北市汐止區林森街73巷25號,34.1,29,11,4.611089744,0.473317982,131
世代名門,新北市汐止區樟樹一路272號,38.0,23,9,0.427631018,0.255237888,92
紅對綠三期,新北市汐止區樟樹一路187號,41.6,27,9,0.467235104,0.290104175,88
東別館,新北市汐止區汐碇路16之1巷7號,34.1,11,9,1.883701203,0.589016981,166
宏璟麗園,新北市汐止區大同路二段446號,46.2,5,1,0.619915499,0.137344856,278
新雪梨,新北市汐止區國興街30巷12號,38.3,25,10,4.182216383,0.442089488,188
天堂鳥,新北市汐止區大同路二段689號,44.7,22,3,0.383273993,0.538474152,157
翠堤花園,新北市汐止區長興街二段50巷43號,26.8,14,8,1.719150924,0.512164296,31
雅典王朝A區,新北市汐止區明峰街281號,33.3,30,13,3.414491869,0.129019294,213
自由年代大廈,新北市汐止區龍安路1號,55.0,15,4,1.06938517,0.323454748,265
迎東湖,新北市汐止區明峰街7號,43.1,7,9,0.933928862,0.732521793,175
萬世OK,新北市汐止區中興路168號,39.8,25,12,3.039663232,0.181894477,179
英郡A區,新北市汐止區樟樹一路11號,52.6,25,7,0.328372621,0.484304431,109
國泰民安,新北市汐止區建成路146號,41.4,26,4,0.139971037,0.814172301,157
合康東極大廈,新北市汐止區新興路106號,41.7,12,6,1.347535003,0.13265125,242
