建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
明日城御風,新北市泰山區信華一街60號,44.4,10,19,0.757361079347372,0.3361157003738454,329.0
明日城初日,新北市泰山區信華一街7號,41.6,9,19,0.6538981305857968,0.4019319389840938,310.0
稙村秀,新北市泰山區明志路二段136巷32號,35.0,13,23,1.431767121630832,0.2863547438508363,202.0
凱悅假期,新北市泰山區仁愛路100巷9號,46.3,18,21,1.4952802016634152,0.422781867568579,224.0
台北圓山,新北市泰山區泰林路二段471號,30.3,26,23,2.690351661540692,0.1555620136723346,137.0
日健隱,新北市泰山區明志路一段320號,39.7,3,24,0.1034057434575094,0.2306654217463452,238.0
台北花園廣場,新北市泰山區泰林路二段464號,34.1,16,23,2.641549307941112,0.1200871348789083,138.0
明日城天青,新北市泰山區信華一街33號,41.7,8,19,0.7413617043390756,0.3714945423043445,324.0
美福堡,新北市泰山區明志路三段136號,32.7,24,21,0.6472549494505329,0.2681030981513997,167.0
可可亞Ⅱ,新北市泰山區文程路15號,33.8,16,21,1.045078763339533,0.4056571502726022,204.0
武泰臻和,新北市泰山區明志路二段119號,36.4,6,22,1.3092715137859856,0.2844396128628222,205.0
楓江春曉,新北市泰山區楓江路26巷21號,37.5,19,20,1.8608133416810284,0.3638144530132874,202.0
晶華城,新北市泰山區全興路18巷1號,32.5,16,23,1.8137350079995536,0.2270376617406788,239.0
麗池樂章,新北市泰山區泰林路二段522巷1號,33.4,22,24,2.7234224175685844,0.1942500750644601,101.0
忠孝新村國宅,新北市泰山區辭修路10號之5,30.2,21,24,1.954539310262886,0.0429679587719352,239.0
長群金璽御品,新北市泰山區明志路三段506號,36.1,11,17,1.4293893273783147,0.645341289897107,318.0
圓山芳鄰,新北市泰山區泰林路二段579巷6弄10號,36.4,30,24,2.711837755863226,0.3407456426116887,35.0
菁英特區,新北市泰山區全興路222號,36.8,18,20,1.371421564989349,0.4845934065728364,231.0
凱悅四季A區,新北市泰山區全興路218號之2,41.0,19,20,1.4322266026271566,0.4801246558556588,230.0
合登上豪II期,新北市泰山區明志路二段242號,30.8,3,21,0.942447779528135,0.3122444711043029,181.0
明日城雲開,新北市泰山區信華一街62號,39.3,9,19,0.6887854392115191,0.4082744942018624,322.0
凱悅花園A區,新北市泰山區仁愛路80號,36.5,20,21,1.5577208509687228,0.3785412788549913,223.0
合登上豪,新北市泰山區明志路二段232巷2號,39.0,4,22,1.0143823295665308,0.353214728603925,182.0
明日城2勝華迎家,新北市泰山區信華五街、信華八街交叉口,34.0,1,19,0.794666313447253,0.542008232055449,260.0
大漢御花園,新北市泰山區泰林路二段93巷11號,32.9,32,20,1.6213266802678037,0.4293039416635762,234.0
典藏,新北市泰山區貴子路9巷8號,37.2,8,21,0.6337390716383515,0.3283251011204353,159.0
台北甜心香榭,新北市泰山區工專路40巷8號,40.8,6,24,0.7776753752925264,0.0814019696037507,146.0
萬代富,新北市泰山區福興三街,38.0,1,21,1.6221391762270738,0.3673476931360381,232.0
明志勳章,新北市泰山區明志路二段212號,39.2,7,21,1.074579165727063,0.4354405723869941,182.0
水鑽石,新北市泰山區明志路三段77號,28.4,20,21,0.6666327450890286,0.300530639272691,156.0
君臨天下A區(白金特區),新北市泰山區仁愛路114號,33.6,15,21,1.50182473105128,0.4613180700428452,225.0
愛琴花園,新北市泰山區仁義路1號,40.3,19,22,1.6328395937123228,0.3463742244549114,226.0
台北京城,新北市泰山區仁武街88號,40.1,16,21,1.5043361877854189,0.3495395257697227,220.0
華納生活,新北市泰山區仁義路191號,38.0,18,21,1.4712795123103288,0.3100923155456271,217.0
台北之星,新北市泰山區泰林路二段496號,32.1,16,23,2.693618419569213,0.1521917300446061,127.0
碧瑤一品,新北市泰山區全興路192號,37.6,1,21,1.5630232911430466,0.4090403918605654,236.0
布拉格春天,新北市泰山區仁愛路122號,38.0,17,21,1.4948233175272516,0.467658923346159,225.0
玄泰富帝,新北市泰山區仁武街139巷10號,42.9,11,21,1.4482110113882192,0.2192021054465066,212.0
碧富邑,新北市泰山區泰林路二段414巷6號,19.5,31,23,2.5053878586296965,0.1538545585449368,148.0
凱悅四季B區,新北市泰山區仁愛路100巷18號,46.7,18,21,1.496705828951306,0.379120876775356,223.0
凱悅花園B區,新北市泰山區仁義路220巷10號,32.8,20,21,1.453865461109918,0.2564882214771762,212.0
當今皇上,新北市泰山區民權街39號,29.0,26,21,1.1664537760675795,0.2312889636933287,200.0
碧瑤尊悅,新北市泰山區全興路180號,34.5,14,21,1.6638581197887072,0.3352625885557551,233.0
吉祥富都,新北市泰山區仁愛路57號,35.4,13,21,1.5718297344462078,0.3872820109968095,223.0
美麗羅浮,新北市泰山區中港西路420號,34.6,18,20,1.4044307071085624,0.3608406037055148,217.0
帝寶花園,新北市泰山區仁武街104號,34.7,15,22,1.5089962965844093,0.2423332928723416,222.0
群賢莊,新北市泰山區明志路一段373巷10號,27.9,30,23,1.8264150174165348,0.1467093697554998,237.0
泰山天運,新北市泰山區明志路三段146號,30.7,23,22,0.6643455175886722,0.2639410483538672,172.0
台北麗晶,新北市泰山區明志路二段215號,29.7,28,22,1.0143746276838792,0.3845188118159655,179.0
凱悅陽光,新北市泰山區仁義路211號,34.3,18,21,1.4467346316945695,0.2934193803996607,211.0
一品特區,新北市泰山區仁愛路118號,39.6,15,21,1.5002930169633295,0.4623816585010349,226.0
童畫,新北市泰山區臺北縣泰山鄉楓樹街27號,30.6,14,20,2.0052016092846783,0.4451830717301869,188.0
台北大公園,新北市泰山區仁武街13號,30.4,17,21,1.4290395717315978,0.4592247659587618,229.0
法國愛樂公寓,新北市泰山區仁義路171號,37.8,19,21,1.4935237560437054,0.3064549358780896,218.0
帝王鄉,新北市泰山區明志路二段136巷2弄9號,24.2,27,22,1.3234197177077456,0.3354383247290065,205.0
文融書苑,新北市泰山區仁德路2號之1,33.9,14,20,1.5019001405355,0.5097878195160432,237.0
領秀閣,新北市泰山區仁德路120號,31.0,19,22,1.6185374343906216,0.344670603172462,231.0
峰暉金典三期,新北市泰山區福興一街97號,34.2,17,22,1.783508195178007,0.193384782336334,238.0
楓香四季,新北市泰山區文化街18號,27.5,11,20,2.009585453060194,0.3761384422944135,200.0
玄泰富帝全興華廈,新北市泰山區全興路18巷28號,32.0,12,22,1.802493535191442,0.2055797085441065,235.0
晶華園,新北市泰山區全興路18巷20號,32.2,17,23,1.8311648340653448,0.1986323101691582,237.0
台北橘園,新北市泰山區民權街66巷10號,26.8,24,22,1.1904478593886458,0.3200045779688658,202.0
得家堡,新北市泰山區仁德路52號,37.2,18,21,1.5415241761812224,0.4427626180225077,235.0
台北臻品,新北市泰山區仁武街29號,29.4,15,21,1.5019772439650885,0.3299535037153099,219.0
楓江春曉二期,新北市泰山區文化街27號,30.1,17,20,2.003657780415259,0.4255195500094163,193.0
台北皇家,新北市泰山區明志路二段344號,26.5,30,21,0.7941110134566398,0.1214102895167629,168.0
星光山悅,新北市泰山區民權街50號,24.8,23,21,1.1381332850121788,0.2810318985518542,199.0
台北星鑽二期,新北市泰山區仁愛路100巷42號,28.4,17,21,1.449509824990656,0.3795344470115319,221.0
凱悅花園C區,新北市泰山區仁愛路100巷51號,38.2,20,21,1.4563795966566726,0.4017929236849447,222.0
百興鐘鼎山林,新北市泰山區明志路三段74巷25弄10號,24.6,26,22,0.7709140882993788,0.1761492966161464,148.0
全球家年華,新北市泰山區泰林路二段521號,26.7,29,23,2.7184510373630664,0.2501809032723285,101.0
