建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
海洋都心,新北市淡水區新市五路三段152號,23.6,5,45,1.43211743631871,0.7820777866918109,32.0
台北灣-四季之旅,新北市淡水區新市一路一段252號,25.5,6,43,2.7634011846132536,0.8259042920895702,46.0
摩納哥,新北市淡水區淡金路38巷1號,34.8,14,34,4.678592044227819,1.3864960741125023,65.0
台北灣一期星海灣,新北市淡水區新民街一段1號,25.1,13,44,2.965494769350882,0.8248486347580088,52.0
台北灣三期江南頤和,新北市淡水區濱海路三段148巷1號,23.6,8,45,2.367390034612261,0.1199715569955602,39.0
淡大財庫,新北市淡水區學府路136巷63號,29.8,15,39,0.9516364220699484,0.3120018867261212,472.0
清淞,新北市淡水區淡金路21號,32.0,14,32,4.480657463591053,1.4706914979188828,61.0
富陽四季,新北市淡水區中正東路二段83號,41.6,19,31,3.732196009309204,0.7284520470180204,42.0
水世紀,新北市淡水區民權路221號,45.4,15,29,1.4251425545226648,0.7813325974146225,156.0
尚海,新北市淡水區淡金路2號,33.1,15,34,4.367093014458118,1.357596605103754,60.0
丰悅夏宮,新北市淡水區新春街148號之7,28.4,9,41,1.2717387573940162,0.3030605828193894,318.0
宏英加州大樓,新北市淡水區新春街140號,23.4,26,41,3.25723252884401,0.2357848739683475,271.0
城堡花園,新北市淡水區新春街127號,23.3,26,41,1.3164528366831325,0.3030038489197101,293.0
微笑莊園,新北市淡水區濱海路一段151號,30.7,10,41,2.386495532493379,0.6420760317367706,71.0
W丰上,新北市淡水區中山北路三段31巷100號,28.7,10,41,2.360753960549691,0.4268741310397294,69.0
宏盛新世界,新北市淡水區沙崙路一段126巷100號,29.0,6,45,2.495640720100582,0.6632679955388348,44.0
摩天31,新北市淡水區新春街172號,27.2,23,41,1.2420374020113023,0.3412759862609986,344.0
合康嘉年華,新北市淡水區新市一路一段361號,26.2,7,42,2.700118754136145,0.7117656103440148,71.0
